電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
834.0,草湖里,北港鎮草湖里華勝路655號,"23.59295, 120.30193",1.0,230.0,北港分局,
835.0,崙東村,口湖鄉崙東村中正路1-12號,"23.57486, 120.15048",1.0,251.0,北港分局,
836.0,湖東村,口湖鄉湖東村文明路88號,"23.58649, 120.1856",1.0,104.0,北港分局,
837.0,湖東村,口湖鄉湖東村中正路1段146號,"23.58302, 120.18464",1.0,180.0,北港分局,
838.0,華勝里,北港鎮華勝里文昌路6號,"23.57241, 120.30073",1.0,682.0,北港分局,
839.0,華勝里,北港鎮華勝里民政路55號,"23.57544, 120.29939",1.0,33.0,北港分局,
840.0,華勝里,北港鎮華勝里吉祥路152號,"23.57757, 120.30048",1.0,98.0,北港分局,
841.0,華勝里,北港鎮華勝里公園路155號,"23.57747, 120.30127",1.0,261.0,北港分局,
842.0,華勝里,北港鎮華勝里大同路400號,"23.57321, 120.297",1.0,291.0,北港分局,
843.0,華勝里,北港鎮華勝里大同路400號,"23.57321, 120.297",1.0,201.0,北港分局,
844.0,華勝里,北港鎮華勝里大同路468號,"23.57375, 120.29542",1.0,148.0,北港分局,
845.0,華勝里,北港鎮華勝里大同路400號,"23.57321, 120.297",1.0,17.0,北港分局,
846.0,新厝里,北港鎮新厝里新厝路49號,"23.58916, 120.28984",1.0,43.0,北港分局,
847.0,新厝里,北港鎮新厝里新厝路49號,"23.58916, 120.28984",1.0,43.0,北港分局,
848.0,新街里,北港鎮新街里文仁路108號,"23.57901, 120.30191",1.0,1646.0,北港分局,
849.0,新街里,北港鎮新街里民樂路223號,"23.57854, 120.29442",1.0,91.0,北港分局,
850.0,新街里,北港鎮新街里新德路63號,"23.58637, 120.30283",1.0,385.0,北港分局,
851.0,新街里,北港鎮新街里新德路2號,"23.58363, 120.29974",1.0,1133.0,北港分局,
852.0,新街里,北港鎮新街里文仁路126號,"23.57894, 120.30159",1.0,1877.0,北港分局,
853.0,新街里,北港鎮新街里華勝路368巷1號,"23.57098, 120.30293",1.0,1533.0,北港分局,
854.0,新街里,北港鎮新街里文仁路6號,"23.57991, 120.3051",1.0,187.0,北港分局,
855.0,新街里,北港鎮新街里文仁路12號,"23.57991, 120.30443",1.0,267.0,北港分局,
856.0,新街里,北港鎮新街里文仁路2號,"23.57991, 120.30539",1.0,212.0,北港分局,
857.0,新街里,北港鎮新街里北辰路1號,"23.57588, 120.30235",1.0,100.0,北港分局,
858.0,新街里,北港鎮新街里北辰路1號,"23.57588, 120.30235",1.0,377.0,北港分局,
859.0,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,320.0,北港分局,
860.0,新街里,北港鎮新街里文化路180號,"23.57159, 120.30199",1.0,946.0,北港分局,
861.0,新街里,北港鎮新街里民樂路201號,"23.57756, 120.29512",1.0,67.0,北港分局,
862.0,新街里,北港鎮新街里民樂路213號,"23.57795, 120.29488",1.0,13.0,北港分局,
863.0,新街里,北港鎮新街里民樂路221號,"23.57831, 120.29467",1.0,81.0,北港分局,
864.0,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,405.0,北港分局,
865.0,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,994.0,北港分局,
866.0,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,29.0,北港分局,
867.0,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,756.0,北港分局,
868.0,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,427.0,北港分局,
869.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,144.0,北港分局,
870.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,144.0,北港分局,
871.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,5525.0,北港分局,
872.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,56.0,北港分局,
873.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,304.0,北港分局,
874.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,153.0,北港分局,
875.0,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,521.0,北港分局,
876.0,新街里,北港鎮新街里太平路80號,"23.57967, 120.30605",1.0,160.0,北港分局,
877.0,新街里,北港鎮新街里太平路80號,"23.57967, 120.30605",1.0,251.0,北港分局,
878.0,新街里,北港鎮新街里太平路80號,"23.57967, 120.30605",1.0,200.0,北港分局,
879.0,新街里,北港鎮新街里新德路123號,"23.59093, 120.30779",1.0,3200.0,北港分局,
880.0,新街里,北港鎮新街里新德路123號,"23.59093, 120.30779",1.0,3733.0,北港分局,
881.0,義民里,北港鎮義民里義民路80號,"23.56775, 120.30243",1.0,309.0,北港分局,
882.0,劉厝里,北港鎮劉厝里民樂路267號,"23.57909, 120.29432",1.0,324.0,北港分局,
883.0,樹腳里,北港鎮樹腳里大同路647號,"23.57547, 120.28941",1.0,884.0,北港分局,
884.0,樹腳里,北港鎮樹腳里船埔路32號,"23.57652, 120.28728",1.0,166.0,北港分局,
885.0,樹腳里,北港鎮樹腳里大同路614-636.崇德1號,"23.57514, 120.29146",1.0,670.0,北港分局,
