電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
798.0,仁安里,北港鎮仁安里文化路91號,"23.57072, 120.30221",1.0,286.0,北港分局,
799.0,仁安里,北港鎮仁安里文化路55號,"23.56916, 120.30143",1.0,865.0,北港分局,
800.0,仁和里,北港鎮仁和里中正路20號,"23.56885, 120.30407",1.0,1086.0,北港分局,
801.0,仁和里,北港鎮仁和里中正路20-1號,"23.5689,  120.30398",1.0,548.0,北港分局,
802.0,仁和里,北港鎮仁和里仁和路1號,"23.56862, 120.30473",1.0,554.0,北港分局,
803.0,仁和里,北港鎮仁安里文化路95號,"23.57082, 120.30222",1.0,105.0,北港分局,
804.0,仁和里,北港鎮仁安里文化路51號,"23.56896, 120.30124",1.0,200.0,北港分局,
805.0,水北村,水林鄉水北村文化路6號,"23.57358, 120.24596",1.0,193.0,北港分局,
806.0,水南村,水林鄉水南村水林路47-1號,"23.57196, 120.2488",1.0,544.0,北港分局,
807.0,水南村,水林鄉水南村外環路858號,"23.57232, 120.24484",1.0,109.0,北港分局,
808.0,光民里,北港鎮光民里中秋路10號,"23.56585, 120.30672",1.0,10.0,北港分局,
809.0,光民里,北港鎮光民里中山路198號,"23.5682,  120.30503",1.0,3618.0,北港分局,
810.0,光民里,北港鎮光民里中秋路50號,"23.5668,  120.30649",1.0,357.0,北港分局,
811.0,光民里,北港鎮光民里厚生路15號,"23.56762, 120.30633",1.0,220.0,北港分局,
812.0,光復里,北港鎮光復里大同路345號,"23.573,   120.2974",1.0,4312.0,北港分局,
813.0,光復里,北港鎮光復里華南路107號,"23.5713,  120.30005",1.0,712.0,北港分局,
814.0,光復里,北港鎮光復里光復四路14號,"23.57211, 120.2985",1.0,338.0,北港分局,
815.0,光復里,北港鎮光復里華南路101號,"23.57064, 120.29938",1.0,8393.0,北港分局,
816.0,西勢里,北港鎮西勢里義民路49號,"23.56743, 120.30197",1.0,88.0,北港分局,
817.0,西勢里,北港鎮西勢里中正路95號,"23.56954, 120.30194",1.0,274.0,北港分局,
818.0,西勢里,北港鎮西勢里文化路37號,"23.56783, 120.30082",1.0,7287.0,北港分局,
819.0,西勢里,北港鎮西勢里義民路53號,"23.56721, 120.30253",1.0,321.0,北港分局,
820.0,西勢里,北港鎮西勢里文化路54號,"23.5692,  120.30186",1.0,992.0,北港分局,
821.0,西勢里,北港鎮西勢里義民路63號,"23.56923, 120.30263",1.0,24.0,北港分局,
822.0,西勢里,北港鎮西勢里文化路48號,"23.5688,  120.30161",1.0,16.0,北港分局,
823.0,東華里,北港鎮東華里中正路2-1號,"23.56859, 120.30472",1.0,4570.0,北港分局,
824.0,東陽里,北港鎮東陽里民生路28號,"23.56456, 120.30461",1.0,66.0,北港分局,
825.0,東陽里,北港鎮東陽里中正路52號,"23.5693,  120.3031",1.0,74.0,北港分局,
826.0,南安里,北港鎮南安里光明路43-1號,"23.56641, 120.30273",1.0,206.0,北港分局,
827.0,南安里,北港鎮南安里光明路55號,"23.56642, 120.30238",1.0,318.0,北港分局,
828.0,南安里,北港鎮南安里民生路102號,"23.56608, 120.2992",1.0,1470.0,北港分局,
829.0,南安里,北港鎮南安里光明路59號,"23.56649, 120.30168",1.0,449.0,北港分局,
830.0,南安里,北港鎮南安里民生路102號,"23.56608, 120.2992",1.0,1469.0,北港分局,
831.0,草湖里,北港鎮草湖里華勝路679號,"23.59541, 120.30257",1.0,160.0,北港分局,
832.0,草湖里,北港鎮草湖里華勝路655號,"23.59295, 120.30193",1.0,400.0,北港分局,
833.0,草湖里,北港鎮草湖里華勝路655號,"23.59295, 120.30193",1.0,228.0,北港分局,
