電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WVA01355,永福里,臺北市士林區仰德大道二段131巷5-1號,"25.109373,121.545644",1,69.0,士林分局,
WVA01356,永福里,臺北市士林區仰德大道二段70巷12號,"25.105754,121.545769",1,173.0,士林分局,
WVA01357,永福里,臺北市士林區仰德大道二段70巷3號,"25.105954,121.545593",1,136.0,士林分局,
WVA03249,永福里,臺北市士林區仰德大道二段70巷51號,"25.105695,121.54824",1,80.0,士林分局,
WVA02351,永福里,臺北市士林區莊頂路2號,"25.110768,121.54948",1,696.0,士林分局,
WVA03181,永福里,臺北市士林區莊頂路2號,"25.110768,121.54948",1,15.0,士林分局,
WVA02915,永福里,臺北市士林區仰德大道二段100巷20號,"25.107392,121.547732",1,481.0,士林分局,
WVA02352,永福里,臺北市士林區莊頂路80巷64號,"25.109313,121.553265",1,172.0,士林分局,
WVA01443,名山里,臺北市士林區至誠路二段305巷2弄35號,"25.101089,121.527524",1,313.0,士林分局,
WVA01452,名山里,臺北市士林區至誠路二段21巷1號,"25.101879,121.530023",1,1597.0,士林分局,
WVA02119,名山里,臺北市士林區至誠路二段23號,"25.101996,121.529754",1,1576.0,士林分局,
WVA02120,名山里,臺北市士林區雨聲街8巷13號,"25.101711,121.53012",1,273.0,士林分局,
WVA02121,名山里,臺北市士林區雨聲街8巷2號,"25.101295,121.529585",1,205.0,士林分局,
WVA02775,名山里,臺北市士林區雙溪街16號,"25.101019,121.530846",1,826.0,士林分局,
WVA02873,名山里,臺北市士林區至誠路一段303-2號,"25.101562,121.531176",2,373.0,士林分局,
WVA02906,名山里,臺北市士林區至誠路二段21巷8號,"25.101365,121.530079",1,198.0,士林分局,
WVA00585,名山里,臺北市士林區中山北路六段2巷50號,"25.103542,121.528289",1,1077.0,士林分局,
WVA02118,名山里,臺北市士林區雨聲街65巷6號,"25.103234,121.528244",1,245.0,士林分局,
WVA01620,名山里,臺北市士林區忠誠路一段101號,"25.104863,121.528513",1,546.0,士林分局,
WVA01622,名山里,臺北市士林區忠誠路一段109號,"25.105048,121.528711",2,1514.0,士林分局,
WVA01623,名山里,臺北市士林區忠誠路一段119號,"25.105269,121.528985",1,342.0,士林分局,
WVA01633,名山里,臺北市士林區忠誠路一段93號,"25.104711,121.528268",1,1592.0,士林分局,
WVA01634,名山里,臺北市士林區忠誠路一段97號,"25.104744,121.528384",2,565.0,士林分局,
WVA01447,名山里,臺北市士林區至誠路二段121號,"25.10103,121.527116",1,278.0,士林分局,
WVA01451,名山里,臺北市士林區至誠路二段93號,"25.101236,121.527857",1,440.0,士林分局,
WVA02101,名山里,臺北市士林區雨聲街15巷1號,"25.101102,121.529203",1,245.0,士林分局,
WVA02102,名山里,臺北市士林區至誠路二段35號,"25.101626,121.529014",1,2520.0,士林分局,
WVA02103,名山里,臺北市士林區雨聲街15巷9號,"25.100921,121.52873",1,62.0,士林分局,
WVA02122,名山里,臺北市士林區雨聲街9巷3號,"25.100801,121.529197",2,502.0,士林分局,
WVA02776,名山里,臺北市士林區雙溪街66號,"25.100802,121.528979",1,137.0,士林分局,
WVA00357,名山里,臺北市士林區中山北路六段20號,"25.104019,121.526745",1,594.0,士林分局,
WVA02117,名山里,臺北市士林區雨聲街65巷42號,"25.102813,121.52737",1,109.0,士林分局,
WVA03137,名山里,臺北市士林區雨聲街65巷60號,"25.102613,121.52706",1,204.0,士林分局,
WVA02845,名山里,臺北市士林區中山北路六段10號,"25.103258,121.526613",2,1237.0,士林分局,
WVA00581,名山里,臺北市士林區中山北路六段2巷25號,"25.103348,121.527092",1,1616.0,士林分局,
WVA00582,名山里,臺北市士林區中山北路六段2巷33號,"25.103482,121.527557",1,529.0,士林分局,
WVA00583,名山里,臺北市士林區中山北路六段2巷43號,"25.103615,121.527975",1,549.0,士林分局,
WVA00584,名山里,臺北市士林區中山北路六段2巷46號,"25.103434,121.528041",2,684.0,士林分局,
WVA00586,名山里,臺北市士林區中山北路六段2巷51號,"25.103724,121.528272",1,218.0,士林分局,
WVA00587,名山里,臺北市士林區中山北路六段2巷41弄1號,"25.103752,121.527745",1,468.0,士林分局,
WVA02106,名山里,臺北市士林區雨聲街53巷2號,"25.102661,121.528526",1,1080.0,士林分局,
WVA02108,名山里,臺北市士林區雨聲街59巷10號,"25.102889,121.528277",1,588.0,士林分局,
WVA02110,名山里,臺北市士林區雨聲街59巷2號,"25.102929,121.528381",1,569.0,士林分局,
WVA02123,名山里,臺北市士林區雨聲街57號,"25.102889,121.528485",1,65.0,士林分局,
WVA02927,名山里,臺北市士林區中山北路六段2巷38號,"25.103134,121.527744",1,274.0,士林分局,
WVA02973,名山里,臺北市士林區中山北路六段6號,"25.102805,121.526595",1,294.0,士林分局,
WVA03038,名山里,臺北市士林區中山北路六段2巷28號,"25.103127,121.527116",1,352.0,士林分局,
WVA03082,名山里,臺北市士林區中山北路六段8-1號,"25.10302,121.526567",1,384.0,士林分局,
WVA00490,名山里,臺北市士林區中山北路五段838號,"25.101507,121.52654",1,544.0,士林分局,
WVA00492,名山里,臺北市士林區中山北路五段846號,"25.101811,121.526466",1,353.0,士林分局,
WVA00493,名山里,臺北市士林區中山北路五段852號,"25.102065,121.52649",1,586.0,士林分局,
WVA00514,名山里,臺北市士林區中山北路五段850巷1號,"25.102072,121.526655",1,294.0,士林分局,
WVA00515,名山里,臺北市士林區中山北路五段850巷2號,"25.101893,121.526692",1,181.0,士林分局,
WVA00516,名山里,臺北市士林區中山北路五段850巷20號,"25.101973,121.526912",1,413.0,士林分局,
WVA00520,名山里,臺北市士林區中山北路五段850巷6號,"25.101939,121.52685",1,188.0,士林分局,
WVA02109,名山里,臺北市士林區雨聲街59巷19號,"25.102706,121.527935",1,182.0,士林分局,
WVA02111,名山里,臺北市士林區雨聲街59巷22號,"25.10281,121.527851",1,256.0,士林分局,
WVA02112,名山里,臺北市士林區雨聲街59巷25號,"25.102467,121.527663",1,200.0,士林分局,
WVA02113,名山里,臺北市士林區雨聲街59巷30號,"25.102481,121.527473",1,126.0,士林分局,
WVA03083,名山里,臺北市士林區中山北路五段860巷6號,"25.10224,121.526775",1,770.0,士林分局,
WVA02862,名山里,臺北市士林區中山北路六段2巷40號,"25.103207,121.52788",1,692.0,士林分局,
WVA02920,名山里,臺北市士林區中山北路六段8號,"25.102903,121.526582",1,265.0,士林分局,
WVA01627,名山里,臺北市士林區忠誠路一段27號,"25.104153,121.527081",1,5293.0,士林分局,
WVA01629,名山里,臺北市士林區忠誠路一段35號,"25.104306,121.527469",1,633.0,士林分局,
WVA02095,名山里,臺北市士林區雨聲街48號,"25.10267,121.528921",1,241.0,士林分局,
WVA02097,名山里,臺北市士林區雨聲街66號,"25.103396,121.528724",1,76.0,士林分局,
WVA02098,名山里,臺北市士林區雨聲街71號,"25.103809,121.528505",1,945.0,士林分局,
WVA02099,名山里,臺北市士林區雨聲街87號,"25.104296,121.52907",1,484.0,士林分局,
WVA02100,名山里,臺北市士林區雨聲街89號,"25.104417,121.529079",2,1542.0,士林分局,
