類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般住宅,798,仁安里,北港鎮仁安里文化路91號,"23.57072, 120.30221",1.0,286,
一般住宅,799,仁安里,北港鎮仁安里文化路55號,"23.56916, 120.30143",1.0,865,
不公開,800,仁和里,北港鎮中正路20號,"23.56885, 120.30407",1.0,1086,
不公開,801,仁和里,北港鎮仁和里中正路20-1號,"23.5689,  120.30398",1.0,548,
北港朝天宮（行政大樓）,802,仁和里,北港鎮仁和路1號,"23.56862, 120.30473",1.0,554,
不公開,803,仁和里,北港鎮仁安里文化路95號,"23.57082, 120.30222",1.0,105,
不公開,804,仁和里,北港鎮仁安里文化路51號,"23.56896, 120.30124",1.0,200,
水林鄉立圖書館,805,水北村,水林鄉文化路6號,"23.57358, 120.24596",1.0,193,
水林農會,806,水南村,水林鄉水南村水林路47-1號,"23.57196, 120.2488",1.0,544,
元發混凝土有限公司,807,水南村,水林鄉外環路858號,"23.57232, 120.24484",1.0,109,
一般住宅,808,光民里,北港鎮光民里中秋路10號,"23.56585, 120.30672",1.0,10,
北港鎮公所（文化大樓）,809,光民里,北港鎮中山路198號,"23.5682,  120.30503",1.0,3618,
北港朝天宮（中秋大樓）,810,光民里,北港鎮光民里中秋路50號,"23.5668,  120.30649",1.0,357,
北港朝天宮（厚生大樓）,811,光民里,北港鎮厚生路15號,"23.56762, 120.30633",1.0,220,
一般住宅,812,光復里,北港鎮大同路345號,"23.573,   120.2974",1.0,4312,
不公開,813,光復里,北港鎮光復里華南路107號,"23.5713,  120.30005",1.0,712,
芳源號企業有限公司,814,光復里,北港鎮光復四路14號,"23.57211, 120.2985",1.0,338,
台糖公司,815,光復里,北港鎮華南路101號,"23.57064, 120.29938",1.0,8393,
不公開,816,西勢里,北港鎮西勢里義民路49號,"23.56743, 120.30197",1.0,88,
全家便利商店(北港順風店),817,西勢里,北港鎮中正路95號,"23.56954, 120.30194",1.0,274,
明旭企業有限公司,818,西勢里,北港鎮文化路37號,"23.56783, 120.30082",1.0,7287,
不公開,819,西勢里,北港鎮義民路53號,"23.56721, 120.30253",1.0,321,
不公開,820,西勢里,北港鎮西勢里文化路54號,"23.5692,  120.30186",1.0,992,
福泰賓館,821,西勢里,北港鎮義民路63號,"23.56923, 120.30263",1.0,24,
金山旅社,822,西勢里,北港鎮文化路48號,"23.5688,  120.30161",1.0,16,
一般住宅,823,東華里,北港鎮中正路2-1號,"23.56859, 120.30472",1.0,4570,
一般住宅,824,東陽里,北港鎮東陽里民生路28號,"23.56456, 120.30461",1.0,66,
一般住宅,825,東陽里,北港鎮東陽里中正路52號,"23.5693,  120.3031",1.0,74,
一般住宅,826,南安里,北港鎮南安里光明路43-1號,"23.56641, 120.30273",1.0,206,
南陽國小（禮堂）,827,南安里,北港鎮光明路55號,"23.56642, 120.30238",1.0,318,
北港國中（東側）,828,南安里,北港鎮民生路102號,"23.56608, 120.2992",1.0,1470,
南陽國小,829,南安里,北港鎮南安里光明路59號,"23.56649, 120.30168",1.0,449,
北港國中,830,南安里,北港鎮南安里民生路102號,"23.56608, 120.2992",1.0,1469,
一般住宅,831,草湖里,北港鎮華勝路679號,"23.59541, 120.30257",1.0,160,
僑美國小(視聽),832,草湖里,北港鎮華勝路655號,"23.59295, 120.30193",1.0,400,
僑美國小(東側),833,草湖里,北港鎮華勝路655號,"23.59295, 120.30193",1.0,228,
僑美國小(西側),834,草湖里,北港鎮華勝路655號,"23.59295, 120.30193",1.0,230,
交通部電信總局,835,崙東村,口湖鄉中正路1-12號,"23.57486, 120.15048",1.0,251,
口湖電信,836,湖東村,口湖鄉文明路88號,"23.58649, 120.1856",1.0,104,
口湖電力,837,湖東村,口湖鄉湖東村中正路1段146號,"23.58302, 120.18464",1.0,180,
一般住宅,838,華勝里,北港鎮文昌路6號,"23.57241, 120.30073",1.0,682,
一般住宅,839,華勝里,北港鎮民政路55號,"23.57544, 120.29939",1.0,33,
一般住宅,840,華勝里,北港鎮吉祥路152號,"23.57757, 120.30048",1.0,98,
婦有醫院,841,華勝里,北港鎮公園路155號,"23.57747, 120.30127",1.0,261,
建國國中,842,華勝里,北港鎮華勝里大同路400號,"23.57321, 120.297",1.0,291,
建國國中,843,華勝里,北港鎮華勝里大同路400號,"23.57321, 120.297",1.0,201,
建國國中,844,華勝里,北港鎮華勝里大同路468號,"23.57375, 120.29542",1.0,148,
建國國中,845,華勝里,北港鎮華勝里大同路400號,"23.57321, 120.297",1.0,17,
辰光國小（東側）,846,新厝里,北港鎮新厝里新厝路49號,"23.58916, 120.28984",1.0,43,
辰光國小（西側）,847,新厝里,北港鎮新厝里新厝路49號,"23.58916, 120.28984",1.0,43,
一般住宅,848,新街里,北港鎮新街里文仁路108號,"23.57901, 120.30191",1.0,1646,
一般住宅,849,新街里,北港鎮新街里民樂路223號,"23.57854, 120.29442",1.0,91,
一般住宅,850,新街里,北港鎮新街里新德路63號,"23.58637, 120.30283",1.0,385,
一般住宅,851,新街里,北港鎮新德路2號,"23.58363, 120.29974",1.0,1133,
一般住宅,852,新街里,北港鎮新街里文仁路126號,"23.57894, 120.30159",1.0,1877,
一般住宅,853,新街里,北港鎮新街里華勝路368巷1號,"23.57098, 120.30293",1.0,1533,
北港稅捐處,854,新街里,北港鎮新街里文仁路6號,"23.57991, 120.3051",1.0,187,
不公開,855,新街里,北港鎮新街里文仁路12號,"23.57991, 120.30443",1.0,267,
北港地政,856,新街里,北港鎮新街里文仁路2號,"23.57991, 120.30539",1.0,212,
北港鎮公所,857,新街里,北港鎮新街里北辰路1號,"23.57588, 120.30235",1.0,100,
北港鎮公所,858,新街里,北港鎮新街里北辰路1號,"23.57588, 120.30235",1.0,377,
北港高中涵英館,859,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,320,
北港濟世宮,860,新街里,北港鎮新街里文化路180號,"23.57159, 120.30199",1.0,946,
山興水泥製品廠,861,新街里,北港鎮新街里民樂路201號,"23.57756, 120.29512",1.0,67,
祥久汽車有限公司(檢驗廠),862,新街里,北港鎮民樂路213號,"23.57795, 120.29488",1.0,13,
鋒邦公司,863,新街里,北港鎮新街里民樂路221號,"23.57831, 120.29467",1.0,81,
北港高中文史大樓,864,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,405,
北港高中志清館,865,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,994,
北港高中宿舍(映輝樓),866,新街里,北港鎮成功路26號,"23.57735, 120.30429",1.0,29,
北港高中新大樓(懷恩樓),867,新街里,北港鎮成功路26號,"23.57735, 120.30429",1.0,756,
北港高中圖書館,868,新街里,北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,427,
北辰國小,869,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,144,
北辰國小（東二棟）,870,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,144,
"北辰國小 活動中心",871,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,5525,
北辰國小（總務處）,872,新街里,北港鎮成功路30號,"23.57736, 120.30301",1.0,56,
北辰國小（西二棟）,873,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,304,
北辰國小（西一棟）,874,新街里,北港鎮成功路30號,"23.57736, 120.30301",1.0,153,
北辰國小（西三棟）,875,新街里,北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,521,
北港農工（活動中心）,876,新街里,北港鎮太平路80號,"23.57967, 120.30605",1.0,160,
北港農工（音樂館）,877,新街里,北港鎮太平路80號,"23.57967, 120.30605",1.0,251,
北港農工（勤學樓）,878,新街里,北港鎮太平路80號,"23.57967, 120.30605",1.0,200,
媽袓醫院(東棟),879,新街里,北港鎮新街里新德路123號,"23.59093, 120.30779",1.0,3200,
媽袓醫院(西棟),880,新街里,北港鎮新街里新德路123號,"23.59093, 120.30779",1.0,3733,
國泰人壽,881,義民里,北港鎮義民路80號,"23.56775, 120.30243",1.0,309,
玄徳國際股份有限公司,882,劉厝里,北港鎮民樂路267號,"23.57909, 120.29432",1.0,324,
巨人中學,883,樹腳里,北港鎮大同路647號,"23.57547, 120.28941",1.0,884,
不公開,884,樹腳里,北港鎮船埔路32號,"23.57652, 120.28728",1.0,166,
金華成國際有限公司,885,樹腳里,北港鎮大同路614-636.崇德1號,"23.57514, 120.29146",1.0,670,
