類別,建築物名稱,電腦編號,村里別,地址,地下樓層數,可容納人數,派出所,備註,經度,緯度
公寓,古道阿彬杏仁茶,D701000001,三峽里,新北市三峽區民權街38號,1.0,106.0,三峽派出所,,,
公寓,陳元春大藥房,D701000002,三峽里,新北市三峽區民權街40號,1.0,52.0,三峽派出所,,121.369698,24.933652
公寓,三峽區公所,D701000003,三峽里,新北市三峽區民權街109號,1.0,62.0,三峽派出所,,121.369121,24.932478
大樓,合作金庫,D701000004,永館里,新北市三峽區中山路17號,1.0,575.0,三峽派出所,,121.368864,24.934238
大樓,麥當勞,D701000005,永館里,新北市三峽區文化路6677號,1.0,107.0,三峽派出所,,121.366384,24.935816
公寓,阿瘦皮鞋,D701000006,永館里,新北市三峽區文化路72號,1.0,42.0,三峽派出所,,121.372155,24.936231
公寓,皇翔馥裔,D701000007,永館里,新北市三峽區文化路7478號,1.0,64.0,三峽派出所,,121.371796,24.936477
大樓,八方雲集,D701000008,永館里,新北市三峽區文化路212號,1.0,138.0,三峽派出所,,121.368616,24.936071
大樓,民生大樓,D701000009,永館里,新北市三峽區民生街1071號,1.0,354.0,三峽派出所,,121.373804,24.9353
大樓,富裕天下,D701000010,永館里,新北市三峽區民生街229號,1.0,366.0,三峽派出所,,121.371177,24.934734
大樓,銀座商業大樓,D701000011,永館里,新北市三峽區忠孝街6號,1.0,478.0,三峽派出所,,121.37069,24.934527
大樓,豐雲第一大樓,D701000012,永館里,新北市三峽區文化路59號,1.0,1381.0,三峽派出所,,121.372278,24.935912
大樓,長泰聚,D701000013,永館里,新北市三峽區中山路2834號,1.0,324.0,三峽派出所,,121.369094,24.934147
公寓,合作金庫,D701000014,永館里,新北市三峽區中山路6668號,1.0,111.0,三峽派出所,,121.367182,24.934311
大樓,利豐華廈,D701000015,永館里,新北市三峽區文化路71號,1.0,262.0,三峽派出所,,121.37182,24.936032
大樓,全家通信三峽文化店,D701000016,永館里,新北市三峽區文化路93號,1.0,423.0,三峽派出所,,121.371214,24.936069
大樓,嘉旺農藥行,D701000017,永館里,新北市三峽區文化路8號,1.0,481.0,三峽派出所,,121.373391,24.935652
大樓,花娜日韓服飾,D701000018,永館里,新北市三峽區和平街23號,1.0,20.0,三峽派出所,,121.370278,24.935191
大樓,富比林,D701000019,永館里,新北市三峽區和平街26號1,1.0,73.0,三峽派出所,,121.370289,24.936747
大樓,賴家烤玉米,D701000020,永館里,新北市三峽區和平街6773號,1.0,138.0,三峽派出所,,121.369829,24.936419
大樓,14號華廈,D701000021,永館里,新北市三峽區和平街31號,1.0,179.0,三峽派出所,,121.370269,24.935406
大樓,安捷健康國際有限公司,D701000022,永館里,新北市三峽區民權街1416號,1.0,138.0,三峽派出所,,121.368823,24.931905
大樓,志鵬車業,D701000023,永館里,新北市三峽區文化路65巷8號,1.0,481.0,三峽派出所,,121.372009,24.935736
大樓,38號華廈,D701000024,鳶山里,新北市三峽區大勇路34號,1.0,67.0,三峽派出所,,121.366986,24.937285
大樓,學府天下,D701000025,鳶山里,新北市三峽區大勇路38號,1.0,67.0,三峽派出所,,121.367014,24.937142
大樓,公寓,D701000026,鳶山里,新北市三峽區大仁路2號,1.0,1001.0,三峽派出所,,121.36683,24.937719
大樓,中山路277巷華廈,D701000027,鳶山里,新北市三峽區大仁路3032號,1.0,237.0,三峽派出所,,121.365865,24.937764
大樓,台北山霞,D701000028,鳶山里,新北市三峽區中山路277巷1327號,1.0,632.0,三峽派出所,,121.361833,24.936613
大樓,大學之星,D701000029,鳶山里,新北市三峽區中山路257巷23號,1.0,811.0,三峽派出所,,121.362483,24.936334
大樓,大學之星,D701000030,鳶山里,新北市三峽區中山路219巷1357號9,1.0,381.0,三峽派出所,,121.363505,24.936231
大樓,勝美牙醫,D701000031,鳶山里,新北市三峽區中山路219巷911號,1.0,131.0,三峽派出所,,121.36262,24.936215
大樓,仁福長照,D701000032,鳶山里,新北市三峽區中山路233號,1.0,77.0,三峽派出所,,121.362827,24.937088
大樓,小甜甜幼兒園,D701000033,鳶山里,新北市三峽區中山路171號,1.0,1339.0,三峽派出所,,121.364166,24.936461
大樓,台北御花園,D701000034,鳶山里,新北市三峽區中山路128號13,1.0,120.0,三峽派出所,,121.366004,24.936212
大樓,利德禮儀社,D701000035,鳶山里,新北市三峽區中山路127號,2.0,491.0,三峽派出所,,121.365361,24.935926
大樓,豐裕軒國際行銷,D701000036,八張里,新北市三峽區清水街368號,1.0,144.0,三峽派出所,,121.369815,24.93142
大樓,金岳富貴吉祥,D701000037,八張里,新北市三峽區清水街431號,1.0,61.0,三峽派出所,,121.368545,24.92578
大樓,金岳富貴吉祥,D701000038,中埔里,新北市三峽區大同路270號,1.0,1996.0,三峽派出所,,121.365128,24.925627
大樓,衛生福利部食品藥物管理署管制藥品製藥工廠,D701000039,中埔里,新北市三峽區大同路272號,1.0,420.0,三峽派出所,,121.365326,24.925368
大樓,衛生福利部食品藥物管理署管制藥品製藥工廠,D701000040,中埔里,新北市三峽區大同路287號,1.0,201.0,三峽派出所,,121.365421,24.925067
大樓,公寓,D701000041,中埔里,新北市三峽區大同路287號,1.0,201.0,三峽派出所,,121.365421,24.925067
大樓,公寓,D701000042,中埔里,新北市三峽區大同路240巷1號,1.0,1194.0,三峽派出所,,121.365896,24.925785
大樓,福利旺,D701000043,中埔里,新北市三峽區中園街64號2,1.0,803.0,三峽派出所,,121.367895,24.925557
大樓,公寓,D701000044,中埔里,新北市三峽區大同路240巷45弄6號,1.0,1717.0,三峽派出所,,121.365363,24.926297
大樓,台北加大,D701000045,中埔里,新北市三峽區中園街81號,1.0,138.0,三峽派出所,,121.367993,24.925105
大樓,台北加大,D701000047,龍埔里,新北市三峽區民生街21號,3.0,484.0,三峽派出所,,121.376148,24.936535
大樓,怡心園素食餐廳,D701000048,龍埔里,新北市三峽區民生街29號,3.0,2368.0,三峽派出所,,121.375811,24.936345
大樓,國光勳章,D701000049,龍埔里,新北市三峽區國光街25之27號,1.0,128.0,三峽派出所,,121.37136,24.93967
大樓,國光勳章,D701000050,龍埔里,新北市三峽區國光街33之35號,1.0,813.0,三峽派出所,,121.370983,24.939977
大樓,羊霸天下,D701000051,龍埔里,新北市三峽區國光街53之61號,1.0,772.0,三峽派出所,,121.374455,24.938184
公寓,三峽皇都,D701000052,龍埔里,新北市三峽區國光街69之71號,1.0,55.0,三峽派出所,,121.373933,24.937607
大樓,國光12號華廈,D701000053,龍埔里,新北市三峽區國光街18巷122號,1.0,966.0,三峽派出所,,121.375652,24.937319
大樓,公寓,D701000054,龍埔里,新北市三峽區國光街12巷210號,1.0,386.0,三峽派出所,,121.376052,24.937265
大樓,公寓,D701000055,龍埔里,新北市三峽區國光街24巷134號,1.0,698.0,三峽派出所,,121.371331,24.940287
大樓,長江三峽,D701000056,龍埔里,新北市三峽區國光街81巷13號,1.0,515.0,三峽派出所,,121.373562,24.938007
大樓,公寓,D701000057,龍埔里,新北市三峽區復興路38號,3.0,1774.0,三峽派出所,,121.373826,24.936874
大樓,圖書館,D701000058,介壽里,新北市三峽區永安街13號,1.0,136.0,三峽派出所,,121.377548,24.930073
大樓,圖書館,D701000059,介壽里,新北市三峽區永安街9巷3號23,1.0,491.0,三峽派出所,,121.377211,24.929741
大樓,新北市立圖書館,D701000060,介壽里,新北市三峽區永安街9巷3號89,1.0,135.0,三峽派出所,,121.377762,24.929789
大樓,齊恆有限公司,D701000061,介壽里,新北市三峽區永安街9巷6號,1.0,80.0,三峽派出所,,121.37736,24.929822
大樓,公寓,D701000062,介壽里,新北市三峽區永安街2135號,1.0,147.0,三峽派出所,,121.374406,24.928534
大樓,永安街37號華廈,D701000063,介壽里,新北市三峽區永安街9巷3638號,1.0,118.0,三峽派出所,,121.377112,24.929666
大樓,公寓,D701000064,介壽里,新北市三峽區永安街37號,1.0,103.0,三峽派出所,,121.376556,24.930346
大樓,海德堡大廈,D701000065,介壽里,新北市三峽區永安街9巷40號,1.0,65.0,三峽派出所,,121.376377,24.929884
大樓,富寶食糧行,D701000066,介壽里,新北市三峽區永安街46號,1.0,306.0,三峽派出所,,121.37674,24.930568
大樓,詳笙有限公司,D701000067,介壽里,新北市三峽區永安街51號,1.0,40.0,三峽派出所,,121.376068,24.929976
大樓,公寓,D701000068,介壽里,新北市三峽區永安街5355號,1.0,95.0,三峽派出所,,121.374686,24.928402
大樓,定澤消防工程有限公司,D701000069,介壽里,新北市三峽區永安街5763號,1.0,92.0,三峽派出所,,121.374743,24.928446
大樓,永安街73號華廈,D701000070,介壽里,新北市三峽區永安街59號,1.0,135.0,三峽派出所,,121.375866,24.929836
大樓,永安華廈,D701000071,介壽里,新北市三峽區永安街73號,1.0,120.0,三峽派出所,,121.37555,24.929598
大樓,慈澤素食館,D701000072,介壽里,新北市三峽區永安街7680號,1.0,71.0,三峽派出所,,121.375696,24.929144
大樓,溫成美工印刷有限公司,D701000073,介壽里,新北市三峽區永安街79號,1.0,77.0,三峽派出所,,121.375341,24.929448
大樓,公寓,D701000074,介壽里,新北市三峽區永安街92號,1.0,76.0,三峽派出所,,121.37551,24.929803
大樓,公寓,D701000075,介壽里,新北市三峽區永安街8號,1.0,23.0,三峽派出所,,121.377844,24.930131
大樓,公寓,D701000076,介壽里,新北市三峽區永安街102號,1.0,56.0,三峽派出所,,121.375281,24.929633
大樓,公寓,D701000077,介壽里,新北市三峽區光明路47號,1.0,179.0,三峽派出所,,121.375179,24.929243
大樓,公寓,D701000080,介壽里,新北市三峽區光明路69巷711號,1.0,116.0,三峽派出所,,121.377299,24.929415
大樓,光明路69巷華廈,D701000081,介壽里,新北市三峽區光明路69巷18號,2.0,684.0,三峽派出所,,121.3763,24.928857
