"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
枋寮鄉地政事務所,QOA00009,枋寮村,屏東縣枋寮鄉枋寮村10鄰德興路32號,"22.367509108386606, 120.5912655153501",1.0,200.0,枋寮分局,
枋寮鄉公所,QOA00001,枋寮村,屏東縣枋寮鄉枋寮村10鄰德興路36號,"22.365507327038767, 120.59348826869875",1.0,111.0,枋寮分局,
枋寮國小/東棟,QOA00078,枋寮村,屏東縣枋寮鄉枋寮村28鄰德興路197號,"22.36764000711419, 120.59112848928686",1.0,178.0,枋寮分局,共有2處、總計可容納人數281人
枋寮國小/東棟北側,QOA00079,枋寮村,屏東縣枋寮鄉枋寮村28鄰德興路197號,"22.36783758427285, 120.59105861054155",1.0,103.0,枋寮分局,共有2處、總計可容納人數281人
枋寮郵局,QOA00011,枋寮村,屏東縣枋寮鄉枋寮村02鄰中山路194號,"22.366431070821733, 120.59512061192915",1.0,166.0,枋寮分局,
中華電信/枋寮服務中心,QOA00077,枋寮村,屏東縣枋寮鄉枋寮村19鄰中山路240號,"22.367880591686436, 120.59392130740078",1.0,150.0,枋寮分局,
枋客文旅飯店,QOA00072,枋寮村,屏東縣枋寮鄉枋寮村20鄰中興路22-19號,"22.36767028294613, 120.5931672638968",1.0,393.0,枋寮分局,
枋寮鄉圖書館,QOA00002,枋寮村,屏東縣枋寮鄉枋寮村10鄰中興路46號,"22.366734453260538, 120.5930593161603",1.0,42.0,枋寮分局,
藍星大樓,QOA00013,枋寮村,屏東縣枋寮鄉枋寮村32鄰沿海路9號,"22.366063983360043, 120.59187677725909",1.0,597.0,枋寮分局,
台電公司/枋寮服務所,QOA00010,新龍村,屏東縣枋寮鄉新龍村01鄰中山路303號,"22.370319818312772, 120.59211692451532",1.0,88.0,枋寮分局,
新光人壽保險公司,QOA00013,新龍村,屏東縣枋寮鄉新龍村01鄰中山路327號,"22.371099658262114, 120.59248396534413",1.0,111.0,枋寮分局,
枋寮高中/致理樓,QOA00063,新龍村,屏東縣枋寮鄉新龍村01鄰義民路3號,"22.370617807067458, 120.5903570662742",1.0,455.0,枋寮分局,共有3處、總計可容納人數2292人
枋寮高中/崇德樓,QOA00064,新龍村,屏東縣枋寮鄉新龍村01鄰義民路3號,"22.371104309922824, 120.59068519089632",1.0,1402.0,枋寮分局,共有3處、總計可容納人數2292人
枋寮高中/萃賢樓,QOA00065,新龍村,屏東縣枋寮鄉新龍村01鄰義民路3號,"22.371729791272987, 120.59083276668959",1.0,435.0,枋寮分局,共有3處、總計可容納人數2292人
土地銀行/枋寮分行,QOA00012,隆山村,屏東縣枋寮鄉隆山村36鄰隆山路111號,"22.3643244236103, 120.59800027960117",1.0,55.0,枋寮分局,
台電公司/員工宿舍,QOA00008,隆山村,屏東縣枋寮鄉隆山村24鄰隆山路257號,"22.36674933942049, 120.60242906187483",1.0,55.0,枋寮分局,
僑德國小,QOA00050,隆山村,屏東縣枋寮鄉隆山村16鄰僑德路186號,"22.36301209895829, 120.60040407006815",1.0,493.0,枋寮分局,
台電公司/北勢寮變電所,QOA00006,隆山村,屏東縣枋寮鄉隆山村01鄰中山路36號,"22.357663839347747, 120.60041348653066",1.0,16.0,枋寮分局,
北勢寮保安宮,QOA00080,中寮村,屏東縣枋寮鄉中寮村13鄰保安路215號,"22.36167843638306, 120.59619297876472",1.0,326.0,枋寮分局,
