類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
360度大自然,八中里,基隆市暖暖區金華街267號,"25.1082449,121.727458",B02,1730,第三分局,
公寓,八西里,基隆市暖暖區過港路246號,"25.109997,121.7338879",B01,169,第三分局,
三本車業,八西里,基隆市暖暖區八堵路6之1號,"25.1108555,121.7363062",B01,5956,第三分局,
豐田八堵展示館,八南里,基隆市暖暖區八堵路167之1號,"25.1046301,121.7264827",B01,725,第三分局,
公寓,八南里,基隆市暖暖區八堵路185巷95之1號,"25.1007644,121.7248761",B01,320,第三分局,
東京站,八南里,基隆市暖暖區八堵路159之9號,"25.1071887,121.7280867",B01,1645,第三分局,
公寓,八堵里,基隆市暖暖區水源路9之8號,"25.1062896,121.7343337",B01,119,第三分局,
公寓,八堵里,基隆市暖暖區水源路2巷96號,"25.1058147,121.7341215",B01,89,第三分局,
公寓,八堵里,基隆市暖暖區水源路13之1號地下1層,"25.105998,121.7345588",B01,137,第三分局,
基隆高中-活動中心,八堵里,基隆市暖暖區源遠路20號,"25.1076001,121.7328517",B01,510,第三分局,
中華貿易開發股份有限公司,八德里,基隆市七堵區八德路3之2號,"25.1025576,121.7194954",B01,168,第三分局,
公寓,八德里,基隆市七堵區大華一路29之3號,"25.1018749,121.7172481",B01,209,第三分局,
台電宿舍,八德里,基隆市七堵區大華一路1巷22號,"25.1015128,121.7185267",B01,101,第三分局,
國產實業建設股份有限公司,八德里,基隆市七堵區八德路2之2號,"25.1031009,121.7224617",B01,136,第三分局,
公寓,八德里,基隆市七堵區八德路72號,"25.1132952,121.7282367",B01,75,第三分局,
傳家堡,八德里,基隆市七堵區八德路23號,"25.1130948,121.7270083",B01,449,第三分局,
基督教崇信教會,八德里,基隆市七堵區大華一路63之1號,"25.1016999,121.7147742",B01,387,第三分局,
公寓,八德里,基隆市七堵區大華一路33號,"25.102045,121.7172817",B01,69,第三分局,
公寓,六堵里,基隆市七堵區工建西路8號,"25.0931512,121.7002054",B01,429,第三分局,
公寓,六堵里,基隆市七堵區工建路196號,"25.0920294,121.7003945",B01,345,第三分局,
公寓,六堵里,基隆市七堵區工東街54號,"25.0884381,121.7036454",B01,172,第三分局,
耐力中端電機,六堵里,基隆市七堵區工建北路3號,"25.0876665,121.7037224",B01,276,第三分局,
大地遊龍,六堵里,基隆市七堵區工東街20號,"25.0877185,121.7041452",B01B02B03,1911,第三分局,
金美滿,六堵里,基隆市七堵區工建路114號,"25.0906152,121.701387",B01B02,692,第三分局,
溢彩生技,六堵里,基隆市七堵區工建南路21號,"25.0834667,121.7028245",B01,1360,第三分局,
超邁工業股份有限公司,六堵里,基隆市七堵區工建北路9號,"25.0858046,121.7045036",B01,1820,第三分局,
溢彩生技,六堵里,基隆市七堵區工建南路21號,"25.0834588,121.7028587",B01,1354,第三分局,
公元有限公司,六堵里,基隆市七堵區工建南路5之1號,"25.0865976,121.702058",B01,382,第三分局,
QNAP工廠與產品送修中心,六堵里,基隆市七堵區工建北路22號,"25.0849144,121.7043714",B01,1578,第三分局,
杭特電子,六堵里,基隆市七堵區工建路15號,"25.0910833,121.700504",B01,1954,第三分局,
六堵首席大廈,六堵里,基隆市七堵區工建路72號,"25.0898125,121.7016785",B01B02B03,642,第三分局,
南京資訊科技大樓,六堵里,基隆市七堵區明德二路24之1號,"25.0869046,121.7049911",B01B02B03,3400,第三分局,
QNAP工廠與產品送修中心,六堵里,基隆市七堵區工建北路26號,"25.0845557,121.7044331",B01B02,3266,第三分局,
啟信汽車,六堵里,基隆市七堵區工建北路6之3號,"25.0860048,121.704024",B01,1142,第三分局,
綠葉社區-S、U、V棟,友一里,基隆市七堵區綠葉街63巷1號,"25.0909891,121.6663744",B01,3450,第三分局,
優泉社區-D棟,友一里,基隆市七堵區綠葉街128號,"25.0908147,121.6647703",B01,1267,第三分局,
同樂山莊,友二里,基隆市七堵區華新二路121之1號,"25.118412,121.6599614",B02,477,第三分局,
公寓,正光里,基隆市七堵區明德一路41之4號,"25.0987926,121.7168538",B01,58,第三分局,
公寓,正光里,基隆市七堵區崇禮街23號,"25.0978416,121.7152313",B01,49,第三分局,
基隆市衛生局,正光里,基隆市七堵區明德一路169號,"25.0972017,121.7129278",B01,95,第三分局,
公寓,正光里,基隆市七堵區明德一路157之3號,"25.097461,121.7135614",B01,95,第三分局,
公寓,正光里,基隆市七堵區崇禮街29號,"25.0979776,121.7151965",B01,22,第三分局,
公寓,正光里,基隆市七堵區南興路23號,"25.0972853,121.7146319",B01,53,第三分局,
公寓,正光里,基隆市七堵區崇義街1號,"25.0977607,121.7157534",B01,151,第三分局,
東固建設,正光里,基隆市七堵區明德一路13號,"25.0991567,121.7175374",B01,216,第三分局,
市中星,正光里,基隆市七堵區明德一路85號,"25.0984016,121.7160264",B01,809,第三分局,
公寓,正光里,基隆市七堵區光明路118號,"25.0954515,121.7136132",B01,138,第三分局,
公寓,正光里,基隆市七堵區崇智街5號,"25.0968941,121.7145722",B01,65,第三分局,
交通部鐵路改建工程局,正光里,基隆市七堵區崇禮街1之4號,"25.0961248,121.7156778",B01,1201,第三分局,
七堵區公所,正光里,基隆市七堵區光明路21號,"25.0977566,121.7165778",B01,1189,第三分局,
