類別,電腦編號,村里別,緯經度,地下層數位址,可容納人數,轄管分局,備註,停車場坡道
大樓,ETA00001,大華里,,1,120.0,八德分局,（機敏單位）金融機構,O
公寓,ETA00005,大忠里,"24.959579,121.299656",1,200.0,八德分局,,O
公寓,ETA00007,大義里,"24.964234,121.304015",1,1266.0,八德分局,,O
大樓,ETA00008,大福里,"24.978294,121.302402",2,1593.0,八德分局,,O
公寓,ETA00015,大同里,"24.960811,121.295098",1,1266.0,八德分局,,
公寓,ETA00017,廣德里,"24.951498,121.288599",1,213.0,八德分局,,O
大樓,ETA00018,興仁里,"24.929988,121.285466",1,742.0,八德分局,,O
大樓,ETA00019,興仁里,"24.930149,121.28567",1,1402.0,八德分局,,
公寓,ETA00021,興中里,"24.923414,121.282498",1,326.0,八德分局,,O
大樓,ETA00023,興仁里,"24.929876,121.286762",1,649.0,八德分局,,
公寓,ETA00024,興仁里,"24.930247,121.284232",1,113.0,八德分局,,O
大樓,ETA00027,興仁里,"24.92913,121.28162",1,77.0,八德分局,,
公寓,ETA00032,瑞泰里,"24.942467,121.297008",1,1201.0,八德分局,,
公寓,ETA00033,瑞泰里,"24.944099,121.297678",1,1200.0,八德分局,,
大樓,ETA00036,龍友里,"24.926964,121.257133",1,96.0,八德分局,,O
大樓,ETA00037,霄裡里,"24.933792,121.262754",1,2229.0,八德分局,,O
大樓,ETA00038,福元里,"24.931705,121.285979",1,5212.0,八德分局,,O
公寓,ETA00039,福元里,"24.931495,121.285229",1,1196.0,八德分局,,O
公寓,ETA00041,廣德里,"24.942371,121.279435",1,266.0,八德分局,,O
公寓,ETA00042,廣隆里,"24.959426,121.291977",1,100.0,八德分局,,
公寓,ETA00045,廣隆里,"24.962418,121.279831",1,53.0,八德分局,,
公寓,ETA00046,廣隆里,"24.962319,121.279712",1,160.0,八德分局,,O
公寓,ETA00047,廣隆里,"24.959676,121.291344",1,60.0,八德分局,,
公寓,ETA00048,廣隆里,"24.959674,121.291393",1,40.0,八德分局,,
大樓,ETA00050,竹園里,"24.932839,121.265047",1,40.0,八德分局,,O
