類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
海港大樓,1.0,,基隆市仁愛區港西街6號,1.0,746.0,
大沙灣中隊,2.0,,基隆市中正區東海街8號之1,1.0,154.0,
陽明海運,3.0,仙洞里,基隆市仙洞里中山四路1號,1.0,92.0,
臺北中隊,4.0,,新北市八里區商港路120號,1.0,165.0,
基隆港務分公司臺北營運處,5.0,,新北市八里區商港路123號,1.0,175.0,
臺北港務消防隊,6.0,,新北市八里區商港路122號,1.0,86.0,
蘇澳中隊,7.0,蘇東里,宜蘭縣蘇澳鎮蘇東里港區路7號,1.0,28.0,
基隆港務分公司蘇澳營運處,8.0,,宜蘭縣蘇澳鎮蘇東里港區路1號,1.0,250.0,
