類別,電腦編號,里別,地址,地下樓層數,分配容量
移民署,KMA00012,崇文里,南投市崇文里文昌街87號,1,200.0
新安全機車行,KMA00044,崇文里,南投市崇文里彰南路一段1137號,1,19.0
一搬住宅,KMA00045,崇文里,南投市崇文里民族路379-3號,1,27.0
今日汽車商行,KMA00067,平和里,南投市平和里中興路438號,1,25.0
觀音寺,KMA00070,東山里,南投市東山里東山路13號,1,85.0
一般住宅,KMA00099,三和里,南投市三和里中山南街47號,1,23.0
原翌營造中心,KMA00127,彰仁里,南投市彰仁里復興路207號,1,19.0
南投酒廠,KMA00131,東山里,南投市東山里東山路83號,1,239.0
一般住宅,KMA00171,三民里,南投市三民里彰南路二段140號,1,27.0
南投救國團,KMA00230,三和里,南投市三和里中興路700號,1,369.0
南投文化中心,KMA00283,三興里,南投市三興里建國路201號,1,3711.0
南投醫院,KMA00285,康壽里,南投市康壽里復興路478號,1,1484.0
台灣銀行,KMA00286,三和里,南投市三和里復興路101號,1,1339.0
南投縣衛生局,KMA00310,三和里,南投市三和里三和一街11號,1,100.0
一般住宅,KMA00324,三和里,南投市三和里中山南街17號,1,39.0
中華電信,KMA00328,三民里,南投市三民里中山一街3號,1,438.0
一般住宅,KMA00329,三興里,南投市三興里建國路88號,1,54.0
南投郵局,KMA00358,三和里,南投市三和里三合二街30號,1,893.0
一般住宅,KMA00359,康壽里,南投市康壽里中山街214-216號,1,67.0
華南銀行,KMA00364,彰仁里,南投市彰仁里復興路236號,1,480.0
一般住宅,KMA00376,南投里,南投市南投里彰南路二段9號,1,292.0
一般住宅,KMA00390,崇文里,南投市崇文里文昌街93號,1,27.0
TS髮型沙龍,KMA00413,南投里,南投市南投里民族路274號,1,87.0
百事特童裝,KMA00414,南投里,南投市南投里民族路276號,1,234.0
南投國小,KMA00503,崇文里,南投市崇文里彰南路二段1059號,1,134.0
宏光隱形眼鏡,KMA00509,三和里,南投市三和里彰南路一段966號,1,210.0
簡姓宗親會,KMA00521,平和里,南投市平和里中興路510.516號,1,212.0
金山建設公司,KMA00563,嘉和里,南投市嘉和里彰南路一段674巷29號,1,739.0
一般住宅,KMA00565,平和里,南投市平和里信義街169號,1,167.0
上毅建設,KMA00571,平和里,南投市平和里信義街1號,1,2771.0
南投地方法院,KMA00575,三和里,南投市三和里中興路759號,1,2480.0
尚品鑑社,KMA00582,平和里,南投市平和里信義街250號,1,1005.0
錦繡觀邸,KMA00583,嘉和里,南投市嘉和里忠孝八街12號,1,1371.0
中友建設,KMA00590,軍功里,南投市軍功里東山路443巷2號,1,3932.0
通力國寶,KMA00593,平和里,南投市平和里中興路466號,1,10044.0
通力建設,KMA00595,南投里,南投市南投里彰南路二段16.18號,1,227.0
美滿天廈,KMA00596,康壽里,南投市康壽里南陽路343號,1,3750.0
南崗國中,KMA00598,嘉和里,南投市嘉和里大庄路94號,1,273.0
南基醫院,KMA00601,嘉和里,南投市嘉和里中興路870號,2,982.0
南投縣消防局,KMA00602,三興里,南投市三興里民族路494號,1,1104.0
遠東商業銀行,KMA00603,三和里,南投市三和里三和二路11號,1,788.0
一般住宅,KMA00604,三興里,南投市三興里文化路25號,1,4129.0
南投縣政府稅務局,KMA00607,三和里,南投市三和里復興路2號,1,2582.0
霖谷建設,KMA00614,崇文里,南投市崇文里中山街38號,1,382.0
南投市農會,KMA00615,崇文里,南投市崇文里文昌街45號,2,1067.0
台灣中小企銀行,KMA00616,崇文里,南投市崇文里復興路139號,1,237.0
南投高商,KMA00618,三興里,南投市三興里彰南路一段963號,1,677.0
霖谷建設,KMA00619,三興里,南投市三興里建國路97號,1,1380.0
一般住宅,KMA00625,三和里,南投市三和里公園南街97號,1,871.0
中友建設,KMA00628,軍功里,南投市軍功里東山路443巷27號,1,3432.0
康壽國小,KMA00637,康壽里,南投市康壽里南陽路26-9號,1,1532.0
名人世家,KMA00639,三興里,南投市三興里建國路18號,1,1490.0
南投市公所,KMA00640,龍泉里,南投市龍泉里玉井街5號,1,2349.0
南投國宅管委會,KMA00644,嘉和里,南投市嘉和里樂利路201號,1,2545.0
交通部電信總局,KMA00645,平和里,南投市平和里民族路160號,2,1907.0
南投高中,KMA00630,三興里,南投市三興里建國路137號,1,676.0
一般住宅,KMA00633,三和里,南投市三和里大同南街9號,1,22.0
一般住宅,KMA00636,三興里,南投市三興里南崗一路72號,1,40.0
台灣電力公司,KMA00635,三興里,南投市三興里民族路436號,1,45.0
南投縣立圖書館,KMA00674,三和里,南投市三和里中興路669號,1,2328.0
彰化客運,KMA00675,三和里,南投市三和里三和三路21號,1,13802.0
