編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)","unnamed (10)","unnamed (11)"
1.0,臺中市潭子區和平路33巷18號,1,763.0,大雅分局,"120.697269 ","24.195698 ",頭家里,,,,,,,,,,,
2.0,臺中市潭子區得福街185號,1,3644.0,大雅分局,"120.696267 ","24.195912 ",頭家里,,,,,,,,,,,
3.0,臺中市潭子區大新路1之24號,1,749.0,大雅分局,"120.704350 ","24.209710 ",福仁里,,,,,,,,,,,
4.0,臺中市潭子區興華一路141巷30號,1,1328.0,大雅分局,"120.701780 ","24.206850 ",福仁里,,,,,,,,,,,
5.0,臺中市潭子區得天街26號,1,35.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
6.0,臺中市潭子區頭張路1段22巷19號,1,22.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
7.0,臺中市潭子區頭張路1段22巷21號,1,22.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
8.0,臺中市潭子區頭張路1段22巷25號,1,22.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
9.0,臺中市潭子區合作街38巷61號,1,1422.0,大雅分局,"120.709171 ","24.204045 ",福仁里,,,,,,,,,,,
10.0,臺中市潭子區潭興路一段165巷300號,1,2179.0,大雅分局,"120.717735 ","24.196760 ",聚興里,,,,,,,,,,,
11.0,臺中市潭子區潭興路一段165巷320號,1,3403.0,大雅分局,"120.716679 ","24.194410 ",聚興里,,,,,,,,,,,
12.0,臺中市潭子區頭張路1段22巷23號,1,22.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
13.0,臺中市潭子區頭張路1段22巷29號,1,22.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
14.0,臺中市潭子區頭張路1段22巷31號,1,22.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
15.0,臺中市潭子區得天街18號,1,39.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
16.0,臺中市潭子區得天街20號,1,38.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
17.0,臺中市潭子區得天街22號,1,39.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
18.0,臺中市潭子區中山路2段31號,1,903.0,大雅分局,"120.703700 ","24.202490 ",家興里,,,,,,,,,,,
19.0,臺中市潭子區得天街24號,1,39.0,大雅分局,"120.701606 ","24.194742 ",頭家里,,,,,,,,,,,
20.0,臺中市潭子區得天街14號,1,38.0,大雅分局,"120.700870 ","24.196920 ",頭家里,,,,,,,,,,,
21.0,臺中市潭子區得天街16號,1,39.0,大雅分局,"120.700820 ","24.195450 ",頭家里,,,,,,,,,,,
22.0,臺中市潭子區頭張路1段34號,1,36.0,大雅分局,"120.701550 ","24.194510 ",頭家里,,,,,,,,,,,
23.0,臺中市潭子區頭張路1段36號,1,37.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
24.0,臺中市潭子區頭張路1段38號,1,37.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
25.0,臺中市潭子區頭張路1段40號,1,37.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
26.0,臺中市潭子區頭張路1段42號,1,36.0,大雅分局,"120.699120 ","24.194390 ",頭家里,,,,,,,,,,,
27.0,臺中市潭子區頭張路1段44號,1,29.0,大雅分局,"120.700480 ","24.194400 ",頭家里,,,,,,,,,,,
28.0,臺中市潭子區頭張路1段22巷36號,1,24.0,大雅分局,"120.701720 ","24.195210 ",頭家里,,,,,,,,,,,
29.0,臺中市潭子區頭張路1段22巷34號,1,23.0,大雅分局,"120.701780 ","24.195210 ",頭家里,,,,,,,,,,,
30.0,臺中市潭子區得天街2號,1,38.0,大雅分局,"120.700820 ","24.195450 ",頭家里,,,,,,,,,,,
31.0,臺中市潭子區得天街4號,1,39.0,大雅分局,"120.700870 ","24.196920 ",頭家里,,,,,,,,,,,
32.0,臺中市潭子區得天街6號,1,39.0,大雅分局,"120.700870 ","24.196920 ",頭家里,,,,,,,,,,,
33.0,臺中市潭子區得天街56巷8號,1,39.0,大雅分局,"120.701260 ","24.196260 ",頭家里,,,,,,,,,,,
34.0,臺中市潭子區得天街10號,1,39.0,大雅分局,"120.700820 ","24.195450 ",頭家里,,,,,,,,,,,
35.0,臺中市潭子區得天街12號,1,39.0,大雅分局,"120.700150 ","24.193160 ",頭家里,,,,,,,,,,,
