電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
A026,龍祥里,桃園市龍潭區龍祥里中豐路259號,"24.8769202840851, 121.21222978351203",2,1023,龍潭分局,,O,基宏建設公司
A027,凌雲里,桃園市龍潭區凌雲里聖亭路130號,"24.86775844998416, 121.20703208351182",1,1092,龍潭分局,,O,祥堤建設
A028,烏林里,桃園市龍潭區烏林里中豐路461巷106弄37-3號,"24.883181085490854, 121.20970068166358",1,5164,龍潭分局,,O,豐謙建設有限公司
A029,烏林里,桃園市龍潭區烏林里中豐路461巷106弄50-6號,"24.883327078183534, 121.20960412214392",2,1099,龍潭分局,,O,豐邑建設有限公司
A030,烏林里,桃園市龍潭區烏林里中豐路461巷169號,"24.882556273892277, 121.20908984764527",1,1037,龍潭分局,,O,京耀建設股份有限公司
A031,烏樹林里,桃園市龍潭區烏樹林里中豐路342-10號,"24.879153150385164, 121.21187791419626",1,2207,龍潭分局,,O,全國農業金庫股份有限公司-吳明敏
A032,烏樹林里,桃園市龍潭區烏樹林里中豐路268巷67號,"24.877704250762676, 121.21277870865023",1,1016,龍潭分局,,O,合眾建築經理股份有限公司
A033,烏林里,桃園市龍潭區烏林里工七路8號,"24.88981088404005, 121.20432251234786",1,377,龍潭分局,,O,家慶營造股份有限公司
A034,烏林里,桃園市龍潭區烏林里中豐路461巷131號,"24.882322684043626, 121.20889672860592",2,820,龍潭分局,,O,寶台建設有限公司-柯振良
A035,烏林里,桃園市龍潭區烏林里工一路150巷8號,"24.880012784743553, 121.20822908166348",1,500,龍潭分局,,O,匯鉅企業有限公司
A036,聖德里,桃園市龍潭區聖德里聖亭路八德段236號,"24.878555584761127, 121.19982438536074",1,341,龍潭分局,,,春源鋼鐵工業股份有限公司-蔡錫奇
A037,烏林里,桃園市龍潭區烏林里16鄰中豐路461巷176號,"24.882962115985425, 121.20870726992207",2,2602,龍潭分局,,O,綠意開發股份有限公司
A038,烏林里,桃園市龍潭區烏林里7鄰工五路90巷56號,"24.89027931633279, 121.20971136817028",2,1824,龍潭分局,,O,禾伸堂企業股份有限公司
A039,烏林里,桃園市龍潭區烏林里039鄰工五路189號,"24.888695886791986, 121.2071871816636",1,849,龍潭分局,,O,信通交通器材股份有限公司
