電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
E023,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,41,龍潭分局,,,石門磁性公司
E024,高原里,桃園市龍潭區高原里高楊北路451巷100號,"24.84429037294619, 121.20000528816564",1,374,龍潭分局,,,兆全實業
E025,高平里,桃園市龍潭區高平里中豐路高平段576號,"24.828520744167314, 121.20626144118197",1,188,龍潭分局,,,鴻華化學公司
E026,高原里,桃園市龍潭區高原里高楊北路451巷100號,"24.84429037294619, 121.20000528816564",1,1132,龍潭分局,,,兆全實業
E027,高原里,桃園市龍潭區高原里高楊北路451巷100號,"24.84429037294619, 121.20000528816564",1,531,龍潭分局,,,兆全實業
E028,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,31,龍潭分局,,,台全電機
E029,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,54,龍潭分局,,,台全電機
E030,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,60,龍潭分局,,,台全電機
E031,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,251,龍潭分局,,,台全電機
E035,高原里,桃園市龍潭區高原里橫岡下4-4號,"24.827411149073157, 121.18823917063847",1,233,龍潭分局,,,台全電機
E037,高平里,桃園市龍潭區高平里高楊南路320巷13弄8號,"24.832274636637223, 121.21380972804566",1,161,龍潭分局,,,東建橡膠工廠公司
E038,渴望里,桃園市龍潭區渴望里渴望路205巷66號,"24.837984493025797, 121.18702077671468",2,944,龍潭分局,,,宏碁電腦
E039,渴望里,桃園市龍潭區渴望里渴望路237巷01號,"24.837309257848712, 121.1876621924859",2,2407,龍潭分局,,,宏碁電腦
E040,高原里,桃園市龍潭區高原里高原路568號,"24.83012648786892, 121.19389041085086",2,448,龍潭分局,,,高原國小
E041,高原里,桃園市龍潭區高原里龍源路245號,"24.836527163370373, 121.18936270950051",1,6622,龍潭分局,,O,宏碁電腦
E042,高原里,桃園市龍潭區高原里龍源路245號,"24.82355295916248, 121.21164934338911",2,315,龍潭分局,,,駿冠工業
E043,高平里,桃園市龍潭區高平里中豐路高平段418號,"24.831948873902995, 121.20863406826714",1,9827,龍潭分局,,,新生醫護專科學校
E044,高平里,桃園市龍潭區高平里中豐路高平段418號,"24.831948873902995, 121.20863406826714",2,2296,龍潭分局,,,新生醫護專科學校
E045,高平里,(機敏單位)桃園市龍潭區高平里中豐路高平段108號,,1,66,龍潭分局,,,台灣石油公司
E046,高平里,桃園市龍潭區高平里中豐路高平段418號,"24.831948873902995, 121.20863406826714",1,323,龍潭分局,,,新生醫護專科學校
E047,高原里,桃園市龍潭區高原里中原路二段188號,"24.841629875696633, 121.19630601085113",1,2613,龍潭分局,,O,雄獅鉛筆廠股份有限公司
E048,高原里,桃園市龍潭區高原里中原路一段360號,"24.850259684058752, 121.2001798666719",1,346,龍潭分局,,O,善哉環保股份有限公司
E049,渴望里,桃園市龍潭區渴望里新和路1號,"24.84306153683977, 121.18794740845459",3,20701,龍潭分局,,O,友達光電
E050,渴望里,桃園市龍潭區渴望里渴望路660巷50弄1號,"24.84469216795912, 121.17768393834726",1,830,龍潭分局,,O,諾瓦國小
E051,高平里,桃園市龍潭區高平里中豐路高平段10巷85號,"24.83875636767998, 121.2127617943652",0,29,龍潭分局,,,金勃公司
F003,三水里,桃園市龍潭區三和里大北坑街一段220巷66號,"24.871550615217746, 121.17229882804652",1,82,龍潭分局,,,深浦製藥
F004,三水里,桃園市龍潭區三水里大北坑街一段220巷65號,"24.87139505026882, 121.17276381270297",1,56,龍潭分局,,,正揚製藥(國科生技)
F005,三和里,(機敏單位)桃園市龍潭區三和里楊銅路二段801號,,1,16,龍潭分局,,,杜邦化工
F006,三和里,桃園市龍潭區三和里店湖一路90號,"24.870047016277887, 121.17654606667233",1,72,龍潭分局,,,豐煜油壓
F008,三和里,桃園市龍潭區三和里朝鳳路1號,"24.870847032990643, 121.17873753362603",1,141,龍潭分局,,,厚生橡膠
F009,三和里,桃園市龍潭區三和里店湖一路126號,"24.869648592742635, 121.1763097954073",1,201,龍潭分局,,,志祥工業
F010,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,4381,龍潭分局,,O,中華映管
F011,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,9493,龍潭分局,,O,中華映管
F012,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,4347,龍潭分局,,O,中華映管
F013,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,859,龍潭分局,,,中華映管
