類別,電腦編號,里別,防空疏散避難設施地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FNA00001,錦華里,新竹市東區錦華里北大路39巷5號之2,"24.8124692,120.9731008",57.0,第二分局,
一般住宅,FNA00002,文華里,新竹市東區文華里北大路24號,"24.8131918,120.9733329",170.0,第二分局,
一般住宅,FNA00003,復興里,新竹市東區復興里自由路101號,"24.8137753,120.9800977",206.0,第二分局,
一般住宅,FNA00004,東山里,新竹市東區東山里8鄰東山街39巷9號,"24.7962671,120.9791649",900.0,第二分局,
一般住宅,FNA00005,東山里,新竹市東區東山里21鄰東山街77號,"24.7974469,120.9787479",267.0,第二分局,
公有建築物,FNA00006,綠水里,新竹市東區綠水里13鄰園後街25號,"24.8000634,120.9851876",850.0,第二分局,
一般住宅,FNA00007,水源里,新竹市東區水源里17鄰中華路一段119號,"24.8185875,120.9958748",13.0,第二分局,
一般住宅,FNA00008,水源里,新竹市東區水源里17鄰中華路一段125號,"24.8154274,120.9931789",121.0,第二分局,
一般住宅,FNA00009,水源里,新竹市東區水源里17鄰中華路一段135號,"24.8153868,120.9931523",74.0,第二分局,
公有建築物,FNA00010,綠水里,新竹市東區綠水里10鄰光復路二段321號,"24.8004074,120.9883064",14.0,第二分局,
供公眾使用建築物,FNA00011,錦華里,新竹市東區錦華里北大路87號,"24.8114788,120.9710816",1766.0,第二分局,
供公眾使用建築物,FNA00012,錦華里,新竹市東區錦華里北大路91號,"24.81101,120.97036",2649.0,第二分局,
一般住宅,FNA00013,復中里,新竹市東區復中里民生路198號,"24.8115214,120.9760961",36.0,第二分局,
一般住宅,FNA00014,復興里,新竹市東區復興里經國路一段406號,"24.814968,120.980852",117.0,第二分局,
一般住宅,FNA00015,錦華里,新竹市東區錦華里3鄰東大路一段232巷12號,"24.8109254,120.9710834",485.0,第二分局,
一般住宅,FNA00016,錦華里,新竹市東區錦華里3鄰東大路一段232巷8號,"24.8107981,120.9708665",96.0,第二分局,
一般住宅,FNA00017,錦華里,新竹市東區錦華里2鄰世界街10號,"24.8106581,120.9721101",241.0,第二分局,
一般住宅,FNA00018,錦華里,新竹市東區錦華里18鄰北大路31號,"24.8135841,120.9740496",26.0,第二分局,
一般住宅,FNA00019,文華里,新竹市東區文華里17鄰國華街53號,"24.8157697,120.9706193",97.0,第二分局,
一般住宅,FNA00020,文華里,新竹市東區文華里13鄰田美三街38號,"24.8159491,120.977354",565.0,第二分局,
一般住宅,FNA00021,復中里,新竹市東區復中里15鄰民生路222巷5號,"24.8122291,120.9760714",29.0,第二分局,
一般住宅,FNA00022,文華里,新竹市東區文華里北大路72巷9-11號,"24.8117698,120.971089",88.0,第二分局,
一般住宅,FNA00023,文華里,新竹市東區文華里北大路60巷41號,"24.8125102,120.9721963",38.0,第二分局,
一般住宅,FNA00024,復中里,新竹市東區復中里18鄰民生路140號,"24.8103384,120.9771131",34.0,第二分局,
一般住宅,FNA00025,文華里,新竹市東區文華里北大路14號,"24.8134441,120.9739356",85.0,第二分局,
一般住宅,FNA00026,復中里,新竹市東區復中里民權路151號,"24.8088583,120.9744435",193.0,第二分局,
一般住宅,FNA00027,復興里,新竹市東區復興里經國路一段482號,"24.814738,120.9779709",44.0,第二分局,
供公眾使用建築物,FNA00028,復興里,新竹市東區復興里經國路一段442巷9號,"24.8151262,120.9798238",236.0,第二分局,
一般住宅,FNA00029,復興里,新竹市東區復興里經國路一段390號,"24.814991,120.981542",33.0,第二分局,
一般住宅,FNA00030,復中里,新竹市東區復中里中央路264號,"24.809294,120.976569",62.0,第二分局,
一般住宅,FNA00031,文華里,新竹市東區文華里北大路88號,"24.8116367,120.9707718",62.0,第二分局,
一般住宅,FNA00032,文華里,新竹市東區文華里北大路70巷11號,"24.81214,120.9708947",52.0,第二分局,
一般住宅,FNA00033,文華里,新竹市東區文華里經國路一段704號,"24.8144341,120.9731041",68.0,第二分局,
