類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
本億建設公司,OMA00087,永平里,臺南市新營區永平里4鄰富源街22號,"23.302790,120.315752",1.0,504.0,
大樓,OMA00088,新南里,臺南市新營區新南里9鄰復興路620巷61弄26號,"23.307749,120.296142",1.0,839.0,
我家建設公司,OMA00089,新南里,臺南市新營區新南里24鄰隋唐街295巷27弄22號,"23.307410,120.298261",1.0,1389.0,
大樓,OMA00090,新北里,臺南市新營區新北里16鄰新北八街53號,"23.313880,120.303647",1.0,749.0,
鎮南殿,OMA00091,新北里,臺南市新營區新北里2鄰民治路160號,"23.309363,120.306707",1.0,252.0,
民苑企業社,OMA00092,新北里,臺南市新營區新北里2鄰民治路156巷42之1號,"23.310037,120.306768",1.0,605.0,
大新營建設公司,OMA00093,新北里,臺南市新營區新北里20鄰民生路336巷22號,"23.31391,120.305691",1.0,1207.0,
一般住宅,OMA00094,新南里,臺南市新營區新南里8鄰明清二街171號,"23.309194,120.298762",1.0,619.0,
台南市消防局,OMA00095,護鎮里,臺南市新營區護鎮里2鄰三興街380號,"23.322994,120.309425",1.0,424.0,
台聯公司,OMA00097,嘉芳里,臺南市新營區嘉芳里6鄰四維路11號,"23.307423,120.279803",1.0,69.0,
榮剛公司,OMA00098,嘉芳里,臺南市新營區嘉芳里6鄰新中路35號,"23.301680,120.280922",1.0,225.0,
常琪鋁業,OMA00099,嘉芳里,臺南市新營區嘉芳里6鄰四維路9號,"23.307200,120.280203",1.0,53.0,
正和製藥,OMA00100,嘉芳里,臺南市新營區嘉芳里6鄰新工路23號,"23.304020,120.281882",1.0,279.0,
仙台藥品,OMA00101,嘉芳里,臺南市新營區嘉芳里6鄰新工路35號,"23.302288,120.281792",1.0,201.0,
成浤塑膠,OMA00102,嘉芳里,臺南市新營區嘉芳里6鄰新工路29號,"23.303180,120.281902",1.0,47.0,
南梓國小,OMA00103,南紙里,臺南市新營區南紙里22鄰建業路191號,"23.298355,120.298573",1.0,288.0,
南梓國小活動中心,OMA00104,南興里,臺南市新營區南興里18鄰建業路165號,"23.298283,120.299837",1.0,33.0,
再豐紙業公司,OMA00105,嘉芳里,臺南市新營區嘉芳里6鄰新圳路4號,"23.301130,120.28419",1.0,119.0,
新營區太南里公有市場,OMA00106,太南里,臺南市新營區太南里9鄰太子宮239號,"23.292997,120.276059",1.0,567.0,
台菱公司,OMA00107,嘉芳里,臺南市新營區嘉芳里6鄰八德路7號,"23.303280,120.283769",1.0,60.0,
新永和製皮公司,OMA00108,太北里,臺南市新營區太北里9鄰新太路45號,"23.300830,120.273602",1.0,645.0,
台灣銅業公司,OMA00111,嘉芳里,臺南市新營區嘉芳里6鄰新圳路10號,"23.300097,120.282032",1.0,265.0,
金鼎紙業公司,OMA00112,嘉芳里,臺南市新營區嘉芳里6鄰八德路14號,"23.303699,120.284391",1.0,81.0,
品俊公司,OMA00113,嘉芳里,臺南市新營區嘉芳里6鄰新業街9號,"23.304220,120.28389",1.0,37.0,
南亞畜牧,OMA00114,嘉芳里,臺南市新營區嘉芳里6鄰復興路1133號,"23.310020,120.278396",1.0,23.0,
鷹星工業,OMA00115,嘉芳里,臺南市新營區嘉芳里6鄰五福路11號,"23.305340,120.283751",1.0,28.0,
大榮貨運公司,OMA00116,嘉芳里,臺南市新營區嘉芳里6鄰四維路20號,"23.307715,120.279004",1.0,1659.0,
浩斌企業,OMA00117,嘉芳里,臺南市新營區嘉芳里6鄰五福路108號,"23.305689,120.282503",1.0,48.0,
雅川實業,OMA00118,嘉芳里,臺南市新營區嘉芳里6鄰四維路7號,"23.307369,120.280519",1.0,72.0,
