類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,WMA01215,力行里,臺北市中山區朱崙街30號,"25.04989,121.540836",2,284.0,中山分局,
一般住宅,WMA01220,力行里,臺北市中山區朱崙街36號,"25.0499,121.541289",1,826.0,中山分局,
一般住宅,WMA02756,力行里,臺北市中山區龍江路39-43號,"25.048898,121.540541",1,328.0,中山分局,
一般住宅,WMA02763,力行里,臺北市中山區龍江路53號,"25.049467,121.540553",1,354.0,中山分局,
一般住宅,WMA02903,力行里,臺北市中山區龍江路45巷13-17號,"25.049247,121.541073",1,514.0,中山分局,
一般住宅,WMA02904,力行里,臺北市中山區龍江路45巷2號,"25.049132,121.541028",1,63.0,中山分局,
一般住宅,WMA02905,力行里,臺北市中山區龍江路45巷28-32號,"25.049092,121.541617",1,145.0,中山分局,
一般住宅,WMA02906,力行里,臺北市中山區龍江路46巷2號,"25.049102,121.540077",1,215.0,中山分局,
一般住宅,WMA02907,力行里,臺北市中山區龍江路55巷10號,"25.04952,121.540938",1,14.0,中山分局,
一般住宅,WMA02908,力行里,臺北市中山區龍江路55巷3-5號,"25.049638,121.540913",1,130.0,中山分局,
一般住宅,WMA03044,力行里,臺北市中山區龍江路45巷2之2號,"25.049133,121.540889",2,157.0,中山分局,
一般住宅,WMA03377,力行里,臺北市中山區龍江路46巷1-9號,"25.049354,121.540156",1,2700.0,中山分局,
一般住宅,WMA01692,力行里,臺北市中山區長安東路二段179-189號,"25.048387,121.542462",1,807.0,中山分局,
一般住宅,WMA01712,力行里,臺北市中山區長安東路二段201巷21號,"25.049522,121.543475",1,42.0,中山分局,
一般住宅,WMA01713,力行里,臺北市中山區長安東路二段201巷23號,"25.049619,121.543476",1,98.0,中山分局,
一般住宅,WMA02141,力行里,臺北市中山區復興北路36巷1-3號,"25.049247,121.543453",1,166.0,中山分局,
一般住宅,WMA02612,力行里,臺北市中山區長安東路二段173-177號,"25.04839,121.542272",2,630.0,中山分局,
一般住宅,WMA02632,力行里,臺北市中山區遼寧街45巷25號,"25.048824,121.543111",1,52.0,中山分局,
一般住宅,WMA02633,力行里,臺北市中山區遼寧街45巷29-31號,"25.048822,121.543212",1,212.0,中山分局,
一般住宅,WMA02637,力行里,臺北市中山區遼寧街63巷26號,"25.049071,121.543096",1,25.0,中山分局,
一般住宅,WMA02639,力行里,臺北市中山區遼寧街63巷28-30號,"25.04907,121.543156",1,271.0,中山分局,
一般住宅,WMA03234,力行里,臺北市中山區長安東路二段199號,"25.048368,121.543302",1,831.0,中山分局,
一般住宅,WMA01897,力行里,臺北市中山區南京東路三段118號,"25.051739,121.540307",2,533.0,中山分局,
一般住宅,WMA01903,力行里,臺北市中山區南京東路三段2號,"25.052216,121.537187",1,197.0,中山分局,
一般住宅,WMA01909,力行里,臺北市中山區南京東路三段22-32號,"25.051786,121.537746",2,2083.0,中山分局,
一般住宅,WMA01910,力行里,臺北市中山區南京東路三段22-32號,"25.051786,121.537746",3,2083.0,中山分局,
一般住宅,WMA01911,力行里,臺北市中山區南京東路三醹36號,"25.05178,121.538259",2,1059.0,中山分局,
一般住宅,WMA01994,力行里,臺北市中山區建國北路一段57巷6-8號,"25.050453,121.537629",1,277.0,中山分局,
一般住宅,WMA02004,力行里,臺北市中山區建國北路一段69-71號,"25.051062,121.53716",1,322.0,中山分局,
一般住宅,WMA02012,力行里,臺北市中山區建國北路一段67巷21-23號,"25.051016,121.537995",1,247.0,中山分局,
一般住宅,WMA02914,力行里,臺北市中山區龍江路76巷18號,"25.051252,121.538021",1,210.0,中山分局,
一般住宅,WMA02915,力行里,臺北市中山區龍江路76巷22號,"25.05129,121.537628",1,202.0,中山分局,
一般住宅,WMA02916,力行里,臺北市中山區龍江路76巷31-33號,"25.051404,121.539018",2,433.0,中山分局,
一般住宅,WMA02917,力行里,臺北市中山區龍江路76巷47-51號,"25.051425,121.538016",1,465.0,中山分局,
一般住宅,WMA02918,力行里,臺北市中山區龍江路76巷53-55號,"25.051406,121.537743",1,294.0,中山分局,
一般住宅,WMA03026,力行里,臺北市中山區南京東路三段36號,"25.05178,121.538259",2,1059.0,中山分局,
一般住宅,WMA03066,力行里,臺北市中山區南京東路三段16號,"25.051791,121.537587",2,355.0,中山分局,
一般住宅,WMA03197,力行里,臺北市中山區建國北路一段67巷15號,"25.051017,121.537871",1,194.0,中山分局,
一般住宅,WMA03229,力行里,臺北市中山區南京東路三段48巷2,"25.051628,121.538417",1,172.0,中山分局,
一般住宅,WMA03332,力行里,臺北市中山區南京東路三段48巷36-38號,"25.050785,121.538304",2,2229.0,中山分局,
一般住宅,WMA03484,力行里,臺北市中山區建國北路一段55、55之1號,"25.051632,121.536405",1,231.0,中山分局,
一般住宅,WMA03561,力行里,臺北市中山區南京東路三段8號,"25.051788,121.537252",1,675.0,中山分局,
一般住宅,WMA03604,力行里,臺北市中山區南京東路三段14巷8號,"25.051295,121.53746",1,104.0,中山分局,
一般住宅,WMA03843,力行里,臺北市中山區建國北路一段61號,"25.050671,121.537132",1,325.0,中山分局,
一般住宅,WMA01899,力行里,臺北市中山區南京東路三段182號,"25.051667,121.54168",1,77.0,中山分局,
一般住宅,WMA01907,力行里,臺北市中山區南京東路三段224號,"25.051659,121.543728",1,61.0,中山分局,
一般住宅,WMA01915,力行里,臺北市中山區南京東路三段194巷1號,"25.051459,121.542854",1,173.0,中山分局,
一般住宅,WMA01916,力行里,臺北市中山區南京東路三段194巷14-16號,"25.051352,121.54254",1,47.0,中山分局,
一般住宅,WMA01917,力行里,臺北市中山區南京東路三段194巷24-26號,"25.051107,121.542021",1,123.0,中山分局,
一般住宅,WMA01918,力行里,臺北市中山區南京東路三段194巷7-9號,"25.051069,121.542298",1,256.0,中山分局,
一般住宅,WMA01919,力行里,臺北市中山區南京東路三段210巷47號,"25.05167,121.543341",1,31.0,中山分局,
一般住宅,WMA02131,力行里,臺北市中山區復興北路70-76號,"25.050756,121.543794",1,305.0,中山分局,
一般住宅,WMA02132,力行里,臺北市中山區復興北路78號,"25.050899,121.543798",1,208.0,中山分局,
一般住宅,WMA02133,力行里,臺北市中山區復興北路80-82號,"25.050984,121.5438",1,235.0,中山分局,
一般住宅,WMA02134,力行里,臺北市中山區復興北路84-92號,"25.051159,121.543803",1,733.0,中山分局,
一般住宅,WMA02606,力行里,臺北市中山區遼寧街113-117號,"25.051293,121.541765",1,83.0,中山分局,
一般住宅,WMA02607,力行里,臺北市中山區遼寧街號,"25.047326,121.542269",1,357.0,中山分局,
一般住宅,WMA02614,力行里,臺北市中山區遼寧街101巷14-16號,"25.050654,121.543244",1,274.0,中山分局,
一般住宅,WMA02617,力行里,臺北市中山區遼寧街101巷2弄6-10號,"25.050331,121.5427",1,302.0,中山分局,
一般住宅,WMA02619,力行里,臺北市中山區遼寧街105巷35-37號,"25.051228,121.543082",1,355.0,中山分局,
一般住宅,WMA02613,力行里,臺北市中山區遼寧街72號,"25.051022,121.541796",1,23.0,中山分局,
一般住宅,WMA02640,力行里,臺北市中山區遼寧街76巷2-2-1號,"25.051182,121.541546",1,268.0,中山分局,
一般住宅,WMA02641,力行里,臺北市中山區遼寧街76巷4號,"25.051065,121.541465",1,35.0,中山分局,
一般住宅,WMA02764,力行里,臺北市中山區龍江路67-67-1號,"25.050616,121.540558",2,1292.0,中山分局,
一般住宅,WMA02765,力行里,臺北市中山區龍江路73-85號,"25.050878,121.540576",2,1855.0,中山分局,
一般住宅,WMA02912,力行里,臺北市中山區龍江路65巷17號,"25.050697,121.541355",1,221.0,中山分局,
一般住宅,WMA02913,力行里,臺北市中山區龍江路65巷19-23號,"25.050796,121.541511",1,281.0,中山分局,
一般住宅,WMA03038,力行里,臺北市中山區南京東路三段132-136號,"25.051722,121.540946",3,1174.0,中山分局,
