電腦編號,座落,緯度,經度,地下樓層數,可容納人數,轄管分局,placemark_address
TNA0005,宜蘭縣三星鄉大隱村大埔六路108巷16號,24.6734423,121.7135941,1.0,664.0,三星分局,宜蘭縣三星鄉大隱村大埔六路108巷16號
TNA0006,宜蘭縣三星鄉大隱村大埔中路260號,24.6675639,121.709634,1.0,225.0,三星分局,宜蘭縣三星鄉大隱村大埔中路260號
TNA0001,宜蘭縣三星鄉集慶村三星路四段143號,24.6678954,121.6600729,1.0,86.0,三星分局,宜蘭縣三星鄉集慶村三星路四段143號
TNA0002,宜蘭縣三星鄉義德村三星路5段192號,24.6659111,121.649426,1.0,104.0,三星分局,宜蘭縣三星鄉義德村三星路5段192號
TNA0003,宜蘭縣三星鄉義德村中山路二段41號,24.6684671,121.6523883,1.0,413.0,三星分局,宜蘭縣三星鄉義德村中山路二段41號
TNA0004,宜蘭縣三星鄉月眉村星中路225號,24.6699475,121.6614754,1.0,249.0,三星分局,宜蘭縣三星鄉月眉村星中路225號
TOA0001,宜蘭縣礁溪鄉大忠村礁溪路四段135號,24.8214103,121.7695196,1.0,409.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路四段135號
TOA0002,宜蘭縣礁溪鄉大忠村和平路47號,24.8227586,121.7683031,1.0,435.0,礁溪分局,宜蘭縣礁溪鄉大忠村和平路47號
TOA0003,宜蘭縣礁溪鄉大忠村中山路一段51號,24.8185267,121.7690767,1.0,92.0,礁溪分局,宜蘭縣礁溪鄉大忠村中山路一段51號
TOA0004,宜蘭縣礁溪鄉德陽村溫泉路51-1號,24.828179,121.773906,1.0,304.0,礁溪分局,宜蘭縣礁溪鄉德陽村溫泉路51-1號
TOA0005,宜蘭縣礁溪鄉德陽村德陽路8巷1號,24.8283202,121.7723486,1.0,213.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路8巷1號
TOA0006,宜蘭縣礁溪鄉玉石村公園路1號,24.8295513,121.7764615,1.0,276.0,礁溪分局,宜蘭縣礁溪鄉玉石村公園路1號
TOA0007,宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號,24.82509,121.76439,1.0,1577.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號
TOA0008,宜蘭縣礁溪鄉德陽村德陽路247巷10號,24.826032,121.764331,1.0,993.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路247巷10號
TOA0009,宜蘭縣礁溪鄉德陽村德陽路66巷1號,24.8300001,121.770233,1.0,1170.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路66巷1號
TOA0010,宜蘭縣礁溪鄉德陽村德陽路90巷12號,24.8291761,121.7689,1.0,436.0,礁溪分局,宜蘭縣礁溪鄉德陽村德陽路90巷12號
TOA0011,宜蘭縣礁溪鄉大忠村礁溪路4段129號,24.8206314,121.7691124,1.0,564.0,礁溪分局,宜蘭縣礁溪鄉大忠村礁溪路4段129號
