行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
信義區,WWA01660,三張里,臺北市信義區莊敬路460號,"25.026736,121.567672",1,"265 ",信義分局,,臺北市信義區莊敬路460號
信義區,WWA01117,三張里,臺北市信義區松平路99巷1、3號,"25.031074,121.567383",2,"1461 ",信義分局,,臺北市信義區松平路99巷1、3號
信義區,WWA02123,三張里,臺北市信義區信義路五段106號,"25.032586,121.566773",3,"4756 ",信義分局,,臺北市信義區信義路五段106號
信義區,WWA01330,三張里,臺北市信義區信義路五段100號,"25.032751,121.565642",4,"3225 ",信義分局,,臺北市信義區信義路五段100號
信義區,WWA02117,三張里,臺北市信義區松勤街105號,"25.032153,121.565697",3,"2364 ",信義分局,,臺北市信義區松勤街105號
信義區,WWA02191,三張里,臺北市信義區松仁路148號,"25.03101,121.568029",2,"2874 ",信義分局,,臺北市信義區松仁路148號
信義區,WWA02214,三張里,臺北市信義區松平路87號,"25.030536,121.567226",1,"1429 ",信義分局,,臺北市信義區松平路87號
信義區,WWA00599,三張里,臺北市信義區吳興街345巷9號,"25.026845,121.566129",2,"609 ",信義分局,,臺北市信義區吳興街345巷9號
信義區,WWA01728,三張里,臺北市信義區莊敬路391巷16弄1號,"25.028261,121.566024",1,"712 ",信義分局,,臺北市信義區莊敬路391巷16弄1號
信義區,WWA01732,三張里,臺北市信義區莊敬路391巷2弄9號,"25.027818,121.566214",1,"252 ",信義分局,,臺北市信義區莊敬路391巷2弄9號
信義區,WWA01729,三張里,臺北市信義區莊敬路391巷2弄1號,"25.027916,121.565892",1,"1010 ",信義分局,,臺北市信義區莊敬路391巷2弄1號
信義區,WWA01730,三張里,臺北市信義區莊敬路391巷2弄18號,"25.027615,121.566398",1,"298 ",信義分局,,臺北市信義區莊敬路391巷2弄18號
信義區,WWA01731,三張里,臺北市信義區莊敬路391巷2弄6號,"25.027756,121.565899",1,"757 ",信義分局,,臺北市信義區莊敬路391巷2弄6號
信義區,WWA01657,三張里,臺北市信義區莊敬路409號,"25.027425,121.566203",1,"382 ",信義分局,,臺北市信義區莊敬路409號
信義區,WWA02190,三張里,臺北市信義區莊敬路391巷22號,"25.028461,121.566079",1,"721 ",信義分局,,臺北市信義區莊敬路391巷22號
信義區,WWA01118,三張里,臺北市信義區松智路27號,"25.032527,121.565516",2,"2669 ",信義分局,,臺北市信義區松智路27號
信義區,WWA01733,三張里,臺北市信義區莊敬路391巷3弄13號,"25.028438,121.565023",1,"213 ",信義分局,,臺北市信義區莊敬路391巷3弄13號
信義區,WWA02014,三張里,臺北市信義區松平路70號,"25.030359,121.565696",2,"2756 ",信義分局,,臺北市信義區松平路70號
信義區,WWA02015,三張里,臺北市信義區松智路31巷2號,"25.030854,121.565822",1,"3749 ",信義分局,,臺北市信義區松智路31巷2號
信義區,WWA02016,三張里,臺北市信義區松智路29巷2號,"25.031343,121.565569",1,"964 ",信義分局,,臺北市信義區松智路29巷2號
信義區,WWA01654,三張里,臺北市信義區莊敬路359號,"25.027843,121.564702",1,"268 ",信義分局,,臺北市信義區莊敬路359號
信義區,WWA01655,三張里,臺北市信義區莊敬路367號,"25.027784,121.564911",1,"300 ",信義分局,,臺北市信義區莊敬路367號
信義區,WWA01656,三張里,臺北市信義區莊敬路377號,"25.027716,121.565145",1,"320 ",信義分局,,臺北市信義區莊敬路377號
信義區,WWA01720,三張里,臺北市信義區莊敬路341巷4弄24號,"25.028006,121.564995",1,"213 ",信義分局,,臺北市信義區莊敬路341巷4弄24號
信義區,WWA01721,三張里,臺北市信義區莊敬路341巷4弄3號,"25.028227,121.564908",1,"261 ",信義分局,,臺北市信義區莊敬路341巷4弄3號
信義區,WWA02017,三張里,臺北市信義區松智路31巷1號,"25.031085,121.565528",1,"1536 ",信義分局,,臺北市信義區松智路31巷1號
