建築物名稱,縣(市),鄉鎮市區,村里別,地址,"避難 樓層","防空避難 設備面積(平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,緯經度,備註
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市米市街80號,1.0,80,,88.0,苗栗分局,"24.554170921260997, 120.81738494448483",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市光復路117號,1.0,20,,22.0,苗栗分局,"24.55458506155605, 120.81639431171014",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市米市街50號,1.0,34,,37.0,苗栗分局,"24.55467688386526, 120.81766896334821",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市博愛街65巷3號,1.0,42,,46.0,苗栗分局,"24.554603480376166, 120.81729742102014",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市光復路119號,1.0,22,,24.0,苗栗分局,"24.55456704251888, 120.81646053451232",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市中正路727號,1.0,28,,31.0,苗栗分局,"24.554405080530575, 120.8190679700944",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市光復路116號,1.0,19,,21.0,苗栗分局,"24.55454078073184, 120.81684231976288",
住宅大樓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市博愛街109號,2.0,1529,v,1061.0,苗栗分局,"24.55458674991943, 120.8158786670688",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市光復路114號,1.0,13,,14.0,苗栗分局,"24.554565698373764, 120.81668726706887",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市米市街98號,1.0,15,,16.0,苗栗分局,"24.554151367860833, 120.81709656706902",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市米市街99號,1.0,26,,28.0,苗栗分局,"24.553867527001838, 120.81711516521746",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市米市街97號,1.0,42,,46.0,苗栗分局,"24.553859727015798, 120.81723126706889",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市光復路77號,1.0,20,,22.0,苗栗分局,"24.553894775047517, 120.8164935382329",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市日新街32號,1.0,31,,34.0,苗栗分局,"24.553745820552955, 120.8172036959048",
民宅公寓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市米市街52號,1.0,16,,17.0,苗栗分局,"24.55482715961218, 120.81766970939707",
住宅大樓,苗栗縣,苗栗市,綠苗里,苗栗縣苗栗市大同路53號,1.0,96,,106.0,苗栗分局,"24.554164150577524, 120.81545273638153",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市僑育街7號,1.0,712,,791.0,苗栗分局,"24.554064585289336, 120.81881960939695",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路56巷19號,1.0,23,,25.0,苗栗分局,"24.55850035189195, 120.81955999775644",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路85號,1.0,43,,47.0,苗栗分局,"24.558027661221896, 120.81810613638157",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市維新街34號,1.0,30,,33.0,苗栗分局,"24.55675758811171, 120.81916875172526",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路6巷8號,1.0,47,,52.0,苗栗分局,"24.557228344265024, 120.82088053246275",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市至公路56巷15號,1.0,19,,21.0,苗栗分局,"24.558425288389476, 120.81951058867959",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市民生街20號,1.0,88,,97.0,苗栗分局,"24.556143281405898, 120.81892759590491",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路587號,1.0,10,,11.0,苗栗分局,"24.55723714579271, 120.82055042474083",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路585號,1.0,10,,11.0,苗栗分局,"24.55734977047469, 120.82045418056109",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中山路634號,1.0,211,,234.0,苗栗分局,"24.557088904426347, 120.81886535172518",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市建台街29號,1.0,55,,61.0,苗栗分局,"24.55796838632061, 120.82012518241257",
住宅大樓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市維新街21號,1.0,250,,277.0,苗栗分局,"24.55643584704044, 120.81928638241259",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市民生街16號,1.0,45,,50.0,苗栗分局,"24.55601371375984, 120.81898136706894",
民宅公寓,苗栗縣,苗栗市,青苗里,苗栗縣苗栗市中正路623號,1.0,147,,163.0,苗栗分局,"24.556482980771076, 120.82015042288933",
