類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)"
大樓,T111101,汴洲里,"25.031382, 121.296741",1、2、3,1060.0,桃園分局,,,,,
大樓,T111102,新埔里,"25.0164761,121.3067792",1、2,527.0,桃園分局,,,,,
大樓,T111103,三元里,"25.0076497,121.3221512",1、2、3,2812.0,桃園分局,,,,,
大樓,T111104,文中里,"24.9980561,121.2936197",1,705.0,桃園分局,,,,,
大樓,T111105,青溪里,"25.017582, 121.300869",1、2、3、4,770.0,桃園分局,,,,,
公務機關,T111106,同安里,"25.0185882,121.3006629",1、2,12388.0,桃園分局,,,,,
大樓,T111107,文中里,"25.0008031,121.2944353",1、2、3,1552.0,桃園分局,,,,,
公務機關,T111108,汴洲里,"25.0216107,121.3164305",1、2、3,8849.0,桃園分局,,,,,
大樓,T111109,中路里,"24.9918364,121.2918589",1、2、3,2450.0,桃園分局,,,,,
大樓,T110101,中成里,"25.0014146,121.2968684",1、2,3199.0,桃園分局,,,,,
大樓,T110102,汴洲里,"25.0283973,121.2991351",1、2、3、4,1883.0,桃園分局,,,,,
公寓,T110103,建國里,"24.9869449,121.3196135",1,1251.0,桃園分局,,,,,
大樓,T110104,玉山里,"24.9894736,121.3031275",1、2,776.0,桃園分局,,,,,
大樓,T110105,文中里,"25.0011241,121.2943286",1、2、3,2549.0,桃園分局,,,,,
大樓,T110106,文中里,"24.9998646,121.291707",1、2、3,1041.0,桃園分局,,,,,
大樓,T110107,文中里,"24.9990975,121.2889962",1、2、3,900.0,桃園分局,,,,,
公務機關,T110108,光興里,"24.9929026,121.3010601",1、2、3,4289.0,桃園分局,,,,,
公務機關,T110109,光興里,"24.9939555,121.3003009",1,224.0,桃園分局,,,,,
公務機關,T110110,萬壽里,"24.9965001,121.3226676",1、2,2438.0,桃園分局,,,,,
公務機關,T110111,光興里,"24.9930615,121.3019036",1,1723.0,桃園分局,(機敏單位)警察單位,,,,
公務機關,T110112,三元里,"24.9981666,121.3255996",1,351.0,桃園分局,(機敏單位)警察單位,,,,
公務機關,T110113,光興里,"24.9940217,121.3016813",1,3758.0,桃園分局,,,,,
公務機關,T110114,光興里,"24.9929196,121.3002962",1,998.0,桃園分局,,,,,
大樓,T110201,大樹里,"24.984749,121.320216",1,1523.0,桃園分局,,,,,
大樓,T110202,文中里,"24.9977562,121.2880608",1、2、3,1735.0,桃園分局,,,,,
大樓,T110203,文中里,"24.9991105,121.2941056",1、2、3,1033.0,桃園分局,,,,,
大樓,T110204,中正里,"24.9973953,121.2973773",1、2、3、4,3762.0,桃園分局,,,,,
大樓,T110205,西門里,"24.9958175,121.3063431",1,220.0,桃園分局,,,,,
大樓,T110206,中正里,"24.9959546,121.2961338",1、2、3,2873.0,桃園分局,,,,,
大樓,T110301,中興里,"24.997982,121.2981402",1、2、3,2589.0,桃園分局,,,,,
大樓,T110302,文中里,"24.998646, 121.292462",1、2、3,2825.0,桃園分局,,,,,
大樓,T110303,文中里,"24.998057,121.2936285",1、2,521.0,桃園分局,,,,,
大樓,T110304,同安里,"25.019104,121.2991241",1、2、3,3829.0,桃園分局,,,,,
大樓,T110305,中成里,"25.0015223,121.2947066",1、2、3,4313.0,桃園分局,,,,,
大樓,T110306,文中里,"24.9991105,121.2941056",1,503.0,桃園分局,,,,,
大樓,T110307,龍安里,"24.9919728,121.275067",1、2,1748.0,桃園分局,,,,,
大樓,T110308,汴洲里,"25.0307924,121.2956361",1,322.0,桃園分局,,,,,
大樓,T110309,文中里,"24.996386,121.2896931",1,590.0,桃園分局,,,,,
公務機關,T110310,中埔里,"25.007925,121.2879475",1、2、3,2621.0,桃園分局,,,,,
大樓,T110311,中成里,"25.000706, 121.289641",1、2、3,2129.0,桃園分局,,,,,
大樓,T110401,文中里,"24.9998483,121.2907891",1、2、3,2787.0,桃園分局,,,,,
大樓,T110402,文中里,"25.0040504,121.2925228",1、2、3,2880.0,桃園分局,,,,,
大樓,T110403,中成里,"25.0058615,121.294387",1、2、3,1567.0,桃園分局,,,,,
大樓,T110404,青溪里,"25.0030588,121.3107918",1、2、3、4,2659.0,桃園分局,,,,,
大樓,T110405,青溪里,"25.0016597,121.3126447",1、2、3、4,2315.0,桃園分局,,,,,
大樓,T110406,永興里,"24.9975314,121.3077155",1,165.0,桃園分局,,,,,
大樓,T109101,同安里,"25.0157216,121.3005908",1、2、3、4,6605.0,桃園分局,,,,,
大樓,T109102,武陵里,"24.9906046,121.3152496",1、2、3,901.0,桃園分局,,,,,
大樓,T109103,汴洲里,"25.0296183,121.3003837",1、2、3、4,2649.0,桃園分局,,,,,
大樓,T109104,忠義里,"24.9977235,121.3254171",1、2、3、4,834.0,桃園分局,,,,,
大樓,T109105,信光里,"25.0080906,121.3061224",1、2、3,2227.0,桃園分局,,,,,
大樓,T109106,東山里,"24.991183,121.316381",1、2,345.0,桃園分局,,,,,
大樓,T109107,南門里,"24.9806507,121.3043075",1、2、3,2405.0,桃園分局,,,,,
大樓,T109108,汴洲里,"25.028027,121.2992804",1、2、3,3898.0,桃園分局,,,,,
大樓,T109109,中成里,"25.0036459,121.2902044",1、2、3,3866.0,桃園分局,,,,,
大樓,T109201,汴洲里,"25.0307311,121.295648",1、2、3,517.0,桃園分局,,,,,
大樓,T109202,中成里,"25.001846,121.2931478",1、2、3,1656.0,桃園分局,,,,,
大樓,T109203,汴洲里,"25.0294124,121.2994815",1、2、3、4,2892.0,桃園分局,,,,,
公寓,T109204,中正里,"24.9966939,121.296532",1,407.0,桃園分局,,,,,
大樓,T109205,東山里,"24.9917287,121.3174527",1、2,310.0,桃園分局,,,,,
