類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,CRA00001,文南里,臺南市南區文南里13鄰長南街52號,"22.983032,120.189587",1.0,1333.0,第六分局,
一般住宅,CRA00002,文南里,臺南市南區文南里13鄰文南路5號,"22.982202,120.189603",1.0,192.0,第六分局,
一般住宅,CRA00003,文南里,臺南市南區文南里13鄰文南路7號,"22.982240,120.189603",1.0,192.0,第六分局,
一般住宅,CRA00004,文南里,臺南市南區文南里13鄰文南路69號,"22.98366,120.189695",1.0,177.0,第六分局,
一般住宅,CRA00005,文南里,臺南市南區文南里13鄰文南路15號,"22.982371,120.189609",1.0,177.0,第六分局,
一般住宅,CRA00006,文南里,臺南市南區文南里13鄰文南路9號,"22.982278,120.189606",1.0,177.0,第六分局,
一般住宅,CRA00007,文南里,臺南市南區文南里13鄰文南路11號,"22.982323,120.189608",1.0,194.0,第六分局,
供公眾使用,CRA00008,文南里,臺南市南區文南里13鄰文南路67號,"22.983550,120.18968",1.0,444.0,第六分局,
一般住宅,CRA00009,文華里,臺南市南區文華里16鄰文南路309號,"22.987182,120.189989",1.0,103.0,第六分局,
一般住宅,CRA00010,文華里,臺南市南區文華里15鄰文南路285號,"22.986663,120.189947",1.0,103.0,第六分局,
一般住宅,CRA00011,文南里,臺南市南區文南里11鄰建南路283號,"22.985137,120.186639",1.0,103.0,第六分局,
一般住宅,CRA00012,文南里,臺南市南區文南里11鄰建南路279號,"22.985130,120.18682",1.0,103.0,第六分局,
一般住宅,CRA00013,文華里,臺南市南區文華里15鄰文南路277號,"22.986502,120.189937",1.0,103.0,第六分局,
一般住宅,CRA00014,文南里,臺南市南區文南里8鄰文南路18號,"22.982309,120.189865",1.0,103.0,第六分局,
一般住宅,CRA00015,文南里,臺南市南區文南里8鄰文南路12號,"22.982226,120.189857",1.0,103.0,第六分局,
一般住宅,CRA00016,文南里,臺南市南區文南里8鄰文南路40號,"22.982769,120.189897",1.0,124.0,第六分局,
一般住宅,CRA00017,文南里,臺南市南區文南里9鄰文南路68號,"22.983506,120.18996",1.0,62.0,第六分局,
一般住宅,CRA00018,文南里,臺南市南區文南里9鄰文南路66號,"22.983464,120.189956",1.0,62.0,第六分局,
一般住宅,CRA00019,文南里,臺南市南區文南里8鄰文南路42號,"22.982837,120.189915",1.0,78.0,第六分局,
一般住宅,CRA00020,文華里,臺南市南區文華里11鄰文南路124號,"22.985271,120.190098",1.0,62.0,第六分局,
一般住宅,CRA00021,文南里,臺南市南區文南里13鄰文南路3號,"22.982157,120.189597",1.0,192.0,第六分局,
一般住宅,CRA00022,文南里,臺南市南區文南里13鄰健康路二段280號,"22.981912,120.189403",1.0,236.0,第六分局,
一般住宅,CRA00023,文南里,臺南市南區文南里13鄰健康路二段306號,"22.981940,120.18907",1.0,236.0,第六分局,
一般住宅,CRA00024,文南里,臺南市南區文南里13鄰健康路二段306號,"22.981940,120.18907",1.0,188.0,第六分局,
一般住宅,CRA00025,文南里,臺南市南區文南里8鄰健康路二段268號,"22.981849,120.189993",1.0,188.0,第六分局,
一般住宅,CRA00026,文南里,臺南市南區文南里8鄰健康路二段264巷19號,"22.982464,120.190129",1.0,72.0,第六分局,
一般住宅,CRA00027,文南里,臺南市南區文南里8鄰健康路二段264巷21號,"22.982506,120.190135",1.0,72.0,第六分局,
一般住宅,CRA00028,文南里,臺南市南區文南里8鄰健康路二段252巷9號,"22.982316,120.190513",1.0,73.0,第六分局,
