地址,可容納人數,經度,緯度,避難所在之地下樓層數,轄管分局,編號,村里別
臺中市和平區東關路2段91號,58.0,120.924377,24.183233,B01,和平分局,1.0,天輪里
臺中巿和平區武陵路3之1號,151.0,121.308201,24.346257,B01,和平分局,2.0,平等里
臺中市和平區民族街52號,164.0,121.255179,24.253717,B01,和平分局,3.0,梨山里
臺中市和平區中正路61號,151.0,121.255808,24.254628,B01,和平分局,4.0,梨山里
臺中市和平區中正路11號,100.0,121.259179,24.256813,B01,和平分局,5.0,梨山里
臺中市和平區民族街46號,77.0,121.255509,24.253855,B01,和平分局,6.0,梨山里
臺中市和平區東關路1段溫泉巷18號,47.0,121.009767,24.203986,B01,和平分局,7.0,博愛里
臺中市和平區東關路1段溫泉巷6號,75.0,121.008432,24.203437,B01,和平分局,8.0,博愛里
臺中市和平區東關路1段溫泉巷17號,188.0,121.009929,24.203913,B02,和平分局,9.0,博愛里
