類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局
公寓,1.0,光明里,"22.619899617417044, 120.28068595284229",1.0,90.0,三號碼頭中隊
公寓,2.0,麗興里,高雄市鼓山區麗興里004鄰蓬萊路1號,1.0,108.0,三號碼頭中隊
公寓,3.0,麗興里,高雄市鼓山區麗興里004鄰蓬萊路8號,1.0,80.0,三號碼頭中隊
公寓,4.0,麗興里,高雄市鼓山區麗興里004鄰蓬萊路24號,1.0,262.0,三號碼頭中隊
公寓,5.0,麗興里,高雄市鼓山區麗興里004鄰蓬萊路30號,1.0,128.0,三號碼頭中隊
公寓,6.0,哨船頭里,高雄市鼓山區哨船頭里015鄰蓮海路1-1號,1.0,49.0,三號碼頭中隊
公寓,7.0,鎮北里,高雄市前鎮區鎮北里001鄰高雄港30號碼頭,1.0,322.0,中島中隊
公寓,8.0,鎮北里,高雄市前鎮區鎮北里001鄰高雄港43號碼頭,1.0,253.0,中島中隊
公寓,9.0,鎮北里,高雄市前鎮區鎮北里001鄰高雄港47號碼頭,1.0,64.0,中島中隊
公寓,10.0,鎮北里,高雄市前鎮區鎮北里001鄰高雄港47號碼頭,1.0,25.0,中島中隊
公寓,11.0,鎮北里,高雄市前鎮區鎮北里001鄰大華三路16-1號,1.0,134.0,中島中隊
公寓,12.0,鎮北里,高雄市前鎮區鎮北里001鄰高雄港47號碼頭,1.0,178.0,中島中隊
公寓,13.0,鎮北里,高雄市前鎮區鎮北里001鄰大華一路32-1號,1.0,123.0,中島中隊
