"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
—,QMA00320,大埔里,屏東縣屏東市大埔里07鄰民族路207號,"22.670402475112162, 120.48482202172565",1,22.0,屏東分局,
兆豐商銀/屏東分行,QMA02026,大埔里,屏東縣屏東市大埔里07鄰民族路213號,"22.67041175626547, 120.4845444131065",1.2,878.0,屏東分局,
—,QMA00319,大埔里,屏東縣屏東市大埔里07鄰民族路259號,"22.670639184088937, 120.48342839703159",1,22.0,屏東分局,
仁佑診所,QMA02093,大埔里,屏東縣屏東市大埔里07鄰民族路303號,"22.670926387284908, 120.4811760342736",1,87.0,屏東分局,
—,QMA02114,大埔里,屏東縣屏東市大埔里07鄰民族路337號,"22.671014664595962, 120.48091958756117",1,149.0,屏東分局,
和平教會/教育大樓,QMA00358,大埔里,屏東縣屏東市大埔里07鄰民族路399號,"22.671333783668427, 120.4792690417345",1,351.0,屏東分局,共有2處、總計可容納人數889人
和平教會/教堂,QMA02138,大埔里,屏東縣屏東市大埔里07鄰民族路399號,"22.67132883375335, 120.47947288961824",1,538.0,屏東分局,共有2處、總計可容納人數889人
—,QMA00316,大埔里,屏東縣屏東市大埔里05鄰光復路100號,"22.66993408467392, 120.48545846819582",1,22.0,屏東分局,
—,QMA00309,大埔里,屏東縣屏東市大埔里05鄰光復路114號,"22.670027784626434, 120.48433486819577",1,22.0,屏東分局,
—,QMA00305,大埔里,屏東縣屏東市大埔里05鄰光復路116號,"22.670123984272735, 120.48424009703169",1,22.0,屏東分局,
中洲建設大樓,QMA02162,大埔里,屏東縣屏東市大埔里15鄰成功路2號,"22.672249858462816, 120.47906476988196",1.2,2413.0,屏東分局,
大東海補習班,QMA00302,大埔里,屏東縣屏東市大埔里02鄰重慶路1號,"22.669977922103207, 120.48452968487989",1,22.0,屏東分局,
聖帝廟慈鳳宮辦公室,QMA00341,光榮里,屏東縣屏東市光榮里03鄰中山路31號,"22.67084776961059, 120.4863795450221",1,119.0,屏東分局,
