電腦編號,建築物名稱,地址,緯度,經度,避難樓層,容量,轄管分局,備註
T113201,大樓,桃園市桃園區文中里3鄰力行路686號,"24.998773 ",121.2916628,B1、B2,368.0,桃園分局,
T113202,南法莊園,桃園市桃園區青溪里17鄰朝陽街301巷8號8樓,"25.005329 ",121.3101435,B1、B2、B3、B4,1052.0,桃園分局,
T113203,璟都劍橋,桃園市桃園區大有里8鄰大有路377號,"25.010578 ",121.3193001,B1、B2、B3,2348.0,桃園分局,
T113204,囍上宏社區,桃園市桃園區福林里26鄰樹仁一街155號,"24.978894 ",121.3123883,B1、B2,1045.0,桃園分局,
T113205,昭揚建設,桃園市桃園區青溪里17鄰中央街501號,"25.005652 ",121.3137755,B1、B2、B3,3828.0,桃園分局,
T113101,鉅慶登峰,桃園市桃園區福元里6鄰民富二街8巷75號7樓,25.006901,121.3184395,B1、B2,3925.0,桃園分局,
T113102,大樓,桃園市桃園區青溪里21鄰日光路135號4樓,25.003232,121.3105973,B1、B2、B3、B4,2078.0,桃園分局,
T113103,大樓,桃園市桃園區中信里4鄰國信街30號2樓,24.994529,121.2866905,B1、B2、B3,1447.0,桃園分局,
T113104,大樓,桃園市桃園區經國里2鄰新埔五街2號,25.013769,121.3052105,B1、B2,1670.0,桃園分局,
T113105,私人住宅,桃園市桃園區文中里3鄰正光二街125號,25.000272,121.2937386,B1,214.0,桃園分局,
T113106,福鄉心匯,桃園市桃園區青溪里15鄰中央街265號,25.003275,121.3146182,B1、B2、B3、B4,2219.0,桃園分局,
T113107,大樓,桃園市桃園區中成里18鄰正光二街77號,24.999871,121.295696,B1、B2、B3,3912.0,桃園分局,
T113108,大樓,桃園市桃園區中成里11鄰溫州一路311號11樓,25.003013,121.2886908,B1、B2、B3、B4,3066.0,桃園分局,
T113109,大樓,桃園市桃園區大業里16鄰大業路一段316號,25.009521,121.3146948,B1、B2、B3,1566.0,桃園分局,
T113110,大樓,桃園市桃園區中成里6鄰溫州一路226號3樓,25.002497,121.2908298,B1、B2、B3,779.0,桃園分局,
T113111,大樓,桃園市桃園區文中里3鄰文中一路25巷21號,24.997670,121.2929845,B1、B2、B3,1047.0,桃園分局,
T113112,大樓,桃園市桃園區汴洲里3鄰經國路808巷61號,25.030043,121.3016607,B1、B2、B3,521.0,桃園分局,
T112401,私人住宅,桃園市桃園區春日里16鄰大興路120巷18號,25.016803,121.3099598,B1、B2,494.0,桃園分局,
T112402,逸偉站前ONE,桃園市桃園區文昌里10鄰新民街81號,24.993521,121.3111230,B1、B2、B3,1084.0,桃園分局,
T112403,國王之森,桃園市桃園區青溪里15鄰春日路396號,25.003472,121.3134103,B1、B2、B3、B4,852.0,桃園分局,
T112404,青川馥,桃園市桃園區青溪里22鄰日光路93號,25.003258,121.3107368,B1、B2、B3、B4,973.0,桃園分局,
T112405,國泰川青,桃園市桃園區青溪里16鄰三民路二段150號,25.001068,121.3136223,B1、B2、B3、B4,1896.0,桃園分局,
T112406,着東騰,桃園市桃園區青溪里17鄰朝陽街500號2樓,25.006136,121.3110179,B1、B2、B3、B4,1070.0,桃園分局,
T112407,中悦松花園,桃園市桃園區汴洲里34鄰幸福路237號3樓,25.027867,121.2971350,B1、B2、B3,1710.0,桃園分局,
T112408,成宮大院,桃園市桃園區東山里4鄰成功路二段6號3樓之1,24.992943,121.3147685,B1、B2、B3,1868.0,桃園分局,
T112409,厚陞園,桃園市桃園區長美里6鄰民權路98號,24.994968,121.3094623,B1、B2、B3,308.0,桃園分局,
T112301,合展悅禾,桃園市桃園區中成里14鄰慈文路569號十一樓,25.002613,121.2966384,B1、B2、B3,2430.0,桃園分局,
T112302,昭揚君邸,桃園市桃園區文中里3鄰力行路610號,24.998641,121.2931053,B1、B2、B3,1452.0,桃園分局,
T112303,遠雄青晉,桃園市桃園區青溪里15鄰中央街221號,25.001708,121.3153283,B1、B2、B3、B4,1883.0,桃園分局,
T112304,桃園市政府消防局,桃園市桃園區中埔里7鄰富國路366號,25.014837,121.2858089,B1,526.0,桃園分局,
T112305,璟都米蘭,桃園市桃園區南埔里8鄰吉安街78號23樓,25.005255,121.292432,B1、B2、B3、B4,2697.0,桃園分局,
T112306,亞昕向陽,桃園市桃園區青溪里16鄰日光路8巷8號6樓,25.000909,121.3128291,B1、B2、B3、B4,1310.0,桃園分局,
T112307,中悦栢花園,桃園市桃園區汴洲里34鄰幸福路356號3樓,25.028443,121.2975441,B1、B2、B3,1723.0,桃園分局,
T112308,公園琚,桃園市桃園區中成里12鄰吉安一街56號,25.004886,121.294395,B1、B2、B3,296.0,桃園分局,
T112201,福容佳麗寶,桃園市桃園區青溪里16鄰春日路471號,25.003067,121.3131421,B1、B2、B3、B4,1144.0,桃園分局,
T112202,朝陽天銳,桃園市桃園區青溪里17鄰民光東路365號十三樓,25.005607,121.3106005,B1、B2、B3,1057.0,桃園分局,
T112203,百川水硯,桃園市桃園區青溪里17鄰中央街321號,25.004034,121.3143635,B1、B2、B3、B4,890.0,桃園分局,
T112204,璟都城品,桃園市桃園區大有里8鄰大有路407號十四樓,25.010956,121.3191628,B1、B2、B3,1405.0,桃園分局,
T112205,悅風華,桃園市桃園區南埔里8鄰大興西路三段81號3樓,25.005694,121.2911478,B1、B2、B3、B4,1528.0,桃園分局,
