類別,電腦編號,縣市別,鄉鎮別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
防空掩體,2.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村40-5號後方山坡地,1.0,22.0,"26.15786, 119.95191","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村40-5號後方山坡地"
防空掩體,3.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村63號國民黨縣黨部旁,1.0,44.0,"26.15983, 119.95218","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村63號國民黨縣黨部旁"
防空掩體,4.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村93號前下方,1.0,44.0,"26.15786, 119.95191","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村93號前下方"
防空避難設備,5.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村76號縣府地下室,1.0,69.0,"26.15786, 119.95191","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村76號縣府地下室"
防空掩體,6.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村254號右側,1.0,22.0,"26.15786, 119.95191","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村254號右側"
防空掩體,7.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村中正圖書館大門右側,1.0,22.0,"26.15786, 119.95191","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村中正圖書館大門右側"
防空掩體,9.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村329號前,1.0,22.0,"26.16051, 119.95007無法使用","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村329號前"
防空掩體,10.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村331號右後方,1.0,22.0,"26.15786, 119.95191"
防空掩體,11.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村374號馬祖高中圖書館左側,1.0,22.0,"26.15444, 119.94987","連江縣 南竿鄉 介壽村 連江縣南竿鄉介壽村374號馬祖高中圖書館左側"
防空避難設備,12.0,連江縣,南竿鄉,介壽村,連江縣南竿鄉介壽村374號馬祖高中地下停車場一層,1.0,138.0,"26.15786, 119.95191"
防空掩體,13.0,連江縣,南竿鄉,復興村,連江縣南竿鄉復興村26號旁,1.0,28.0,"26.15992, 119.95167","連江縣 南竿鄉 復興村 連江縣南竿鄉復興村26號旁"
防空掩體,14.0,連江縣,南竿鄉,復興村,連江縣南竿鄉復興村30號旁,1.0,27.0,"26.16117, 119.94934","連江縣 南竿鄉 復興村 連江縣南竿鄉復興村30號旁"
防空掩體,15.0,連江縣,南竿鄉,復興村,連江縣南竿鄉復興村43之2號前,1.0,27.0,"26.16455, 119.95815無法使用","連江縣 南竿鄉 復興村 連江縣南竿鄉復興村43之2號前"
防空掩體,16.0,連江縣,南竿鄉,復興村,連江縣南竿鄉復興村145-1號旁,1.0,27.0,"26.16455, 119.95815","連江縣 南竿鄉 復興村 連江縣南竿鄉復興村145-1號旁"
防空掩體,17.0,連江縣,南竿鄉,復興村,連江縣南竿鄉復興村178號旁,1.0,27.0,"26.16117, 119.94934","連江縣 南竿鄉 復興村 連江縣南竿鄉復興村178號旁"
防空掩體,18.0,連江縣,南竿鄉,復興村,連江縣南竿鄉復興村202號旁,1.0,27.0,"26.16117, 119.94934","連江縣 南竿鄉 復興村 連江縣南竿鄉復興村202號旁"
防空避難設備,19.0,連江縣,南竿鄉,福沃村,連江縣南竿鄉福沃村4號地下室,1.0,22.0,"26.158, 119.94426暫停使用","連江縣 南竿鄉 福沃村 連江縣南竿鄉福沃村4號地下室"
防空避難設備,20.0,連江縣,南竿鄉,福沃村,連江縣南竿鄉福沃村21號地下室,1.0,22.0,"26.158, 119.94426","連江縣 南竿鄉 福沃村 連江縣南竿鄉福沃村21號地下室"
防空掩體,21.0,連江縣,南竿鄉,福沃村,連江縣南竿鄉福沃村92號後方,1.0,22.0,"26.158, 119.94426","連江縣 南竿鄉 福沃村 連江縣南竿鄉福沃村92號後方"
防空掩體,22.0,連江縣,南竿鄉,福沃村,連江縣南竿鄉福沃村108號凱翔客棧右方,1.0,22.0,"26.1561, 119.94367","連江縣 南竿鄉 福沃村 連江縣南竿鄉福沃村108號凱翔客棧右方"
防空掩體,23.0,連江縣,南竿鄉,福沃村,連江縣南竿鄉福沃村110-1號凱翔客棧右方旁,1.0,22.0,"26.1561, 119.94367","連江縣 南竿鄉 福沃村 連江縣南竿鄉福沃村110-1號凱翔客棧右方旁"
