類別,村里別,地址,地下樓層數,可容納人數,轄管分局,編號,備註,經,緯,經度,緯度
冠豪公司,下寮村,雲林縣元長鄉下寮村經建街8號,1.0,132.0,虎尾分局,444.0,,23.611006,120.33195,23.611006,120.33195
品寶公司,下寮村,雲林縣元長鄉下寮村興工街2號,1.0,373.0,虎尾分局,445.0,,23.61393,120.333317,23.61393,120.333317
侯泰公司,下寮村,雲林縣元長鄉下寮村經建街1號,1.0,100.0,虎尾分局,446.0,,23.611009,120.332222,23.611009,120.332222
台億公司,下寮村,雲林縣元長鄉下寮村經建街10號,1.0,97.0,虎尾分局,447.0,,23.61079,120.331906,23.61079,120.331906
素食園公司,下寮村,雲林縣元長鄉下寮村興工街1號,1.0,66.0,虎尾分局,448.0,,23.613654,120.333312,23.613654,120.333312
嘉楠食品公司,下寮村,雲林縣元長鄉下寮村興工街3號,1.0,68.0,虎尾分局,449.0,,23.613765,120.332664,23.613765,120.332664
透天,中山里,雲林縣虎尾鎮中山里中正路94號,1.0,23.0,虎尾分局,450.0,,23.70877,120.43454,23.70877,120.43454
透天,中山里,雲林縣虎尾鎮中山里中正路100號,1.0,176.0,虎尾分局,451.0,,23.708709,120.434513,23.708709,120.434513
透天,中山里,雲林縣虎尾鎮中山里仁愛路60號,1.0,22.0,虎尾分局,452.0,,23.708387,120.434693,23.708387,120.434693
透天,中山里,雲林縣虎尾鎮中山里中正路106號,1.0,64.0,虎尾分局,453.0,,23.708634,120.434281,23.708634,120.434281
透天,中山里,雲林縣虎尾鎮中山里中正路108號,1.0,68.0,虎尾分局,454.0,,23.708617,120.434244,23.708617,120.434244
透天,中山里,雲林縣虎尾鎮中山里中正路110號,1.0,74.0,虎尾分局,455.0,,23.708553,120.434223,23.708553,120.434223
透天,中山里,雲林縣虎尾鎮中山里中山路116號,1.0,18.0,虎尾分局,456.0,,23.70852,120.43415,23.70852,120.43415
透天,中山里,雲林縣虎尾鎮中山里中正路121號,1.0,53.0,虎尾分局,457.0,,23.708172,120.433652,23.708172,120.433652
私人住宅大樓,中山里,雲林縣虎尾鎮中山里中正路143號,1.0,18.0,虎尾分局,458.0,,23.7079,120.43316,23.7079,120.43316
私人住宅大樓,中山里,雲林縣虎尾鎮中山里仁愛路1號,1.0,106.0,虎尾分局,459.0,,23.707177,120.435143,23.707177,120.435143
商業大樓,中山里,虎尾鎮中山里中正路140號,1.0,38.0,虎尾分局,460.0,,23.70825,120.43344,23.70825,120.43344
精工眼鏡,中山里,虎尾鎮中山里新興路59號,1.0,36.0,虎尾分局,461.0,,23.70904,120.434686,23.70904,120.434686
透天,中山里,虎尾鎮中山里中正路144號,1.0,127.0,虎尾分局,462.0,,23.708253,120.433351,23.708253,120.433351
透天,中山里,虎尾鎮中山里中正路146號,1.0,97.0,虎尾分局,463.0,,23.70821,120.43329,23.70821,120.43329
私人住宅大樓,中山里,虎尾鎮中山里公安路115號,1.0,92.0,虎尾分局,464.0,,23.70873,120.43319,23.70873,120.43319
私人住宅大樓,中山里,虎尾鎮中山里新生路157號,1.0,1411.0,虎尾分局,465.0,,23.706907,120.435844,23.706907,120.435844
私人住宅大樓,中山里,虎尾鎮中山里新興路63號,1.0,126.0,虎尾分局,466.0,,23.709068,120.434674,23.709068,120.434674
私人住宅大樓,中山里,虎尾鎮中山里中山路82號,1.0,209.0,虎尾分局,467.0,,23.70823,120.43424,23.70823,120.43424
商業大樓,中山里,虎尾鎮中山里德興路16號,1.0,733.0,虎尾分局,468.0,,23.70832,120.43218,23.70832,120.43218
私人住宅大樓,中山里,虎尾鎮中山里中山路39號,1.0,170.0,虎尾分局,469.0,,23.707227,120.434573,23.707227,120.434573
商業大樓,中山里,雲林縣虎尾鎮中山里中正路140號,1.0,165.0,虎尾分局,470.0,,23.70825,120.43344,23.70825,120.43344
透天,中山里,雲林縣虎尾鎮中山里中山路67號,1.0,116.0,虎尾分局,471.0,,23.707922,120.434192,23.707922,120.434192
"高治機械
",中民村,雲林縣褒忠鄉中民村中正路14之5號,1.0,102.0,虎尾分局,472.0,,23.699125,120.320244,23.699125,120.320244
"吉升飼料
",中民村,雲林縣褒忠鄉中民村中正路28之18號,1.0,433.0,虎尾分局,473.0,,23.698456,120.316972,23.698456,120.316972
"三仁醫院
",中勝村,雲林縣褒忠鄉中勝村中正路466號,1.0,183.0,虎尾分局,474.0,,23.69266,120.3055,23.69266,120.3055
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段416巷31號,1.0,657.0,虎尾分局,475.0,,23.71131,120.43443,23.71131,120.43443
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段360巷41號,1.0,381.0,虎尾分局,476.0,,23.712315,120.435072,23.712315,120.435072
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段360巷9號,1.0,1766.0,虎尾分局,477.0,,23.71209,120.43576,23.71209,120.43576
透天,公安里,雲林縣虎尾鎮公安里博愛路20號,1.0,22.0,虎尾分局,478.0,,23.713681,120.437013,23.713681,120.437013
透天,公安里,雲林縣虎尾鎮公安里博愛路96號,1.0,31.0,虎尾分局,479.0,,23.715492,120.43667,23.715492,120.43667
一般住宅,公安里,雲林縣虎尾鎮公安里林森路1段430號,1.0,180.0,虎尾分局,480.0,,23.710684,120.43502,23.710684,120.43502
透天,公安里,雲林縣虎尾鎮公安里博愛路106巷39號,1.0,27.0,虎尾分局,481.0,,23.71597,120.437755,23.71597,120.437755
透天,公安里,雲林縣虎尾鎮公安里博愛路106巷41號,1.0,27.0,虎尾分局,482.0,,23.715977,120.437806,23.715977,120.437806
透天,公安里,雲林縣虎尾鎮公安里博愛路106巷37之1號,1.0,27.0,虎尾分局,483.0,,23.71596,120.437703,23.71596,120.437703
透天,公安里,雲林縣虎尾鎮公安里博愛路98號,1.0,31.0,虎尾分局,484.0,,23.715529,120.436669,23.715529,120.436669
虎尾農工,公安里,雲林縣虎尾鎮公安里博愛路65號,1.0,607.0,虎尾分局,485.0,,23.715003,120.43641,23.715003,120.43641
私人住宅大樓,公安里,雲林縣虎尾鎮公安里新興路114號,1.0,283.0,虎尾分局,486.0,,23.7119,120.43427,23.7119,120.43427
私人住宅大樓,公安里,雲林縣虎尾鎮公安里光復路482號,1.0,231.0,虎尾分局,487.0,,23.711268,120.433882,23.711268,120.433882
私人住宅大樓,公安里,雲林縣虎尾鎮公安里博愛路47-1號,1.0,261.0,虎尾分局,488.0,,23.714091,120.436349,23.714091,120.436349
商業大樓,公安里,雲林縣虎尾鎮公安里新興路116號,1.0,411.0,虎尾分局,489.0,,23.71202,120.43435,23.71202,120.43435
商業大樓,公安里,雲林縣虎尾鎮公安里林森路1段426號,1.0,206.0,虎尾分局,490.0,,23.710774,120.435066,23.710774,120.435066
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段416巷32號,1.0,181.0,虎尾分局,491.0,,23.711475,120.434602,23.711475,120.434602
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段396巷47號,1.0,193.0,虎尾分局,492.0,,23.71188,120.434593,23.71188,120.434593
私人住宅大樓,公安里,雲林縣虎尾鎮公安里光復路446號,1.0,139.0,虎尾分局,493.0,,23.710897,120.434549,23.710897,120.434549
博愛雅苑,公安里,雲林縣虎尾鎮公安里博愛路43號,1.0,176.0,虎尾分局,494.0,,23.713945,120.436509,23.713945,120.436509
私人住宅大樓,公安里,雲林縣虎尾鎮公安里林森路1段416巷13號,1.0,261.0,虎尾分局,495.0,,23.71106,120.4347,23.71106,120.4347
私人住宅大樓,公安里,雲林縣虎尾鎮公安里明正東路40號,1.0,221.0,虎尾分局,496.0,,23.71556,120.43787,23.71556,120.43787
虎尾國小,公安里,雲林縣虎尾鎮公安里明正路88號,1.0,878.0,虎尾分局,497.0,,23.71366,120.43177,23.71366,120.43177
