類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
政府機關,民雄鄉公所(代表會),1-01-001,中樂村,嘉義縣民雄鄉中樂村文化路7號之3,"23.55174, 120.42873",地下1層,121.0,
農會,民雄鄉農會,1-01-002,中樂村,嘉義縣民雄鄉中樂村民族路42號,"23.55572, 120.42904",地下1層,344.0,不對外開放
政府機關,民雄鄉公所圖書館,1-01-003,中樂村,嘉義縣民雄鄉中樂村民族路43號之1,"23.55535, 120.42879",地下1層,322.0,
學校,民雄國小,1-01-004,中樂村,嘉義縣民雄鄉中樂村24鄰民族路43號,"23.55486, 120.4294",地下1層,2985.0,
電信公司,中華電信民雄服務處,1-01-005,西安村,嘉義縣民雄鄉西安村12鄰保生街291號,"23.55769, 120.4253",地下1層,312.0,不對外開放
診所,正道中醫診所,1-01-006,西安村,嘉義縣民雄鄉西安村民溪路46號,"23.55868, 120.42387",地下1層,219.0,
學校,民雄國中（一）,1-01-007,西安村,嘉義縣民雄鄉西安村西安路147號,"23.55709, 120.42022",地下1層,71.0,
學校,民雄國中（三）,1-01-008,西安村,嘉義縣民雄鄉西安村西安路147號,"23.55737, 120.41982",地下1層,641.0,
學校,民雄國中（四）,1-01-009,西安村,嘉義縣民雄鄉西安村西安路147號,"23.55772, 120.41997",地下1層,77.0,
學校,民雄國中（五）,1-01-010,西安村,嘉義縣民雄鄉西安村西安路147號,"23.5576, 120.42074",地下1層,326.0,
學校,民雄國中（六）,1-01-011,西安村,嘉義縣民雄鄉西安村西安路147號,"23.55708, 120.42096",地下1層,810.0,
學校,民雄國中（七）,1-01-012,西安村,嘉義縣民雄鄉西安村西安路147號,"23.55754, 120.42018",地下1層,885.0,
醫院,和順興醫院,1-01-013,西安村,嘉義縣民雄鄉西安村19鄰民族路49號,"23.55548, 120.42835",地下1層,625.0,
大樓,高弘昌建設公司,1-01-014,西安村,嘉義縣民雄鄉西安村20鄰安和路40-1號,"23.55569, 120.42654",地下1層,1358.0,
大樓,森林建設公司,1-01-015,西安村,嘉義縣民雄鄉西安村安和路96號,"23.55499, 120.42546",地下1層,551.0,
