建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
黑松汽水斗六廠,八德里,雲林縣斗六市八德里文化路635號,"23.71605, 120.56516",1.0,393.0,斗六分局,1.0,"A處188人
B處205人",雲林縣斗六市八德里文化路635號
合眾建築經理股份有限公司,八德里,雲林縣斗六市八德里19鄰文化路938巷70-1號,"23.717605, 120.57053",1.0,962.0,斗六分局,2.0,,雲林縣斗六市八德里19鄰文化路938巷70-1號
,八德里,雲林縣斗六市八德里文化路675號,"23.71826, 120.57127",1.0,88.0,斗六分局,3.0,,雲林縣斗六市八德里文化路675號
,三平里,雲林縣斗六市三平里西平路119巷36號,"23.71036, 120.53552",1.0,137.0,斗六分局,4.0,,雲林縣斗六市三平里西平路119巷36號
金鑽大樓,三平里,雲林縣斗六市三平里西平路77號,"23.70919, 120.53913",1.0,1650.0,斗六分局,5.0,,雲林縣斗六市三平里西平路77號
,三平里,雲林縣斗六市三平里西平路161號,"23.71161, 120.53481",1.0,98.0,斗六分局,6.0,,雲林縣斗六市三平里西平路161號
,三平里,雲林縣斗六市三平里西平路209號,"23.71306, 120.53378",1.0,1897.0,斗六分局,7.0,,雲林縣斗六市三平里西平路209號
,三平里,雲林縣斗六市三平里上海路160號,"23.71278, 120.53916",1.0,596.0,斗六分局,8.0,本避難所位於雲林縣斗六市三平里北平路46巷5之21號,雲林縣斗六市三平里上海路160號
,三平里,雲林縣斗六市三平里南京路329號,"23.71388649188264, 120.53848999581896",1.0,203.0,斗六分局,9.0,,雲林縣斗六市三平里南京路329號
,三平里,雲林縣斗六市北平路46巷5號21,"23.71353, 120.53751",1.0,686.0,斗六分局,10.0,,雲林縣斗六市北平路46巷5號21
,三平里,雲林縣斗六市三平里上海路156號,"23.71288, 120.53919",1.0,1160.0,斗六分局,11.0,,雲林縣斗六市三平里上海路156號
,三平里,雲林縣斗六市三平里延平路6號,"23.71184, 120.53964",1.0,308.0,斗六分局,12.0,,雲林縣斗六市三平里延平路6號
,三平里,雲林縣斗六市三平里延平路73號,"23.7115, 120.53946",1.0,63.0,斗六分局,13.0,,雲林縣斗六市三平里延平路73號
三好國際酒店股份有限公司,三平里,斗六市三平里斗六五路31號,"23.71694, 120.53447",1.0,2670.0,斗六分局,14.0,,斗六市三平里斗六五路31號
,久安里,雲林縣斗六市久安里久安路158巷36號,"23.67996, 120.51462",1.0,1204.0,斗六分局,15.0,,雲林縣斗六市久安里久安路158巷36號
大山電纜,久安里,雲林縣斗六市雲林路3段369號,"23.69342, 120.51317",1.0,147.0,斗六分局,16.0,,雲林縣斗六市雲林路3段369號
瀚威天廈,中和里,雲林縣斗六市中和里太平路235號,"23.70651, 120.53998",1.0,240.0,斗六分局,17.0,,雲林縣斗六市中和里太平路235號
,中和里,雲林縣斗六市中和里愛國街149號,"23.70851, 120.53848",1.0,146.0,斗六分局,18.0,,雲林縣斗六市中和里愛國街149號
雲林縣環保局,中和里,雲林縣斗六市中和里雲林路1段170號,"23.70752, 120.53772",1.0,83.0,斗六分局,19.0,,雲林縣斗六市中和里雲林路1段170號
中央市場,中和里,雲林縣斗六市中和里中華路16號,"23.70918, 120.54218",1.0,356.0,斗六分局,20.0,,雲林縣斗六市中和里中華路16號
永福寺,中和里,雲林縣斗六市中和里城頂街156號,"23.7066, 120.53935",1.0,115.0,斗六分局,21.0,,雲林縣斗六市中和里城頂街156號
鎮西國小,中和里,雲林縣斗六市中和里西平路3號,"23.7077, 120.53862",1.0,1571.0,斗六分局,22.0,,雲林縣斗六市中和里西平路3號
,仁愛里,雲林縣斗六市仁愛里中華路222號,"23.70846, 120.54732",1.0,292.0,斗六分局,23.0,,雲林縣斗六市仁愛里中華路222號
,仁愛里,"雲林縣斗六市永樂街138號8 号","23.70786, 120.54694",1.0,67.0,斗六分局,24.0,本避難處所位於雲林縣斗六市仁愛里永樂街138巷8號,"雲林縣斗六市永樂街138號8 号"
,仁愛里,雲林縣斗六市仁愛里城頂街22號,"23.70706, 120.545",1.0,257.0,斗六分局,25.0,,雲林縣斗六市仁愛里城頂街22號
,仁愛里,雲林縣斗六市仁愛里成功路102號,"23.70751, 120.54538",1.0,202.0,斗六分局,26.0,,雲林縣斗六市仁愛里成功路102號
,仁愛里,雲林縣斗六市仁愛里中華路100號,"23.70854, 120.54424",1.0,390.0,斗六分局,27.0,,雲林縣斗六市仁愛里中華路100號
斗六家商,仁愛里,雲林縣斗六市仁愛里成功路120號,"23.70745, 120.54686",1.0,1035.0,斗六分局,28.0,忠孝樓290人、仁愛樓90人、信義樓90人、大禮堂565人,雲林縣斗六市仁愛里成功路120號
,公正里,雲林縣斗六市公正里凱旋街56號,"23.70245, 120.54294",1.0,950.0,斗六分局,29.0,,雲林縣斗六市公正里凱旋街56號
,公正里,雲林縣斗六市公正里莊敬路347巷30弄11號,"23.7022, 120.54421",1.0,3583.0,斗六分局,30.0,,雲林縣斗六市公正里莊敬路347巷30弄11號
,公正里,雲林縣斗六市公正里中民街17號,"23.70378, 120.54458",1.0,257.0,斗六分局,31.0,,雲林縣斗六市公正里中民街17號
,公正里,雲林縣斗六市公正里平等街30號,"23.70449, 120.54726",1.0,450.0,斗六分局,32.0,,雲林縣斗六市公正里平等街30號
,公正里,雲林縣斗六市公正里城頂街11號,"23.70659, 120.54354",1.0,1113.0,斗六分局,33.0,,雲林縣斗六市公正里城頂街11號
,公正里,雲林縣斗六市公正里平等街19號,"23.70446, 120.54742",1.0,658.0,斗六分局,34.0,,雲林縣斗六市公正里平等街19號
山璞建設,公正里,雲林縣斗六市公正里利民街8號,"23.70385, 120.54626",1.0,915.0,斗六分局,35.0,,雲林縣斗六市公正里利民街8號
,公正里,雲林縣斗六市公正里莊敬路216號,"23.69776, 120.52683",1.0,1028.0,斗六分局,36.0,,雲林縣斗六市公正里莊敬路216號
,公正里,雲林縣斗六市公正里中正路212號,"23.70345, 120.54441",1.0,124.0,斗六分局,37.0,,雲林縣斗六市公正里中正路212號
,公正里,雲林縣斗六市公正里中正路173號,"23.70508, 120.54454",1.0,904.0,斗六分局,38.0,,雲林縣斗六市公正里中正路173號
,公正里,雲林縣斗六市公正里林北街1號,"23.70467, 120.54391",1.0,913.0,斗六分局,39.0,,雲林縣斗六市公正里林北街1號
,公正里,雲林縣斗六市公正里中正路217巷37號,"23.70378, 120.54458",1.0,112.0,斗六分局,40.0,,雲林縣斗六市公正里中正路217巷37號
,公正里,雲林縣斗六市公正里中正路21巷52號,"23.71013, 120.54466",1.0,521.0,斗六分局,41.0,,雲林縣斗六市公正里中正路21巷52號
白金漢建設,公正里,雲林縣斗六市公正里平等街19號,"23.70469, 120.54738",1.0,739.0,斗六分局,42.0,,雲林縣斗六市公正里平等街19號
萬龍建設,公正里,雲林縣斗六市公正里莊敬路362號,"23.70531, 120.54455",1.0,987.0,斗六分局,43.0,,雲林縣斗六市公正里莊敬路362號
成大醫院,公正里,雲林縣斗六市公正里莊敬路345號,"23.7031, 120.54549",1.0,3062.0,斗六分局,44.0,,雲林縣斗六市公正里莊敬路345號
,公正里,雲林縣斗六市公正里三民路153號,"23.70657, 120.54564",1.0,135.0,斗六分局,45.0,,雲林縣斗六市公正里三民路153號
,公正里,雲林縣斗六市公正里三民路170號,"23.70657, 120.54558",1.0,165.0,斗六分局,46.0,,雲林縣斗六市公正里三民路170號
雲林國小,公正里,雲林縣斗六市公正里莊敬路111號,"23.70287, 120.54823",1.0,1338.0,斗六分局,47.0,,雲林縣斗六市公正里莊敬路111號
,公誠里,雲林縣斗六市公誠里上海路206號,"23.71437, 120.54117",1.0,525.0,斗六分局,48.0,,雲林縣斗六市公誠里上海路206號
,公誠里,雲林縣斗六市公誠里上海路243號,"23.71446, 120.53991",1.0,744.0,斗六分局,49.0,,雲林縣斗六市公誠里上海路243號
,公誠里,雲林縣斗六市公誠里南京路373號,"23.71446, 120.53991",1.0,637.0,斗六分局,50.0,,雲林縣斗六市公誠里南京路373號
,公誠里,雲林縣斗六市公誠里漢口路216號,"23.71331, 120.54142",1.0,256.0,斗六分局,51.0,,雲林縣斗六市公誠里漢口路216號
,公誠里,雲林縣斗六市公誠里漢口路199號,"23.71338, 120.54119",1.0,222.0,斗六分局,52.0,,雲林縣斗六市公誠里漢口路199號
,公誠里,雲林縣斗六市公誠里上海路217號,"23.7138, 120.54025",1.0,252.0,斗六分局,53.0,,雲林縣斗六市公誠里上海路217號
