類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般建築,,YH0394,南端里,高雄市鹽埕區南端里公園二路95之1號,"22.62036,120.284863",1,35,
一般建築,,YH0434,博愛里,高雄市鹽埕區博愛里建國四路287號,"22.629549,120.282266",1,64,
一般建築,,YH0391,府北里,高雄市鹽埕區府北里大勇路183巷5號,"22.628177,120.286248",1,65,
一般建築,,YH0414,藍橋里,高雄市鹽埕區藍橋里建國四路336之1號,"22.632937,120.284487",1,82,
一般建築,,YH0392,教仁里,高雄市鹽埕區教仁里建國四路197號,"22.626888,120.280824",1,122,
一般建築,,YH0406,江西里,高雄市鹽埕區江西里建國四路145號,"22.625087,120.279821",1,151,
一般建築,,YH0418,江西里,高雄市鹽埕區江西里五福四路295號,"22.62516,120.279923",1,159,
一般建築,,YH0397,府北里,高雄市鹽埕區府北里富野路68號,"22.628215,120.284499",1,160,
一般建築,,YH0405,藍橋里,高雄市鹽埕區藍橋里建國四路344號,"22.633182,120.284594",1,160,
一般建築,,YH0424,府北里,高雄市鹽埕區府北里大有街1號,"22.628565,120.286326",1,176,
一般建築,,YH0415,壽星里,高雄市鹽埕區壽星里興華街43號,"22.630641,120.283725",1,176,
一般建築,,YH0396,府北里,高雄市鹽埕區府北里富野路70號,"22.628177,120.284424",1,192,
一般建築,,YH0402,港都里,高雄市鹽埕區港都里瀨南街43號,"22.622112,120.280919",1,198,
一般建築,,YH0428,港都里,高雄市鹽埕區港都里必忠街247號,"22.62378,120.280409",1,202,
一般建築,,YH0412,博愛里,高雄市鹽埕區博愛里建國四路293號,"22.629659,120.282332",1,205,
一般建築,,YH0461,港都里,高雄市鹽埕區港都里七賢三路58號,"22.623076,120.280789",1,206,
一般建築,,YH0460,光明里,高雄市鹽埕區光明里大智路129號,"22.623359,120.286278",2,223,
一般建築,,YH0422,光明里,高雄市鹽埕區光明里莒光街213號,"22.624732,120.285189",1,224,
一般建築,,YH0427,港都里,高雄市鹽埕區港都里必忠街248號,"22.623989,120.280366",1,229,
一般建築,,YH0439,育仁里,高雄市鹽埕區育仁里五福四路16號,"22.621252,120.288702",1,235,
一般建築,,YH0421,瀨南里,高雄市鹽埕區瀨南里富野路25號,"22.627451,120.285352",1,240,
一般建築,,YH0416,江南里,高雄市鹽埕區江南里瀨南街30號,"22.621534,120.28088",1,254,
一般建築,,YH0464,光明里,高雄市鹽埕區光明里大智路145號,"22.624016,120.286646",1,269,
一般建築,,YH0395,育仁里,高雄市鹽埕區育仁里大智路122號,"22.622913,120.286475",1,272,
一般建築,,YH0409,光明里,高雄市鹽埕區光明里光榮街72號之1,"22.623398,120.285681",1,294,
一般建築,,YH0426,壽星里,高雄市鹽埕區壽星里新興街210號,"22.62932,120.28333",1,294,
一般建築,,YH0407,府北里,高雄市鹽埕區府北里七賢二路468號,"22.629705,120.284744",1,301,
一般建築,,YH0419,光明里,高雄市鹽埕區光明里大仁路1號,"22.624314,120.286765",1,313,
一般建築,,YH0429,陸橋里,高雄市鹽埕區陸橋里建國四路257號,"22.628617,120.281772",1,322,
一般建築,,YH0410,教仁里,高雄市鹽埕區教仁里大安街115號,"22.625971,120.279559",1,330,
一般建築,,YH0423,港都里,高雄市鹽埕區港都里必忠街225號,"22.623306,120.281336",1,347,
一般建築,,YH0393,教仁里,高雄市鹽埕區教仁里新樂街245號,"22.626344,120.280081",1,387,
一般建築,,YH0446,新樂里,高雄市鹽埕區新樂里鹽埕街5號之1,"22.624134,120.283443",1,390,
一般建築,,YH0444,中原里,高雄市鹽埕區中原里七賢三路196號,"22.628122,120.283404",1,393,
一般建築,,YH0466,育仁里,高雄市鹽埕區育仁里大義街113號,"22.622426,120.28661",2,436,
一般建築,,YH0413,中山里,高雄市鹽埕區中山里五福四路307號,"22.625357,120.279463",1,449,
