類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,placemark_address
民宅(大自然社區),八中里,基隆市暖暖區金華街267號,"25.10824, 121.72734",1.0,1730,第三分局,"民宅(大自然社區) 八中002 八中里 基隆市暖暖區金華街267號 1730 第三分局"
民宅,八西里,基隆市暖暖區過港路246號,"25.10998, 121.7339",1.0,169,第三分局
三本車業,八西里,基隆市暖暖區八堵路6之1號,"25.109, 121.73202",1.0,5956,第三分局
豐田八堵展示館,八南里,基隆市暖暖區八堵路167之1號,"25.10459, 121.72648",1.0,725,第三分局,"豐田八堵展示館 八南002 八南里 基隆市暖暖區八堵路167之1號 725 第三分局"
大樓,八南里,基隆市暖暖區八堵路185巷95之1號,"25.10117, 121.72475",1.0,320,第三分局
東京站,八南里,基隆市暖暖區八堵路159之9號,"25.10117, 121.72475",1.0,1242,第三分局,"東京站 八南004 八南里 基隆市暖暖區八堵路159之9號 1242 第三分局"
公寓,八堵里,基隆市暖暖區水源路9之8號,"25.10634, 121.73432",1.0,119,第三分局
民宅,八堵里,基隆市暖暖區水源路2巷96號,"25.109, 121.73202",1.0,89,第三分局
民宅,八堵里,基隆市暖暖區水源路13之1號地下1層,"25.109, 121.73202",1.0,137,第三分局,"民宅 八堵005 八堵里 基隆市暖暖區水源路13之1號地下1層 137 第三分局"
基隆高中,八堵里,基隆市暖暖區源遠路20號,"25.10837, 121.73268",1.0,510,第三分局,"基隆高中 八堵006 八堵里 基隆市暖暖區源遠路20號 510 第三分局"
中華貿易開發股份有限公司,八德里,基隆市七堵區八德路3之2號,"25.109, 121.73202",1.0,168,第三分局,"中華貿易開發股份有限公司 八德001 八德里 基隆市七堵區八德路3之2號 168 第三分局"
民宅,八德里,基隆市七堵區大華一路29之3號,"25.09837, 121.71527",1.0,209,第三分局,"民宅 八德002 八德里 基隆市七堵區大華一路29之3號 209 第三分局"
台電宿舍,八德里,基隆市七堵區大華一路1巷22號,"25.10067, 121.71059",1.0,101,第三分局,"台電宿舍 八德004 八德里 基隆市七堵區大華一路1巷22號 101 第三分局"
國產實業建設股份有限公司,八德里,基隆市七堵區八德路2之2號,"25.11302, 121.727",1.0,136,第三分局
民宅,八德里,基隆市七堵區八德路72號,"25.109, 121.73202",1.0,75,第三分局
民宅,八德里,基隆市七堵區八德路23號,"25.109, 121.73202",1.0,449,第三分局
