類別,里別,防空疏散避難設施地址,可容納人數
不公開,八德里,雲林縣斗六市八德里文化路648號,482.0
黑松汽水斗六廠,八德里,雲林縣斗六市八德里文化路635號,226.0
黑松汽水斗六廠,八德里,雲林縣斗六市八德里文化路635號,246.0
公寓,八德里,雲林縣斗六市八德里文化路675號,106.0
榮成公司,十三里,雲林縣斗六市十三里十三北路25號,50.0
公寓,三平里,雲林縣斗六市三平里洛陽路155號,133.0
公寓,三平里,雲林縣斗六市三平里西平路119巷36號,264.0
公寓,三平里,雲林縣斗六市三平里西平路77至79號、1至3號之4,3169.0
公寓,三平里,雲林縣斗六市三平里西平路161號,118.0
公寓,三平里,雲林縣斗六市三平里西平路209號,3644.0
公寓,三平里,雲林縣斗六市三平里上海路160號,716.0
公寓,三平里,雲林縣斗六市三平里北平路46巷5之21號,1317.0
公寓,三平里,雲林縣斗六市三平里上海路156至170號、漢口路157至161號,1392.0
公寓,三平里,雲林縣斗六市三平里延平路6至10號,370.0
公寓,三平里,雲林縣斗六市三平里延平路73號,180.0
三好國際酒店股份有限公司,三平里,斗六市三平里斗六五路31號,5128.0
不公開,三平里,雲林縣斗六市三平里6鄰明德北路3段39號,1425.0
公寓,久安里,雲林縣斗六市久安里久安路158巷36號,2313.0
公寓,久安里,雲林縣斗六市久安里雲林路3段369號,177.0
大樓,中和里,雲林縣斗六市中和里太平路235號,461.0
公寓,中和里,雲林縣斗六市中和里愛國街149至151號,176.0
不公開,中和里,雲林縣斗六市中和里西平路1號,217.0
雲林縣環保局,中和里,雲林縣斗六市中和里雲林路1段170號,100.0
中央市場,中和里,雲林縣斗六市中和里中華路16號,428.0
不公開,中和里,雲林縣斗六市中和里中山路72號,400.0
國泰人壽,中和里,雲林縣斗六市中和里中山路89號,152.0
地球村補習班,中和里,雲林縣斗六市中和里中山路82號,849.0
永福寺,中和里,雲林縣斗六市中和里城頂街156號,138.0
鎮西國小,中和里,雲林縣斗六市中和里西平路3號,1885.0
公寓,仁愛里,雲林縣斗六市仁愛里成功路259號,800.0
公寓,仁愛里,雲林縣斗六市仁愛里中華路222號,350.0
公寓,仁愛里,雲林縣斗六市仁愛里永樂街138巷8號,129.0
公寓,仁愛里,雲林縣斗六市仁愛里城頂街22號,309.0
公寓,仁愛里,雲林縣斗六市仁愛里成功路102號,242.0
公寓,仁愛里,雲林縣斗六市仁愛里中華路100號,468.0
斗六家商(忠孝樓),仁愛里,雲林縣斗六市仁愛里成功路120號,348.0
斗六家商(仁愛樓),仁愛里,雲林縣斗六市仁愛里成功路120號,102.0
斗六家商(信義樓),仁愛里,雲林縣斗六市仁愛里成功路120號,108.0
斗六家商大禮堂,仁愛里,雲林縣斗六市仁愛里成功路120號,2448.0
大樓,公正里,雲林縣斗六市公正里6鄰凱旋街56號,1824.0
公寓,公正里,雲林縣斗六市公正里1鄰莊敬路347巷30弄11號,6880.0
公寓,公正里,雲林縣斗六市公正里11鄰中正路137巷22號,162.0
公寓,公正里,雲林縣斗六市公正里15鄰中正路217巷19弄2號,309.0
公寓,公正里,雲林縣斗六市公正里12鄰中正路137巷20號,198.0
公寓,公正里,雲林縣斗六市公正里17鄰平等街30至36號,540.0
公寓,公正里,雲林縣斗六市公正里18鄰中正路217巷37號,134.0
公寓,公正里,雲林縣斗六市公正里城頂街11號,2137.0
公寓,公正里,雲林縣斗六市公正里17鄰平等街19至33號,1264.0
公寓,公正里,雲林縣斗六市公正里16鄰莊敬路216號,1974.0
公寓,公正里,雲林縣斗六市公正里中正路212號,238.0
公寓,公正里,雲林縣斗六市公正里中正路173號,1737.0
公寓,公正里,雲林縣斗六市公正里10鄰中正路21巷52-60號,1001.0
公寓,公正里,雲林縣斗六市公正里林北街1號,1754.0
成大醫院,公正里,雲林縣斗六市公正里1鄰莊敬路345號,5480.0
雲林國小,公正里,雲林縣斗六市公正里9鄰莊敬路111號,1606.0
成大醫院,公正里,雲林縣斗六市公正里莊敬路345號,5480.0
公寓,公誠里,雲林縣斗六市公誠里上海路206號長春路22至26號,1008.0
公寓,公誠里,雲林縣斗六市公誠里上海路243至251號、西安街21至23號,893.0
公寓,公誠里,雲林縣斗六市公誠里南京路373至377號、長春路48至50號,765.0
公寓,公誠里,雲林縣斗六市公誠里漢口路216號,308.0
公寓,公誠里,雲林縣斗六市公誠里漢口路199號,266.0
公寓,公誠里,雲林縣斗六市公誠里上海路217號,484.0
公寓,公誠里,雲林縣斗六市公誠里上海路260巷1-3號,1702.0
公寓,公誠里,雲林縣斗六市公誠里鎮北路105號,1088.0
公寓,公誠里,雲林縣斗六市公誠里西安街36至42號,563.0
公寓,公誠里,雲林縣斗六市公誠里漢口路196號,382.0
公誠國小(忠孝樓),公誠里,雲林縣斗六市公誠里北平路95號,429.0
承龍幼稚園,公誠里,雲林縣斗六市公誠里北平路177號,678.0
公誠國小(育英樓),公誠里,雲林縣斗六市公誠里北平路95號,920.0
公誠國小(信義樓),公誠里,雲林縣斗六市公誠里北平路95號,1225.0
大山電纜,公誠里,雲林縣斗六市公誠里上海路222號之1,566.0
公寓,太平里,雲林縣斗六市太平里成功路42巷14號,222.0
公寓,太平里,雲林縣斗六市太平里城頂街90號,122.0
公寓,太平里,雲林縣斗六市太平里城頂街47號,316.0
公寓,太平里,雲林縣斗六市太平里成功路46-1號,180.0
公寓,太平里,雲林縣斗六市太平里城頂街57號,266.0
新興宮,四維里,雲林縣斗六市四維里中正路60號,266.0
公寓,光興里,雲林縣斗六市光興里民生路128號,224.0
公寓,光興里,雲林縣斗六市光興里民生路98號,485.0
公寓,光興里,雲林縣斗六市光興里民生路121號,170.0
公寓,光興里,雲林縣斗六市光興里愛國街78-4號,1665.0
公寓,光興里,雲林縣斗六市光興里西平路80號,952.0
公寓,光興里,雲林縣斗六市光興里大同路46至48號,254.0
公寓,光興里,雲林縣斗六市光興里民生路119號,182.0
公寓,光興里,雲林縣斗六市光興里雲林路1段60號,188.0
公寓,成功里,雲林縣斗六市成功里榮譽路91號之93,733.0
公寓,成功里,雲林縣斗六市成功里五權路80號,517.0
公寓,成功里,雲林縣斗六市成功里民族路50號,432.0
公寓,成功里,雲林縣斗六市成功里成功路435巷127號,316.0
公寓,成功里,雲林縣斗六市成功里鎮東路338號,1024.0
公寓,成功里,雲林縣斗六市成功里鎮東路356巷68號、天祥街77號,458.0
公寓,成功里,雲林縣斗六市成功里富強街37號,994.0
公寓,成功里,雲林縣斗六市成功里復國街16號之32,1324.0
慈德工業社,成功里,雲林縣斗六市成功里榮譽路30號之1,112.0
瑞興工業社,成功里,雲林縣斗六市成功里大學路540號,124.0
斗六國小,成功里,雲林縣斗六市成功里4鄰鎮東路225號,2656.0
斗六國小,成功里,雲林縣斗六市成功里4鄰鎮東路515號,1660.0
信安醫院,江厝里,雲林縣斗六市江厝里瓦厝路159號,1013.0
公寓,忠孝里,雲林縣斗六市忠孝里內環路661號,680.0
公寓,忠孝里,雲林縣斗六市忠孝里文化路138號,408.0
公寓,忠孝里,雲林縣斗六市忠孝里永安路72號,489.0
公寓,忠孝里,雲林縣斗六市忠孝里內環路630號,148.0
公寓,忠孝里,雲林縣斗六市忠孝里內環路1.3.5.7號,529.0
公寓,忠孝里,雲林縣斗六市忠孝里永安路46號,1322.0
公寓,忠孝里,雲林縣斗六市忠孝里大同路252號,286.0
公寓,忠孝里,雲林縣斗六市忠孝里大同路123號,114.0
公寓,忠孝里,雲林縣斗六市忠孝里中正路23號,128.0
不公開,忠孝里,雲林縣斗六市忠孝里文化路38號,849.0
不公開,忠孝里,雲林縣斗六市忠孝里文化路38號,966.0
不公開,忠孝里,雲林縣斗六市忠孝里大同路109號,513.0
公寓,林中村,雲林縣林內鄉林中村光復路2-3號,133.0
林內鄉公所,林中村,雲林縣林內鄉林中村中正路340號,128.0
合眾紙業公司,林中村,雲林縣林內鄉林中村瑞農路65號,118.0
不公開,林中村,雲林縣林內鄉林中村中西路21號,517.0
不公開,林中村,雲林縣林內鄉林中村中正路42號,346.0
不公開,林中村,雲林縣林內鄉林中村中正路382號,512.0
淵明國中,林中村,雲林縣林內鄉林中村公園路3號,1810.0
公寓,林頭里,雲林縣斗六市林頭里大學路1段599號,1294.0
公寓,林頭里,雲林縣斗六市林頭里福德街43-49號,1173.0
公寓,林頭里,雲林縣斗六市林頭里福德街46-52號,864.0
菸酒公賣局,林頭里,雲林縣斗六市林頭里南聖路45號,178.0
南聖宮管理委員會(左),林頭里,雲林縣斗六市林頭里3鄰南聖路301號,37.0
南聖宮管理委員會(右),林頭里,雲林縣斗六市林頭里3鄰南聖路301號,194.0
