電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
ONA00001,慈福里,臺南市學甲區慈福里9鄰濟生路62號,"23.232413,120.183798",1.0,33.0,學甲分局,
ONA00003,仁得里,臺南市學甲區仁得里6鄰華宗路313號,"23.230357,120.182205",1.0,570.0,學甲分局,
ONA00004,明宜里,臺南市學甲區明宜里9鄰宮西路10號,"23.233984,120.179663",1.0,93.0,學甲分局,
ONA00005,明宜里,臺南市學甲區明宜里2鄰中山路151號,"23.234672,120.178837",1.0,96.0,學甲分局,
ONA00007,慈福里,臺南市學甲區慈福里12鄰濟生路170號,"23.233771,120.180496",1.0,306.0,學甲分局,
ONA00009,新達里,臺南市學甲區新達里10鄰興業路99號,"23.242194,120.19247",1.0,418.0,學甲分局,
ONA00010,新榮里,臺南市學甲區新榮里6鄰華宗路121號,"23.224568,120.181715",1.0,232.0,學甲分局,
ONA00011,新榮里,臺南市學甲區新榮里6鄰華宗路121號,"23.224568,120.181715",1.0,1062.0,學甲分局,
ONA00012,新榮里,臺南市學甲區新榮里6鄰華宗路126號之1,"23.22296,120.185086",1.0,89.0,學甲分局,
ONA00013,新榮里,臺南市學甲區新榮里6鄰華宗路126號,"23.222816,120.185795",1.0,104.0,學甲分局,
ONA00014,新榮里,臺南市學甲區新榮里6鄰華宗路71號,"23.221236,120.183516",1.0,221.0,學甲分局,
ONA00015,新榮里,臺南市學甲區新榮里5鄰華宗路202號,"23.225555,120.183791",1.0,1088.0,學甲分局,
ONA00016,新榮里,臺南市學甲區新榮里6鄰華宗路137號之2,"23.225024,120.182588",1.0,74.0,學甲分局,
ONA00017,秀昌里,臺南市學甲區秀昌里5鄰一秀155號,"23.261267,120.16856",1.0,529.0,學甲分局,
ONA00018,秀昌里,臺南市學甲區秀昌里5鄰一秀155號,"23.261267,120.16856",1.0,48.0,學甲分局,
ONA00019,大灣里,臺南市學甲區大灣里1鄰大灣39號之10,"23.211617,120.1863",1.0,222.0,學甲分局,
ONA00021,秀昌里,臺南市學甲區秀昌里5鄰一秀155號,"23.261267,120.16856",1.0,1800.0,學甲分局,
ONA00022,仁得里,臺南市學甲區仁得里17鄰八德街161號,"23.227741,120.17801",1.0,500.0,學甲分局,
ONA00024,中洲里,臺南市學甲區中洲里4鄰中洲109號之2,"23.244312,120.15733",1.0,129.0,學甲分局,
ONA00025,光華里,臺南市學甲區光華里8鄰頭港子1號,"23.252897,120.15231",1.0,234.0,學甲分局,
ONA00026,宅港里,臺南市學甲區宅港里7鄰德安寮3號之28,"23.249026,120.196715",1.0,90.0,學甲分局,
