電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
,慈祐里,臺北市松山區八德路四段742號,"25.050521,121.577881",1、2、3,27746.0,松山分局,,臺北市松山區八德路四段742號
,安平里,臺北市松山區南京東路五段237號,"25.051613,121.564909",1、2,13561.0,松山分局,,臺北市松山區南京東路五段237號
,美仁里,臺北市松山區南京東路四段10之1號,"25.05143,121.552505",1、2,14853.0,松山分局,,臺北市松山區南京東路四段10之1號
,中正里,臺北市松山區南京東路三段253號,"25.052047,121.544096",1、2、3,20169.0,松山分局,,臺北市松山區南京東路三段253號
,精忠里,臺北市松山區敦化北路338號,"25.063161,121.55195",1、2、3、4,16269.0,松山分局,,臺北市松山區敦化北路338號
,新富里,臺北市南港區研究院路一段1號,"25.054857,121.616829",1、2、3,27596.0,南港分局,,臺北市南港區研究院路一段1號
,中南里,臺北市南港區忠孝東路七段380號,"25.051856,121.606526",1、2、3,12832.0,南港分局,,臺北市南港區忠孝東路七段380號
,合成里,臺北市南港區忠孝東路六段451號,"25.050611,121.593796",1、2,10120.0,南港分局,,臺北市南港區忠孝東路六段451號
,萬福里,臺北市南港區忠孝東路六段2號,"25.045261,121.583053",1、2,12557.0,南港分局,,臺北市南港區忠孝東路六段2號
,萬隆里,臺北市文山區羅斯福路五段214號,"25.00252,121.538556",1、2,15630.0,文山第二分局,,臺北市文山區羅斯福路五段214號
,景行里,臺北市文山區羅斯福路六段393號,"24.9921,121.540741",1、2,18573.0,文山第二分局,,臺北市文山區羅斯福路六段393號
