類別,電腦編號,村里別,地址,地下層數,可容納數人,備註,placemark_address
公寓,1.0,東門里,金門縣金城鎮東門里莒光路26巷14號,1.0,7人,,金門縣金城鎮東門里莒光路26巷14號
公寓,2.0,東門里,金門縣金城鎮模範街2號,1.0,3人,,金門縣金城鎮模範街2號
公寓,3.0,東門里,"24.43114351205928, 118.32046684212091 ",1.0,4人,金門縣金城鎮東門里珠浦東路4巷3號,"24.43114351205928, 118.32046684212091"
公寓,4.0,東門里,"24.43196622888271, 118.31951457359384",1.0,7人,金門縣金城鎮東門里珠浦東路4巷29號,"24.43196622888271, 118.31951457359384"
公寓,5.0,東門里,金門縣金城鎮菜市場路49號,1.0,7人,,金門縣金城鎮菜市場路49號
公寓,6.0,東門里,"24.43202829130895, 118.31860587662362",1.0,4人,金門縣金城鎮菜市場路41號,"24.43202829130895, 118.31860587662362"
公寓,7.0,東門里,"24.43178488054558, 118.32023971543069 ",1.0,7人,金門縣金城鎮東門里珠浦東路4巷13弄13號,"24.43178488054558, 118.32023971543069"
公寓,8.0,東門里,"24.432165588983427, 118.31988793613661",1.0,7人,金門縣金城鎮東門里珠浦東路4巷32號,"24.432165588983427, 118.31988793613661"
公寓,9.0,東門里,金門縣金城鎮東門里民族路31之1號,1.0,10人,,金門縣金城鎮東門里民族路31之1號
公寓,10.0,東門里,"24.43202274738221, 118.31982014342563 ",1.0,2人,金門縣金城鎮東門里珠浦東路4巷30弄4號,"24.43202274738221, 118.31982014342563"
公寓,11.0,東門里,"24.431413540159564, 118.32017754563358",1.0,6人,金門縣金城鎮東門里珠浦東路4巷13弄6之1號,"24.431413540159564, 118.32017754563358"
公寓,12.0,東門里,"24.431932698094766, 118.32007864831662",1.0,5人,金門縣金城鎮東門里珠浦東路4巷13弄20號,"24.431932698094766, 118.32007864831662"
公寓,13.0,東門里,"金門縣金城鎮東門里莒光路2號 ",1.0,4人,,金門縣金城鎮東門里莒光路2號
公寓,14.0,東門里,"金門縣金城鎮東門里珠浦東路4巷12號 ",1.0,5人,,金門縣金城鎮東門里珠浦東路4巷12號
公寓,15.0,東門里,"24.432173401314436, 118.31965184411798",1.0,3人,"金門縣金城鎮東門里珠浦東路31之10號 ","24.432173401314436, 118.31965184411798"
公寓,16.0,東門里,金門縣金城鎮東門里莒光路一段30號2樓,1.0,7人,,金門縣金城鎮東門里莒光路一段30號2樓
公寓,17.0,東門里,"金門縣金城鎮東門里環島西路一段32號 ",1.0,4人,,金門縣金城鎮東門里環島西路一段32號
公寓,18.0,東門里,金門縣金城鎮東門里民族路31之2號,1.0,10人,,金門縣金城鎮東門里民族路31之2號
大樓,19.0,東門里,金門縣金城鎮東門里浯江北堤路12號,2.0,32人,,金門縣金城鎮東門里浯江北堤路12號
大樓,20.0,東門里,金門縣金城鎮東門里浯江北堤路16號,1.0,64人,,金門縣金城鎮東門里浯江北堤路16號
