電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QOA00003,枋寮村,屏東縣枋寮鄉枋寮村儲運路2號,1.0,160.0,枋寮分局,
QOA00009,枋寮村,屏東縣枋寮鄉枋寮村德興路32號,1.0,240.0,枋寮分局,
QOA00001,枋寮村,屏東縣枋寮鄉枋寮村德興路36號,1.0,133.0,枋寮分局,
QOA00078,枋寮村,屏東縣枋寮鄉枋寮村德興路197號,1.0,214.0,枋寮分局,共有2處、總計可容納人數338人
QOA00079,枋寮村,屏東縣枋寮鄉枋寮村德興路197號,1.0,124.0,枋寮分局,共有2處、總計可容納人數338人
QOA00011,枋寮村,屏東縣枋寮鄉枋寮村中山路194號,1.0,200.0,枋寮分局,
QOA00077,枋寮村,屏東縣枋寮鄉枋寮村中山路240號,1.0,180.0,枋寮分局,
QOA00072,枋寮村,屏東縣枋寮鄉枋寮村中興路22-19號,1.0,754.0,枋寮分局,
QOA00002,枋寮村,屏東縣枋寮鄉枋寮村中興路46號,1.0,50.0,枋寮分局,
QOA00013,枋寮村,屏東縣枋寮鄉枋寮村沿海路9號,1.0,1148.0,枋寮分局,
QOA00010,新龍村,屏東縣枋寮鄉新龍村中山路303號,1.0,106.0,枋寮分局,
QOA00013,新龍村,屏東縣枋寮鄉新龍村中山路327號,1.0,133.0,枋寮分局,
QOA00063,新龍村,屏東縣枋寮鄉新龍村義民路3號,1.0,546.0,枋寮分局,共有3處、總計可容納人數2750人
QOA00064,新龍村,屏東縣枋寮鄉新龍村義民路3號,1.0,1682.0,枋寮分局,共有3處、總計可容納人數2750人
QOA00065,新龍村,屏東縣枋寮鄉新龍村義民路3號,1.0,522.0,枋寮分局,共有3處、總計可容納人數2750人
QOA00012,隆山村,屏東縣枋寮鄉隆山村隆山路111號,1.0,106.0,枋寮分局,
QOA00007,隆山村,屏東縣枋寮鄉隆山村隆山路164-1號,1.0,66.0,枋寮分局,
QOA00008,隆山村,屏東縣枋寮鄉隆山村隆山路257號,1.0,66.0,枋寮分局,
QOA00050,隆山村,屏東縣枋寮鄉隆山村僑德路186號,1.0,592.0,枋寮分局,
QOA00006,隆山村,屏東縣枋寮鄉隆山村中山路36號,1.0,20.0,枋寮分局,
QOA00080,中寮村,屏東縣枋寮鄉中寮村保安路215號,1.0,392.0,枋寮分局,
QOA00005,安樂村,屏東縣枋寮鄉安樂村安樂路6巷口,1.0,133.0,枋寮分局,
QOA00081,安樂村,屏東縣枋寮鄉安樂村隆山路59號,1.0,408.0,枋寮分局,
QOA00014,安樂村,屏東縣枋寮鄉安樂村中山路139號,1.0,200.0,枋寮分局,
QOA00016,地利村,屏東縣枋寮鄉地利村建興路286號,1.0,66.0,枋寮分局,
QOA00073,東海村,屏東縣枋寮鄉東海村東海路433號,1.0,225.0,枋寮分局,
QOA00017,東海村,屏東縣枋寮鄉東海村屏南路17號,1.0,233.0,枋寮分局,
QOA00031,東海村,屏東縣枋寮鄉東海村屏南路23號,1.0,168.0,枋寮分局,
QOA00020,東海村,屏東縣枋寮鄉東海村屏南路25號,1.0,122.0,枋寮分局,
