行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
北投分局,WUA00284,一德里,臺北市北投區中央北路四段118號,"25.134004,121.476457",1,352.0,北投分局,,臺北市北投區中央北路四段118號
北投分局,WUA00285,一德里,臺北市北投區中央北路四段128號,"25.133838,121.476265",1,733.0,北投分局,,臺北市北投區中央北路四段128號
北投分局,WUA00286,一德里,臺北市北投區中央北路四段146號,"25.133417,121.475742",1,332.0,北投分局,,臺北市北投區中央北路四段146號
北投分局,WUA00287,一德里,臺北市北投區中央北路四段172號,"25.133006,121.475232",1,468.0,北投分局,,臺北市北投區中央北路四段172號
北投分局,WUA00288,一德里,臺北市北投區中央北路四段202號,"25.132597,121.474712",1,406.0,北投分局,,臺北市北投區中央北路四段202號
北投分局,WUA00289,一德里,臺北市北投區中央北路四段215-2號,"25.132428,121.474504",1,336.0,北投分局,,臺北市北投區中央北路四段215-2號
北投分局,WUA00291,一德里,臺北市北投區中央北路四段218號,"25.132276,121.474313",1,106.0,北投分局,,臺北市北投區中央北路四段218號
北投分局,WUA00294,一德里,臺北市北投區中央北路四段264號,"25.131793,121.47368",1,196.0,北投分局,,臺北市北投區中央北路四段264號
北投分局,WUA00295,一德里,臺北市北投區中央北路四段288號,"25.131409,121.473219",1,244.0,北投分局,,臺北市北投區中央北路四段288號
北投分局,WUA00296,一德里,臺北市北投區中央北路四段32號,"25.13509,121.477979",1,417.0,北投分局,,臺北市北投區中央北路四段32號
北投分局,WUA00297,一德里,臺北市北投區中央北路四段346號,"25.130448,121.472021",1,585.0,北投分局,,臺北市北投區中央北路四段346號
北投分局,WUA00298,一德里,臺北市北投區中央北路四段356號,"25.130203,121.471716",1,1689.0,北投分局,,臺北市北投區中央北路四段356號
北投分局,WUA00299,一德里,臺北市北投區中央北路四段450號,"25.129,121.470054",1,174.0,北投分局,,臺北市北投區中央北路四段450號
北投分局,WUA00300,一德里,臺北市北投區中央北路四段465號,"25.128644,121.469768",1,45.0,北投分局,,臺北市北投區中央北路四段465號
北投分局,WUA00301,一德里,臺北市北投區中央北路四段469號,"25.128599,121.469654",1,186.0,北投分局,,臺北市北投區中央北路四段469號
北投分局,WUA00302,一德里,臺北市北投區中央北路四段479號,"25.128489,121.469378",1,80.0,北投分局,,臺北市北投區中央北路四段479號
北投分局,WUA000303,一德里,臺北市北投區中央北路四段48號,"25.134703,121.477346",1,665.0,北投分局,,臺北市北投區中央北路四段48號
北投分局,WUA00304,一德里,臺北市北投區中央北路四段48號,"25.134703,121.477346",1,664.0,北投分局,,臺北市北投區中央北路四段48號
北投分局,WUA00305,一德里,臺北市北投區中央北路四段48號,"25.134703,121.477346",1,1014.0,北投分局,,臺北市北投區中央北路四段48號
北投分局,WUA00306,一德里,臺北市北投區中央北路四段485號,"25.128426,121.469233",1,141.0,北投分局,,臺北市北投區中央北路四段485號
北投分局,WUA00307,一德里,臺北市北投區中央北路四段517號,"25.128055,121.468328",1,640.0,北投分局,,臺北市北投區中央北路四段517號
北投分局,WUA00308,一德里,臺北市北投區中央北路四段542號,"25.127879,121.467522",1,73.0,北投分局,,臺北市北投區中央北路四段542號
北投分局,WUA00309,一德里,臺北市北投區中央北路四段543號,"25.127699,121.46765",1,86.0,北投分局,,臺北市北投區中央北路四段543號
北投分局,WUA00310,一德里,臺北市北投區中央北路四段569號,"25.127286,121.467056",1,260.0,北投分局,,臺北市北投區中央北路四段569號
北投分局,WUA00311,一德里,臺北市北投區中央北路四段571號,"25.127175,121.466919",1,228.0,北投分局,,臺北市北投區中央北路四段571號
