類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
福安國中,WVA01492,福安里,臺北市士林區延平北路七段250號,"25.103352,121.487396",1,"1569 ",
福安國中,WVA02798,福安里,臺北市士林區延平北路七段250號,"25.103352,121.487396",1,"2169 ",
公寓,WVA03010,福志里,臺北市士林區雨農路82號,"25.099456,121.533557",1,"9541 ",
公寓,WVA02962,福志里,臺北市士林區中山北路五段698巷16.18號,"25.097809,121.528802",1,"561 ",
公寓,WVA00474,福志里,臺北市士林區中山北路五段620號,"25.096577,121.52793",1,"46 ",
公寓,WVA00475,福志里,臺北市士林區中山北路五段622號,"25.096647,121.527919",1,"194 ",
公寓,WVA00476,福志里,臺北市士林區中山北路五段626號,"25.096748,121.527904",1,"208 ",
公寓,WVA00479,福志里,臺北市士林區中山北路五段678號,"25.097072,121.527797",1,"73 ",
公寓,WVA00497,福志里,臺北市士林區中山北路五段698巷21號,"25.097611,121.528391",1,"69 ",
公寓,WVA00498,福志里,臺北市士林區中山北路五段698巷36號,"25.097246,121.528915",1,"97 ",
大樓,WVA00746,福志里,臺北市士林區中正路116號,"25.096352,121.529079",1,"1185 ",
大樓,WVA00747,福志里,臺北市士林區中正路116號,"25.096352,121.529079",1,"1185 ",
大樓,WVA00748,福志里,臺北市士林區中正路120號,"25.096112,121.528803",1,"952 ",
大樓,WVA00749,福志里,臺北市士林區中正路122號,"25.09608,121.528565",3,"1470 ",
公寓,WVA00786,福志里,臺北市士林區中正路104巷2弄11號,"25.097117,121.529087",1,"98 ",
公寓,WVA00787,福志里,臺北市士林區中正路104巷2弄5號,"25.096909,121.529134",1,"40 ",
公寓,WVA00788,福志里,臺北市士林區中正路104巷2弄9號,"25.097044,121.529098",1,"96 ",
公寓,WVA01489,福志里,臺北市士林區幸福街5巷17號,"25.097083,121.528104",1,"33 ",
公寓,WVA01490,福志里,臺北市士林區幸福街5巷23號,"25.09718,121.528049",1,"142 ",
公寓,WVA01491,福志里,臺北市士林區幸福街5巷30號,"25.097138,121.528209",1,"84 ",
公寓,WVA02075,福志里,臺北市士林區雨農路19號,"25.09792,121.532138",1,"166 ",
公寓,WVA02084,福志里,臺北市士林區雨農路21巷1號,"25.098018,121.531901",1,"94 ",
公寓,WVA02085,福志里,臺北市士林區雨農路21巷11-1號,"25.097871,121.531636",2,"172 ",
公寓,WVA02088,福志里,臺北市士林區雨農路21巷21號,"25.097559,121.531281",1,"861 ",
公寓,WVA02089,福志里,臺北市士林區雨農路21巷15弄11號,"25.097525,121.531679",1,"65 ",
公寓,WVA02090,福志里,臺北市士林區雨農路21巷15弄7號,"25.097652,121.531614",1,"284 ",
公寓,WVA03011,福志里,臺北市士林區中山北路五段698巷12號,"25.097505,121.528025",1,"200 ",
公寓,WVA03107,福志里,臺北市士林區雨農路21巷17號,"25.097702,121.531358",1,"166 ",
大樓,WVA03158,福志里,臺北市士林區幸福街5巷32號,"25.097332,121.528293",1,"332 ",
公寓,WVA00501,福志里,臺北市士林區中山北路五段720巷12號,"25.098185,121.527677",1,"749 ",
公寓,WVA00502,福志里,臺北市士林區中山北路五段720巷19號,"25.098185,121.527677",1,"172 ",
公寓,WVA00503,福志里,臺北市士林區中山北路五段720巷28號,"25.098185,121.527677",1,"149 ",
公寓,WVA00504,福志里,臺北市士林區中山北路五段720巷3號,"25.098185,121.527677",1,"76 ",
公寓,WVA00783,福志里,臺北市士林區中正路104巷1弄11號,"25.09719,121.529369",1,"42 ",
公寓,WVA00784,福志里,臺北市士林區中正路104巷1弄4號,"25.096784,121.529535",2,"177 ",
公寓,WVA00785,福志里,臺北市士林區中正路104巷1弄6號,"25.097031,121.529638",1,"170 ",
公寓,WVA01472,福志里,臺北市士林區志成街30號,"25.097064,121.530197",1,"292 ",
公寓,WVA01475,福志里,臺北市士林區志成街22巷11號,"25.097038,121.530899",1,"285 ",
公寓,WVA01476,福志里,臺北市士林區志成街22巷5號,"25.096966,121.530568",1,"380 ",
公寓,WVA01477,福志里,臺北市士林區志成街22巷7號,"25.096989,121.53067",1,"373 ",
公寓,WVA01478,福志里,臺北市士林區志成街22巷1弄1號,"25.097104,121.530445",1,"86 ",
公寓,WVA01479,福志里,臺北市士林區志成街22巷1弄2號,"25.097169,121.53057",1,"409 ",
公寓,WVA01480,福志里,臺北市士林區志成街22巷15弄13號,"25.097411,121.530615",1,"265 ",
公寓,WVA02863,福志里,臺北市士林區中正路104巷1弄2號,"25.096838,121.529663",2,"152 ",
公寓,WVA02904,福志里,臺北市士林區志成街23巷2號,"25.096829,121.529875",1,"212 ",
大樓,WVA02912,福志里,臺北市士林區志成街28號,"25.096965,121.530181",2,"313 ",
公寓,WVA02924,福志里,臺北市士林區中正路104巷2弄6號,"25.096928,121.529285",1,"96 ",
大樓,WVA02945,福志里,臺北市士林區福志路80巷2號,"25.098967,121.529284",1,"3220 ",
公寓,WVA03055,福志里,臺北市士林區志成街29號,"25.097217,121.529939",2,"717 ",
公寓,WVA03128,福志里,臺北市士林區中山北路五段620號,"25.096577,121.52793",1,"421 ",
大樓,WVA03176,福志里,臺北市士林區中正路104巷1弄7號,"25.097062,121.529477",1,"292 ",
大樓,WVA03244,福志里,臺北市士林區福志路86號,"25.098859,121.529022",4,"2304 ",
大樓,WVA03258,福志里,臺北市士林區福志路112號,"25.09873,121.528056",1,"178 ",
大樓,WVA03301,福志里,臺北市士林區中山北路五段716號,"25.098033,121.52763",1,"1007 ",
公寓,WVA00482,福志里,臺北市士林區中山北路五段728號,"25.098618,121.52735",1,"460 ",
