編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,備註,placemark_address
1.0,中正里,彰化縣員林市中正里三民街18號,員林市公所,地下室,"1 ","27 ",JSA00002,,彰化縣員林市中正里三民街18號
2.0,中正里,彰化縣員林市中正里三民街2號,員林市立圖書館,地下室,"1 ","354 ",JSA00065,,彰化縣員林市中正里三民街2號
3.0,中正里,彰化縣員林市中正里三民街38號,金陽信富玉社區,地下室,"1 ","94 ",JSA00078,,彰化縣員林市中正里三民街38號
4.0,中正里,彰化縣員林市中正里育英路實中巷30號,民宅,地下室,"1 ","30 ",JSA00308,,彰化縣員林市中正里育英路實中巷30號
5.0,中正里,彰化縣員林市中正里三民街39之3號,雪兒服飾,地下室,"1 ","125 ",JSA00342,,彰化縣員林市中正里三民街39之3號
6.0,中正里,彰化縣員林市中正里育英路63號,民宅,地下室,"1 ","30 ",JSA00638,,彰化縣員林市中正里育英路63號
7.0,中正里,彰化縣員林市中正里育英路63之1號,民宅,地下室,"1 ","30 ",JSA00639,,彰化縣員林市中正里育英路63之1號
8.0,中正里,彰化縣員林市中正里育英路63之2號,誠鴻補習班,地下室,"1 ","30 ",JSA00640,,彰化縣員林市中正里育英路63之2號
9.0,中正里,彰化縣員林市中正里育英路63之5號,民宅,地下室,"1 ","104 ",JSA00641,,彰化縣員林市中正里育英路63之5號
10.0,中正里,彰化縣員林市中正里三民街38之1號,博愛大樓,地下室,"1 ","482 ",JSA00947,,彰化縣員林市中正里三民街38之1號
11.0,中正里,彰化縣員林市中正里育英路38號,雙林寺,地下室,"1 ","28 ",JSA00972,,彰化縣員林市中正里育英路38號
12.0,中正里,彰化縣員林市中正里三民東街49號,晴采眼鏡,地下室,"1 ","24 ",JSA01034,,彰化縣員林市中正里三民東街49號
13.0,中正里,彰化縣員林市中正里三民東街63號,酒樂市場,地下室,"1 ","146 ",JSA01063,,彰化縣員林市中正里三民東街63號
14.0,中正里,彰化縣員林市中正里三民東街70號,民宅,地下室,"1 ","61 ",JSA01151,,彰化縣員林市中正里三民東街70號
15.0,中正里,彰化縣員林市中正里中正路418號,Ann’S女鞋,地下室,"1 ","121 ",JSA01318,,彰化縣員林市中正里中正路418號
16.0,中正里,彰化縣員林市中正里中正路416號,愛幸福結婚百貨,地下室,"1 ","84 ",JSA01319,,彰化縣員林市中正里中正路416號
17.0,中正里,彰化縣員林市中正里中正路462號,員林市農會,地下室,"1 ","652 ",JSA01334,,彰化縣員林市中正里中正路462號
18.0,中正里,彰化縣員林市中正里中正路500號,黃金帝國,地下室,"1 ","1,721 ",JSA01480,,彰化縣員林市中正里中正路500號
19.0,中正里,彰化縣員林市中正里博愛路113號,吉緣蔬食,地下室,"1 ","132 ",JSA01547,,彰化縣員林市中正里博愛路113號
20.0,中正里,彰化縣員林市中正里三民街8巷12號,員林市立圖書館(二館),地下室,"1 ","286 ",JSA01550,,彰化縣員林市中正里三民街8巷12號
