"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
鴻運寶座第一期大樓,QPA00185,光華里,屏東縣潮州鎮光華里21鄰福星路331號,"22.545063516149387, 120.54446102111838",1.0,2600.0,潮州分局,
盧山大飯店,QQA00003,光華里,屏東縣潮州鎮光華里07鄰南京路161-1號,"22.545599209566685, 120.5418225803042",1.0,250.0,潮州分局,
潮州高中/教科文大樓,QQA00004,光華里,屏東縣潮州鎮光華里04鄰中山路11號,"22.549388167668887, 120.54509707383265",1.0,848.0,潮州分局,共有5處、總計可容納人數1943人
潮州高中/淑德樓,QQA00005,光華里,屏東縣潮州鎮光華里04鄰中山路11號,"22.549491501640794, 120.54574457163395",1.0,81.0,潮州分局,共有5處、總計可容納人數1943人
潮州高中/圖書館,QQA00006,光華里,屏東縣潮州鎮光華里04鄰中山路11號,"22.549540957041025, 120.545293841557",1.0,167.0,潮州分局,共有5處、總計可容納人數1943人
潮州高中/家政大樓,QQA00007,光華里,屏東縣潮州鎮光華里04鄰中山路11號,"22.549483693756876, 120.54468779412977",1.0,210.0,潮州分局,共有5處、總計可容納人數1943人
潮州高中/教學大樓,QQA00191,光華里,屏東縣潮州鎮光華里04鄰中山路11號,"22.549257264931413, 120.54507034758629",1.0,637.0,潮州分局,共有5處、總計可容納人數1943人
潮州警察分局,QQA00011,光華里,屏東縣潮州鎮光華里04鄰中山路12號,"22.550111306377545, 120.54527493763321",1.0,304.0,潮州分局,
—,QQA00008,光華里,屏東縣潮州鎮光華里01鄰中山路35號,"22.54960080451906, 120.54293865669365",1.0,23.0,潮州分局,
—,QQA00013,光華里,屏東縣潮州鎮光華里01鄰中山路62號,"22.549759101411627, 120.541999414696",1.0,17.0,潮州分局,
—,QQA00012,光華里,屏東縣潮州鎮光華里02鄰育英路27號,"22.548758341616214, 120.54208570836504",1.0,44.0,潮州分局,
光華國小/東棟,QPA00067,光華里,屏東縣潮州鎮光華里01鄰南進路2號,"22.54760349067605, 120.54306536766816",1.0,90.0,潮州分局,共有4處、總計可容納人數1451人
光華國小/西棟,QPA00058,光華里,屏東縣潮州鎮光華里01鄰南進路2號,"22.547547991856735, 120.54311136414813",1.0,315.0,潮州分局,共有4處、總計可容納人數1451人
光華國小/南棟,QPA00033,光華里,屏東縣潮州鎮光華里05鄰南進路2號,"22.54768845178829, 120.5431017197249",1.0,370.0,潮州分局,共有4處、總計可容納人數1451人
光華國小/北棟,QPA00022,光華里,屏東縣潮州鎮光華里05鄰南進路2號,"22.547606231357907, 120.54319445456353",1.0,676.0,潮州分局,共有4處、總計可容納人數1451人
—,QPA00001,光華里,屏東縣潮州鎮光華里04鄰南進路2巷18號,"22.549242724144392, 120.54313591021865",1.0,66.0,潮州分局,
基督長老教會/潮州教會,QPA00006,光華里,屏東縣潮州鎮光華里32鄰永安路32號,"22.54840341091655, 120.54739815078449",1.0,45.0,潮州分局,
鴻運寶座第二期大樓,QQA00001,光華里,屏東縣潮州鎮光華里22鄰福康街29號,"22.544501776510156, 120.54516763749749",1.0,1060.0,潮州分局,
帝國雙星大樓,QQA00002,光華里,屏東縣潮州鎮光華里25鄰華安街4號,"22.54482504755426, 120.5462234957131",1.0,250.0,潮州分局,
南區稽徵所/潮州分局,QPA00196,光華里,屏東縣潮州鎮光華里28鄰永康街66號,"22.54616048570374, 120.54472455687755",1.0,529.0,潮州分局,
屏東財稅局/潮州分處,QQA00010,光華里,屏東縣潮州鎮光華里35鄰三華巷16號,"22.5509446331525, 120.54543517567878",1.0,173.0,潮州分局,
金山旅社,QQA00034,潮州里,屏東縣潮州鎮潮州里02鄰建基路93號,"22.550342263099658, 120.54188473655036",1.0,10.0,潮州分局,
—,QPA00073,潮州里,屏東縣潮州鎮潮州里07鄰建基路138號,"22.550873171631384, 120.54115436703073",1.0,35.0,潮州分局,
公路局第三工程處,QPA00028,潮州里,屏東縣潮州鎮潮州里13鄰延平路22號,"22.552149442793244, 120.54042464539829",1.0,207.0,潮州分局,
—,QQA00035,潮州里,屏東縣潮州鎮潮州里01鄰南進路43號,"22.54995180935006, 120.54261140958135",1.0,30.0,潮州分局,
—,QQA00028,潮州里,屏東縣潮州鎮潮州里01鄰南進路45號,"22.550044995900745, 120.54254984249356",1.0,16.0,潮州分局,
—,QQA00033,潮州里,屏東縣潮州鎮潮州里01鄰南進路49號,"22.55010419166815, 120.54266884090103",1.0,16.0,潮州分局,
—,QPA00001,潮州里,屏東縣潮州鎮潮州里01鄰南進路51號,"22.55014066876119, 120.54263285134478",1.0,22.0,潮州分局,
—,QPA00074,潮州里,屏東縣潮州鎮潮州里10鄰長興路60號,"22.551545822522304, 120.54066124190642",1.0,112.0,潮州分局,
岦昌企業公司,QQA00014,三星里,屏東縣潮州鎮三星里07鄰潮州路1148號,"22.55518474301606, 120.55754894314093",1.0,726.0,潮州分局,
北極泠凍有限公司,QPA00106,三星里,屏東縣潮州鎮三星里07鄰潮州路1152號,"22.55761339753792, 120.55642917039881",1.0,401.0,潮州分局,
佳益泠涷有限公司,QQA00024,三星里,屏東縣潮州鎮三星里07鄰潮州路1153號,"22.55754051458337, 120.55606878200547",1.0,107.0,潮州分局,
潮州安泰醫院,QPA00075,三星里,屏東縣潮州鎮三星里16鄰四維路162號,"22.553979246967952, 120.54706567293714",1.0,217.0,潮州分局,
—,QPA00072,三星里,屏東縣潮州鎮三星里07鄰四維路354號,"22.556806588437677, 120.54952137735364",1.0,66.0,潮州分局,
—,QQA00015,三星里,屏東縣潮州鎮三星里16鄰四維路356號,"22.556828452386892, 120.54954567931829",1.0,66.0,潮州分局,
—,QQA00105,三星里,屏東縣潮州鎮三星里16鄰四維路358號,"22.556870430128416, 120.5495733175878",1.0,66.0,潮州分局,
—,QPA00059,三星里,屏東縣潮州鎮三星里16鄰四維路360號,"22.55689175310959, 120.54960716419826",1.0,66.0,潮州分局,
國際鄉園大樓,QPA00071,三星里,屏東縣潮州鎮三星里07鄰三德路25號,"22.555363031237444, 120.55113311105274",1.0,2383.0,潮州分局,
歐洲宮廷大樓,QPA00184,三星里,屏東縣潮州鎮三星里06鄰壽星路8號,"22.55350709778914, 120.55181913396683",1.0,1280.0,潮州分局,
潮州鎮公所市場,QQA00029,三星里,屏東縣潮州鎮三星里11鄰朝昇東路93號,"22.551546646491737, 120.54892186748089",1.0,168.0,潮州分局,
瑞堂名園大廈,QPA00199,三星里,屏東縣潮州鎮三星里11鄰朝昇東路131號,"22.55056127442872, 120.54896280587653",1.0,722.0,潮州分局,
王福記公司,QPA00007,三星里,屏東縣潮州鎮三星里01鄰三星路2之14號,"22.54371755164254, 120.55684174801517",1.0,156.0,潮州分局,
