類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
隆昌大樓,仁德里,基隆市仁愛區愛一路35號,"25.1294229,121.7415914",B01,368,第一分局,
公寓,仁德里,基隆市仁愛區仁三路86號,"25.1291784,121.7419325",B01,107,第一分局,
吉祥企業大樓,仁德里,基隆市仁愛區愛三路87號,"25.1295514,121.743146",B01,919,第一分局,
公寓,仁德里,基隆市仁愛區愛二路55號,"25.1295479,121.7421767",B01,24,第一分局,
公寓,仁德里,基隆市仁愛區愛三路116號,"25.1294353,121.7434539",B01,237,第一分局,
公寓,仁德里,基隆市仁愛區仁二路255號,"25.1298775,121.7425815",B01,275,第一分局,
公寓,仁德里,基隆市仁愛區愛三路69號,"25.1289624,121.7428262",B01,156,第一分局,
公寓,仁德里,基隆市仁愛區愛三路65號,"25.1288994,121.7427908",B01,125,第一分局,
公寓,仁德里,基隆市仁愛區愛一路33號,"25.1293903,121.7415704",B01,175,第一分局,
公寓,仁德里,基隆市仁愛區愛二路54巷8號,"25.128913,121.742705",B01,247,第一分局,
公寓,仁德里,基隆市仁愛區愛三路118號,"25.1296394,121.7436713",B02,194,第一分局,
公寓,仁德里,基隆市仁愛區愛三路120號,"25.129765,121.7436646",B01,163,第一分局,
公寓,仁德里,基隆市仁愛區愛三路128號,"25.1298846,121.7437974",B01,148,第一分局,
珍寶大樓,仁德里,基隆市仁愛區愛一路43號,"25.1299908,121.7420204",B01,408,第一分局,
公寓,仁德里,基隆市仁愛區愛一路23號,"25.1289339,121.7412699",B01,260,第一分局,
東岸商場,仁德里,基隆市仁愛區仁二路236號,"25.1299806,121.7432207",B01B02B03B04,4617,第一分局,
公寓,文安里,基隆市仁愛區成功一路14巷20弄7號,"25.1270094,121.7394254",B01,20,第一分局,
公寓,文安里,基隆市仁愛區精一路22號,"25.1264349,121.7412902",B01,48,第一分局,
公寓,文安里,基隆市仁愛區精一路26之4號,"25.1264349,121.7412902",B01,62,第一分局,
公寓,文安里,基隆市仁愛區精一路40之4號,"25.1261057,121.7410468",B01,76,第一分局,
公寓,文安里,基隆市仁愛區成功一路14巷6號,"25.1272994,121.7398354",B01,101,第一分局,
金華大飯店,文安里,基隆市仁愛區成功一路9號,"25.1271146,121.7402056",B01,189,第一分局,
金金商務旅館,文昌里,基隆市仁愛區忠二路58號,"25.1307737,121.7390754",B01,789,第一分局,
蓮園餐廳,文昌里,基隆市仁愛區忠三路70號,"25.1298621,121.7383742",B01,246,第一分局,
公寓,文昌里,基隆市仁愛區忠三路68號,"25.1298621,121.7384229",B01,77,第一分局,
公寓,文昌里,基隆市仁愛區忠二路57號,"25.1306897,121.7388605",B01,295,第一分局,
公寓,文昌里,基隆市仁愛區孝三路30巷31號,"25.1300567,121.7395754",B01,26,第一分局,
仁祥診所,文昌里,基隆市仁愛區忠一路20號,"25.1313874,121.7396749",B01,353,第一分局,
公寓,文昌里,基隆市仁愛區孝四路31之4號,"25.1314628,121.7396294",B01,38,第一分局,
銘傳國中-科學樓,水錦里,基隆市仁愛區劉銘傳路132號,"25.1231592,121.7501088",B01,50,第一分局,
銘傳國中-體育館,水錦里,基隆市仁愛區劉銘傳路132號,"25.1231385,121.7505621",B01,164,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路106號,"25.1249657,121.7505207",B01,258,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路104巷2號,"25.1250681,121.7504917",B01,158,第一分局,
公寓,水錦里,基隆市仁愛區仁二路5號,"25.1275855,121.7506674",B01,29,第一分局,
公寓,水錦里,基隆市仁愛區仁一路181號,"25.1280452,121.7511203",B01,249,第一分局,
銘傳商業大樓,水錦里,基隆市仁愛區劉銘傳路1號,"25.1279766,121.7510006",B01,647,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路62之6號,"25.1260516,121.7505624",B01,52,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路48巷3號,"25.1265272,121.7507345",B01,35,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路52巷6號,"25.1264447,121.7504833",B01,62,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路100號,"25.1252143,121.7505531",B01,26,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路104巷32號,"25.1249047,121.7494215",B01,83,第一分局,
公寓,水錦里,基隆市仁愛區劉銘傳路52號,"25.1265561,121.7507401",B01B02,279,第一分局,
公寓,玉田里,基隆市仁愛區愛四路5號,"25.1282927,121.7435092",B01,309,第一分局,
公寓,玉田里,基隆市仁愛區仁二路212巷20號,"25.1292204,121.7449473",B01,36,第一分局,
公寓,玉田里,基隆市仁愛區愛四路28巷9號,"25.1292088,121.7449788",B01,80,第一分局,
公寓,玉田里,基隆市仁愛區愛三路98巷2弄6號,"25.1287573,121.7433024",B01,41,第一分局,
公寓,玉田里,基隆市仁愛區仁三路30號,"25.1282146,121.744074",B01,23,第一分局,
公寓,玉田里,基隆市仁愛區仁二路212巷18號,"25.1292088,121.7449788",B01,14,第一分局,
公寓,玉田里,基隆市仁愛區仁三路38號,"25.1282009,121.7437668",B01,38,第一分局,
公寓,玉田里,基隆市仁愛區仁二路208號,"25.129014,121.7445668",B01,120,第一分局,
公寓,玉田里,基隆市仁愛區愛四路10巷12號,"25.1277894,121.7435354",B01,28,第一分局,
公寓,玉田里,基隆市仁愛區仁三路40號,"25.128226,121.7437032",B01,77,第一分局,
公寓,玉田里,基隆市仁愛區愛四路34號,"25.1285796,121.7437937",B01,21,第一分局,
長老教會,玉田里,基隆市仁愛區仁三路32號,"25.1281494,121.744078",B01,112,第一分局,
公寓,玉田里,基隆市仁愛區仁一路303巷13號,"25.1293724,121.7451353",B01,19,第一分局,
公寓,玉田里,基隆市仁愛區愛四路48號,"25.1288122,121.7440107",B01,251,第一分局,
恆昌商旅,玉田里,基隆市仁愛區仁三路24號4樓之1,"25.128163,121.7441954",B01,511,第一分局,
公寓,玉田里,基隆市仁愛區愛四路52號,"25.1289756,121.7441057",B01,331,第一分局,
華都飯店,玉田里,基隆市仁愛區仁一路307號,"25.1297571,121.7451356",B01,229,第一分局,
公寓,兆連里,基隆市仁愛區獅球路37巷15號,"25.1252773,121.7395859",B01,28,第一分局,
