類別,建築物名稱,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,備註,placemark_address
大樓,員林市公所,JSA00002,中正里,彰化縣員林市中正里三民街18號,"23.959051 ","120.574273 ","1 ","27 ",,彰化縣員林市中正里三民街18號
大樓,員林市立圖書館,JSA00065,中正里,彰化縣員林市中正里三民街2號,"23.959031 ","120.574971 ","1 ","354 ",,彰化縣員林市中正里三民街2號
大樓,金陽信富玉社區,JSA00078,中正里,彰化縣員林市中正里三民街38號,"23.958663 ","120.572998 ","1 ","94 ",,彰化縣員林市中正里三民街38號
大樓,民宅,JSA00308,中正里,彰化縣員林市中正里育英路實中巷30號,"23.960420 ","120.575630 ","1 ","30 ",,彰化縣員林市中正里育英路實中巷30號
大樓,雪兒服飾,JSA00342,中正里,彰化縣員林市中正里三民街39之3號,"23.958480 ","120.572720 ","1 ","125 ",,彰化縣員林市中正里三民街39之3號
大樓,民宅,JSA00638,中正里,彰化縣員林市中正里育英路63號,"23.960270 ","120.574720 ","1 ","30 ",,彰化縣員林市中正里育英路63號
大樓,民宅,JSA00639,中正里,彰化縣員林市中正里育英路63之1號,"23.960280 ","120.574820 ","1 ","30 ",,彰化縣員林市中正里育英路63之1號
大樓,誠鴻補習班,JSA00640,中正里,彰化縣員林市中正里育英路63之2號,"23.960280 ","120.574820 ","1 ","30 ",,彰化縣員林市中正里育英路63之2號
大樓,民宅,JSA00641,中正里,彰化縣員林市中正里育英路63之5號,"23.960280 ","120.574820 ","1 ","104 ",,彰化縣員林市中正里育英路63之5號
大樓,博愛大樓,JSA00947,中正里,彰化縣員林市中正里三民街38之1號,"23.958678 ","120.573056 ","1 ","482 ",,彰化縣員林市中正里三民街38之1號
大樓,雙林寺,JSA00972,中正里,彰化縣員林市中正里育英路38號,"23.959610 ","120.574830 ","1 ","28 ",,彰化縣員林市中正里育英路38號
大樓,晴采眼鏡,JSA01034,中正里,彰化縣員林市中正里三民東街49號,"23.959350 ","120.576370 ","1 ","24 ",,彰化縣員林市中正里三民東街49號
大樓,酒樂市場,JSA01063,中正里,彰化縣員林市中正里三民東街63號,"23.959360 ","120.576730 ","1 ","146 ",,彰化縣員林市中正里三民東街63號
大樓,橫綱刺青,JSA01064,中正里,彰化縣員林市中正里三民東街61號,"23.959440 ","120.576650 ","1 ","64 ",,彰化縣員林市中正里三民東街61號
大樓,民宅,JSA01151,中正里,彰化縣員林市中正里三民東街70號,"23.959140 ","120.576850 ","1 ","61 ",,彰化縣員林市中正里三民東街70號
