電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SQA00001,客家文物館,鳳禮里,花蓮縣鳳林鎮中華路164號,1.0,189人,,花蓮縣鳳林鎮中華路164號
SQA00002,鳳林火車站,鳳智里,花蓮縣鳳林鎮中山路43號,1.0,100人,,花蓮縣鳳林鎮中山路43號
SQA00003,鳳林電信機房,鳳智里,花蓮縣鳳林鎮中華路42號,1.0,50人,,花蓮縣鳳林鎮中華路42號
SQA00004,鳳林警察分局,鳳智里,花蓮縣鳳林鎮信義路37號,1.0,266人,,花蓮縣鳳林鎮信義路37號
SQA00005,鳳林鎮代表會,鳳智里,花蓮縣鳳林鎮大同街19號,1.0,100人,,花蓮縣鳳林鎮大同街19號
SQA00006,鳳梧旅社,鳳智里,975花蓮縣鳳林鎮中美路58號,1.0,120人,,975花蓮縣鳳林鎮中美路58號
SQA00007,鳳林榮民醫院,鳳信里,花蓮縣鳳林鎮中正路一段2號,1.0,266人,,花蓮縣鳳林鎮中正路一段2號
SQA00009,國泰大樓,鳳智里,花蓮縣鳳林鎮信義路117號,1.0,200人,,花蓮縣鳳林鎮信義路117號
SQA00048,鳳林鎮公所（中正商場）,鳳禮里,鳳林鎮中正市場(花蓮縣鳳林鎮中正路2段146號),1.0,289人,,鳳林鎮中正市場(花蓮縣鳳林鎮中正路2段146號)
SQA00047,鳳林鎮公所（中華市場）,鳳禮里,花蓮縣鳳林鎮中華路140號,1.0,133人,,花蓮縣鳳林鎮中華路140號
SQA00049,鳳興旅社,鳳禮里,花蓮縣鳳林鎮成功街165號,1.0,13人,,花蓮縣鳳林鎮成功街165號
SQA00050,鳳榮地區農會,鳳禮里,花蓮縣鳳林鎮中正路二段172號,1.0,80人,,花蓮縣鳳林鎮中正路二段172號
SQA00051,鳳林地政事務所,鳳禮里,花蓮縣鳳林鎮信義路200號,1.0,80人,,花蓮縣鳳林鎮信義路200號
SQA00010,花蓮肉品市場,林榮里,花蓮縣鳳林鎮林榮路338號,1.0,200人,,花蓮縣鳳林鎮林榮路338號
SQA00045,萬榮鄉圖書館,萬榮村,花蓮縣萬榮鄉萬榮23號,1.0,50人,,花蓮縣萬榮鄉萬榮23號
SQA00016,光復電信局,大安村,花蓮縣光復鄉中正路一段132號,1.0,13人,,花蓮縣光復鄉中正路一段132號
