電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道
A021,烏林里,桃園市龍潭區烏林里中豐路533巷51弄5號,"24.884208649586288, 121.21086731234774",1,1597,龍潭分局,,O
A022,烏林里,桃園市龍潭區烏林里工五路57號,"24.88835178671076, 121.21065796262432",1,1498,龍潭分局,,O
A023,烏林里,桃園市龍潭區烏林里中豐路642巷51弄1號,"24.88766239772996, 121.21397785754033",1,582,龍潭分局,,O
A024,烏林里,桃園市龍潭區烏林里中豐路594巷62弄66號,"24.885409781598025, 121.21318832728456",2,413,龍潭分局,,O
A025,凌雲里,桃園市龍潭區凌雲里聖亭路272號,"24.870939550233217, 121.20416292584085",2,3384,龍潭分局,,O
A026,凌雲里,桃園市龍潭區龍祥里中豐路259號,"24.8769202840851, 121.21222978351203",2,1023,龍潭分局,,O
A027,凌雲里,桃園市龍潭區凌雲里聖亭路130號,"24.86775844998416, 121.20703208351182",1,1092,龍潭分局,,O
A028,烏林里,桃園市龍潭區烏林里中豐路461巷106弄37-3號,"24.883181085490854, 121.20970068166358",1,5164,龍潭分局,,O
A029,烏林里,桃園市龍潭區烏林里中豐路461巷106弄50-6號,"24.883327078183534, 121.20960412214392",2,1099,龍潭分局,,O
A030,烏林里,桃園市龍潭區烏林里中豐路461巷169號,"24.882556273892277, 121.20908984764527",1,1037,龍潭分局,,O
A031,烏樹林里,桃園市龍潭區烏樹林里中豐路342-10號,"24.879153150385164, 121.21187791419626",1,2207,龍潭分局,,O
A032,烏樹林里,桃園市龍潭區烏樹林里中豐路268巷67號,"24.877704250762676, 121.21277870865023",1,1016,龍潭分局,,O
A033,烏林里,桃園市龍潭區烏林里工七路8號,"24.88981088404005, 121.20432251234786",1,377,龍潭分局,,O
A034,烏林里,桃園市龍潭區烏林里中豐路461巷131號,"24.882322684043626, 121.20889672860592",2,820,龍潭分局,,O
A035,烏林里,桃園市龍潭區烏林里工一路150巷8號,"24.880012784743553, 121.20822908166348",1,500,龍潭分局,,O
A036,聖德里,桃園市龍潭區聖德里聖亭路八德段236號,"24.878555584761127, 121.19982438536074",1,341,龍潭分局,,
A037,聖德里,桃園市龍潭區烏林里16鄰中豐路461巷176號,"24.882962115985425, 121.20870726992207",2,2602,龍潭分局,,O
A038,烏林里,桃園市龍潭區烏林里7鄰工五路90巷56號,"24.89027931633279, 121.20971136817028",2,1824,龍潭分局,,O
A039,烏林里,桃園市龍潭區烏林里039鄰工五路189號,"24.888695886791986, 121.2071871816636",1,849,龍潭分局,,O
A040,八德里,桃園市龍潭區八德里24鄰梅龍路200號,"24.87346758319989, 121.19708963933437",2,798,龍潭分局,,O
B001,龍潭里,桃園市龍潭區龍潭里中正路200號,"24.86483474975532, 121.21686026816977","1 ",25,龍潭分局,,
B002,龍潭里,桃園市龍潭區龍潭里中正路194巷19號,"24.86489773546175, 121.21644821719705","1 ",27,龍潭分局,,
B003,龍潭里,桃園市龍潭區龍潭里龍興路66號,"24.865781196447838, 121.21574276894734",1,29,龍潭分局,,
B006,龍潭里,桃園市龍潭區龍潭里南龍路42號,"24.864198437605257, 121.21290755652494",2,1911,龍潭分局,,
B007,龍潭里,(機敏單位)桃園市龍潭區龍潭里南龍路70號 ,,1,178,龍潭分局,,O
B008,中正里,桃園市龍潭區中正里中正路上華段90巷10弄1號,"24.85305571361047, 121.22296692584051",1,475,龍潭分局,,O
B009,中正里,桃園市龍潭區中正里中正路108號,"24.867429984050606, 121.21578621049868",1,25,龍潭分局,,
B011,中正里,桃園市龍潭區中正里中正路210號,"24.86387117219744, 121.2164907920658",2,513,龍潭分局,,O
B012,中正里,桃園市龍潭區中正里中正路210號,"24.86387117219744, 121.2164907920658",2,315,龍潭分局,,
B013,中正里,桃園市龍潭區中正里中正路227號,"24.864020518413618, 121.21718246816964",3,37,龍潭分局,,
B015,中正里,桃園市龍潭區中正里龍華路403號,"24.8576540794719, 121.21758861234714","2 ",79,龍潭分局,,
B016,中正里,桃園市龍潭區中正里神龍路155號,"24.861501880378846, 121.21314502584062",2,247,龍潭分局,,
B017,中正里,桃園市龍潭區中正里神龍路155號,"24.861501880378846, 121.21314502584062",1,55,龍潭分局,,
B018,中正里,桃園市龍潭區中正里神龍路155號,"24.861501880378846, 121.21314502584062",1,103,龍潭分局,,
B019,中正里,(機敏單位)桃園市龍潭區中正里中正路471號 ,,1,746,龍潭分局,,
B020,中正里,桃園市龍潭區中正里富華街315巷6號之1,"24.84896922055679, 121.22370434629877",1,1190,龍潭分局,,O
B022,中正里,(機敏單位)桃園市龍潭區中正里東龍路112號,,1,568,龍潭分局,,
B024,中山里,桃園市龍潭區中山里中豐路中山段9號,"24.868947280224976, 121.21342897001843",2,25,龍潭分局,,
B025,中山里,桃園市龍潭區中山里中豐路中山段209號,"24.865911249839588, 121.21030586816966",3,414,龍潭分局,,
B026,中山里,桃園市龍潭區中山里東龍路350號,"24.867629752205758, 121.21381568351184",2,32,龍潭分局,,
B027,中山里,桃園市龍潭區中山里東龍路356號,"24.867749215917083, 121.21385672584074",3,40,龍潭分局,,
B028,中山里,桃園市龍潭區中山里北龍路15巷26號,"24.865552857824756, 121.2107066304359",1,186,龍潭分局,,
B029,中山里,桃園市龍潭區中山里北龍路15巷36號,"24.86578729737704, 121.21071900090693",2,158,龍潭分局,,
B030,中山里,桃園市龍潭區中山里北龍路39號,"24.86568156043964, 121.21192480593838",1,35,龍潭分局,,
B031,中山里,桃園市龍潭區中山里北龍路59巷13弄8號,"24.86655582769144, 121.21241377710285",2,35,龍潭分局,,
B032,中山里,桃園市龍潭區中山里北龍路283號,"24.868166252121025, 121.2176144258408",2,19,龍潭分局,,
B033,中山里,桃園市龍潭區中山里北龍路299號,"24.868435286093998, 121.21807178351186",2,19,龍潭分局,,
B034,中山里,桃園市龍潭區中山里中正路83號,"24.868327481987876, 121.21541426570616",3,27,龍潭分局,,
B035,中山里,桃園市龍潭區中山里中正路85號,"24.86825704303846, 121.2154072077277",1,56,龍潭分局,,
B036,中山里,桃園市龍潭區中山里中正路87號,"24.868144443028008, 121.21553790261684",1,32,龍潭分局,,
B037,中山里,(機敏單位)桃園市龍潭區中山里中正路151號,,1,756,龍潭分局,,
B038,中山里,桃園市龍潭區中山里中正路169號,"24.86612901824663, 121.2170370258408",1,36,龍潭分局,,
B039,中山里,桃園市龍潭區中山里中正路215號,"24.864413727391433, 121.21727274303124",1,27,龍潭分局,,
B040,中山里,桃園市龍潭區中山里中正路221號,"24.864121174904927, 121.21718805467623",1,64,龍潭分局,,
B041,中山里,桃園市龍潭區中山里中正路269號,"24.86268408405278, 121.21765969885382",1,997,龍潭分局,,O
B042,中山里,桃園市龍潭區中山里華南路一段43號,"24.869373714361533, 121.21624912584079",1,76,龍潭分局,,
B043,中山里,桃園市龍潭區中山里神龍路403巷2弄1號,"24.857258774708978, 121.2166439546761",1,1412,龍潭分局,,O
B044,上林里,桃園市龍潭區上林里中豐路上林段418號,"24.858689753617842, 121.20207808166298",1,509,龍潭分局,,
B045,中正里,桃園市龍潭區中正里龍華路111號,"24.864091284052208, 121.21586888166313",1,45,龍潭分局,,
B046,中山里,桃園市龍潭區中山里中正路106號,"24.867444481779685, 121.2157725258408",1,200,龍潭分局,,
B047,中山里,桃園市龍潭區中山里五福街68號,"24.865131903843096, 121.21900162109088",1,3029,龍潭分局,,O
B048,中山里,桃園市龍潭區中山里華南路一段63巷12弄1號,"24.869930017945613, 121.21676798166327",1,887,龍潭分局,,O
B049,中正里,(機敏單位)桃園市龍潭區中正里東龍路100號,,1,535,龍潭分局,,
B050,龍潭里,桃園市龍潭區龍潭里龍華路64號,"24.865026521185314, 121.21511924303147",1,289,龍潭分局,,O
B051,龍星里,桃園市龍潭區龍星里大同路213巷15號,"24.86240746108227, 121.21928881234992",3,1800,龍潭分局,,O
B052,上林里,桃園市龍潭區上林里金龍路476巷66號,"24.847915477177278, 121.2154042833541",1,282,龍潭分局,,O
B053,中正里,桃園市龍潭區中正里中正路398號,"24.859389784054446, 121.2183586835116",1,549,龍潭分局,,
B054,中山里,桃園市龍潭區中山里大昌路一段78號,"24.870608782525782, 121.21599521234747",1,2481,龍潭分局,,O
B055,龍星里,桃園市龍潭區龍星里中正路261巷85弄16號,"24.863668702557383, 121.21862112653874",2,1211,龍潭分局,,O
B056,中正里,桃園市龍潭區中正里神龍路379號,"24.8572389491609, 121.21590841049849",1,623,龍潭分局,,O
B057,中正里,桃園市龍潭區中正里神龍路415號,"24.85732408405543, 121.21682371049845",1,1450,龍潭分局,,O
B058,中山里,桃園市龍潭區中山里中正路6號,"24.86926255010186, 121.21395916816978",1,292,龍潭分局,,
B059,中正里,桃園市龍潭區中正里龍華路347巷38號,"24.85806041439594, 121.21852208351153",1,2736,龍潭分局,,O
B060,中山里,桃園市龍潭區中山里公園路58巷30號,"24.867001284050737, 121.21827601234733",1,313,龍潭分局,,O
B061,龍潭里,桃園市龍潭區龍潭里南龍路13號,"24.864150501556633, 121.21358194371982",1,1786,龍潭分局,,
B062,龍星里,桃園市龍潭區龍星里中正路242-1號,"24.86304745292958, 121.21708318351166",1,483,龍潭分局,,O
B063,中山里,桃園市龍潭區中山里東龍路390號,"24.868655720040614, 121.21406340865013",1,302,龍潭分局,,O
B064,龍星里,桃園市龍潭區龍星里光明路43號,"24.861456249490864, 121.21940945467624",2,1038,龍潭分局,,O
B065,中山里,桃園市龍潭區中山里公園路68號,"24.86679211576689, 121.21870585467627",1,696,龍潭分局,,O
B066,中正里,桃園市龍潭區中正里東龍路47號,"24.85933481041436, 121.21626622399198",1,2095,龍潭分局,,O
B067,中正里,桃園市龍潭區中正里新龍路219巷10號,"24.857813514357332, 121.21304546632095",1,2081,龍潭分局,,O
B068,上華里,桃園市龍潭區上華里中正路上華段112巷36弄22號,"24.85166995472612, 121.22228218351144",2,610,龍潭分局,,O
B069,龍星里,桃園市龍潭區大同路191巷12號,"24.861772280442473, 121.21919804118264",2,619,龍潭分局,,O
B070,中正里,桃園市龍潭區中正里新龍路207號,"24.858429392876012, 121.21341524118269",1,619,龍潭分局,,O
B071,中山里,桃園市龍潭區中山里華南路1段80號,"24.869737082320167, 121.21684972584086",1,531,龍潭分局,,O
B072,中山里,桃園市龍潭區中山里大昌路一段75巷133弄29號,"24.873273482267273, 121.21701455837369",1,1122,龍潭分局,,O
B073,中山里,桃園市龍潭區中山里中興路690號,"24.87051468560164, 121.22240428166324",1,2969,龍潭分局,,O
B074,龍星里,桃園市龍潭區龍星里新龍路28號,"24.860690280187516, 121.21722369700508",1,118,龍潭分局,,
B075,龍星里,桃園市龍潭區龍星里大同路193號5樓,"24.862025822131756, 121.2196449681696",1,111,龍潭分局,,
B076,中山里,桃園市龍潭區中山里中豐路中山段97-1號,"24.867942086210753, 121.2120189681697",1,905,龍潭分局,,O
B077,中山里,桃園市龍潭區中山里東龍路341巷21號2樓,"24.86828005837893, 121.21355952214341",1,676,龍潭分局,,O
B078,中山里,桃園市龍潭區中山里百福街108號,"24.86941048824256, 121.21536926544023",1,1473,龍潭分局,,O
B079,中正里,桃園市龍潭區中正里龍華路479巷37號,"24.85610582399864, 121.21815526816948",1,623,龍潭分局,,O
B080,中山里,桃園市龍潭區中山里福龍路3段216號,"24.87512085102236, 121.21806729515683",2,1042,龍潭分局,,O
B081,中山里,桃園市龍潭區中山里中正路261巷83號2樓,"24.86336899054044, 121.2180449988538",3,2901,龍潭分局,,O
B082,上林里,桃園市龍潭區上林里神龍路130巷31號,"24.861733479435983, 121.2124342562336",2,302,龍潭分局,,O
B083,中正里,桃園市龍潭區中正里30鄰大同路168號,"24.86140308407102, 121.21989734694681",1,103,龍潭分局,,O
B084,中山里,桃園市龍潭區中山里41鄰中豐路中山段195號,"24.866175455017782, 121.21044925467626",2,126,龍潭分局,,O
B085,中正里,桃園市龍潭區神龍路346號,"24.857232774696666, 121.21514681049842",1,1233,龍潭分局,,O
B086,中山里,桃園市龍潭區中山里東龍路353號,"24.868679517166306, 121.21361304799906",2,1140,龍潭分局,,O
C001,中山里,桃園市龍潭區武漢路100號,"24.871208484048793, 121.23439464303151",1,392,龍潭分局,,O
C002,武漢里,桃園市龍潭區中興路九龍段66-1號,"24.88070744928803, 121.2491074933083",1,763,龍潭分局,,
C003,九龍里,桃園市龍潭區中興路317巷74弄7號,"24.871739684048574, 121.23352441049886",1,385,龍潭分局,,
C004,武漢里,桃園市龍潭區中興路九龍段50巷79號,"24.88174428515195, 121.24992355652536",1,1621,龍潭分局,,
C005,九龍里,桃園市龍潭區中興路392巷9弄29衖17號,"24.87340539676222, 121.23019836335975",2,547,龍潭分局,,O
C006,中興里,桃園市龍潭區成功路283巷12弄9號,"24.87748012209484, 121.22842678026956",2,390,龍潭分局,,O
C007,黃唐里,桃園市龍潭區中興路461巷2弄31號,"24.87120441645965, 121.22866189515678",1,212,龍潭分局,,
C008,永興里,桃園市龍潭區九龍里中興路九龍段129巷135弄觀景樓社區,"24.87814474933168, 121.24595929981683",1,638,龍潭分局,,
C009,九龍里,桃園市龍潭區福龍路二段359巷177弄56號,"24.885930084041977, 121.22598579145973",2,784,龍潭分局,,O
C010,黃唐里,桃園市龍潭區九龍里健行路345巷59弄1號,"24.867338856873427, 121.23041462214357",1,650,龍潭分局,,O
C011,九龍里,桃園市龍潭區中興里天龍四巷11號,"24.876301117086303, 121.23139269700555",3,1420,龍潭分局,,O
C012,中興里,桃園市龍潭區中興路211巷22弄1-12號,"24.873774684047614, 121.2357300681699",2,822,龍潭分局,,O
C014,東興里,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878168054094914, 121.24579744303179",1,443,龍潭分局,,O
C015,九龍里,桃園市龍潭區中興路211巷70弄1號,"24.872602684048143, 121.2366437104988",2,2594,龍潭分局,,
C016,東興里,桃園市龍潭區九龍里悅華路100號,"24.87000813848869, 121.24797875652501",1,474,龍潭分局,,
C017,九龍里,桃園市龍潭區中興路433-1號,"24.872586944286766, 121.22980329066445",1,46,龍潭分局,,
C020,永興里,桃園市龍潭區中興路513巷16號,"24.87060936400303, 121.22604048308202",1,297,龍潭分局,,
C023,永興里,桃園市龍潭區中興路288巷45號,"24.87556914870293, 121.23387666638982",1,527,龍潭分局,,
C024,中興里,桃園市龍潭區九龍里中興路九龍段3巷13號,"24.879732749672453, 121.24975328351202",1,751,龍潭分局,,
C025,九龍里,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878508717265802, 121.24565796817002",1,240,龍潭分局,,
C026,九龍里,桃園市龍潭區九龍里中興路九龍段11號,"24.88015744950501, 121.2490021970056",1,98,龍潭分局,,
C027,九龍里,桃園市龍潭區北興里中興路18巷20號,"24.87751891071874, 121.24183144930969",1,706,龍潭分局,,O
C028,北興里,桃園市龍潭區武漢里龍平路1107巷55弄26號,"24.885733684042023, 121.23921708351217",3,1688,龍潭分局,,O
C029,祥和里,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878469784379522, 121.24555067981484",1,63,龍潭分局,,
C030,九龍里,桃園市龍潭區黃唐里武中路20號,"24.875587785530836, 121.22808186598985",2,776,龍潭分局,,O
C031,黃唐里,桃園市龍潭區九龍里五福街317號2樓,"24.86461618111301, 121.22543453933419",1,486,龍潭分局,,O
C032,九龍里,桃園市龍潭區九龍里雙連街280號二樓,"24.85788680081819, 121.22570758166297",1,266,龍潭分局,,
C033,九龍里,桃園市龍潭區北興里民豐一街99號,"24.880253618641255, 121.24253108166343",2,2675,龍潭分局,,O
C034,北興里,桃園市龍潭區黃唐里龍平路820巷8-12號,"24.884854072585664, 121.23160869792473",2,611,龍潭分局,,O
D001,黃唐里,(機敏單位)桃園市龍潭區佳安里文化路1000號,,1,2443,龍潭分局,,O
D006,佳安里,桃園市龍潭區建林里建國路75巷12弄11號,"24.845440676594226, 121.2345332681692",1,550,龍潭分局,,
D007,佳安里,桃園市龍潭區佳安里中正路三林段500號,"24.844624058700337, 121.23730620676085",2,2820,龍潭分局,,O
D008,建林里,(機敏單位)桃園市龍潭區佳安里中正路三林段617號,,1,4412,龍潭分局,,O
D010,建林里,桃園市龍潭區三坑里永昌路51巷85號,"24.818240031562343, 121.24240088079716",1,525,龍潭分局,,O
D011,佳安里,桃園市龍潭區大平里芝麻1號,"24.82407397595018, 121.23672389120838",1,634,龍潭分局,,O
D012,三坑里,桃園市龍潭區大平里二坪36號,"24.817711408067673, 121.24283965467505",2,33,龍潭分局,,
D013,大平里,桃園市龍潭區大平里民強街1號,"24.81985688407306, 121.23564947001731",1,3258,龍潭分局,,
D014,大平里,桃園市龍潭區大平里民治18街45號,"24.821406670935282, 121.23926130680034",2,445,龍潭分局,,O
D015,大平里,桃園市龍潭區大平里民有路257號,"24.840932974520584, 121.23332598121112",3,2376,龍潭分局,,O
D016,大平里,桃園市龍潭區建林里民族路278巷88弄3衖1號,"24.83850566566162, 121.23300927325855",1,1797,龍潭分局,,O
D017,大平里,桃園市龍潭區建林里民族路370巷74號,"24.83629105480276, 121.23342658523912",1,543,龍潭分局,,O
D018,建林里,桃園市龍潭區三林里民族路416巷16號,"24.84071453370095, 121.24042140534658",1,456,龍潭分局,,
D020,建林里,桃園市龍潭區佳安里文化路137號,"24.838046038450074, 121.23721692584014",1,553,龍潭分局,,O
D022,三林里,桃園市龍潭區佳安里佳安西路4巷101號,"24.825492571896856, 121.2372825816622",1,807,龍潭分局,,O
D023,佳安里,桃園市龍潭區大平里龍源路大平段278之1號,"24.834476507068757, 121.2473569459828",1,1205,龍潭分局,,O
D024,佳安里,桃園市龍潭區三坑里19鄰永昌路24巷1號,"24.818153339759863, 121.237980987208",1,632,龍潭分局,,O
D025,大平里,桃園市龍潭區大平里民治路300號,"24.83677487455315, 121.2338729835111",2,6111,龍潭分局,,O
D026,三坑里,桃園市龍潭區三林里1民族路372號,"24.83540519730615, 121.23245850075546",1,975,龍潭分局,,O
D027,大平里,桃園市龍潭區民族路434巷20號,"24.83075385957684, 121.23354870895012",2,2236,龍潭分局,,O
D028,三林里,桃園市龍潭區三林里三角林街9號,"24.845093312361275, 121.22808292584033",2,573,龍潭分局,,O
D029,三林里,"桃園市龍潭區富林里民生路141巷150號 ","24.83049204631775, 121.23284366906613",3,6114,龍潭分局,,O
D030,三林里,桃園市龍潭區三林里三角林街56號,"24.824878221511753, 121.24164013748455",1,212,龍潭分局,,O
D031,富林里,桃園市龍潭區大平里民有一街199號,"24.82067477322432, 121.23751078442598",3,2769,龍潭分局,,
D032,三林里,桃園市龍潭區大平里民治路355號2樓之1,"24.84906699599314, 121.24462068797195",1,209,龍潭分局,,O
D033,大平里,桃園市龍潭區佳安里6鄰文化路405巷50-3號,"24.832846236816735, 121.21376985467543",1,1703,龍潭分局,,O
D034,大平里,桃園市龍潭區大平里1鄰民有一街233-25號,"24.824280966964842, 121.24132455801569",3,3285,龍潭分局,,O
E001,大平里,桃園市龍潭區高平里高楊南路320巷6弄2號,"24.83288006818208, 121.2137533107909",2,52,龍潭分局,,O
E002,佳安里,桃園市龍潭區高平里高楊南路320巷12弄6號,"24.83276415770958, 121.21355966816891",1,32,龍潭分局,,
E003,高平里,桃園市龍潭區高平里高楊南路320巷2號,"24.833064084066805, 121.21406309700446",1,63,龍潭分局,,
E004,高平里,桃園市龍潭區高平里高楊南路320巷12弄9號,"24.832719935040274, 121.21347233907426",1,55,龍潭分局,,
E005,高平里,桃園市龍潭區高平里高楊南路384號,"24.8318986314053, 121.21440445715751",1,277,龍潭分局,,
E007,高平里,桃園市龍潭區高平里高楊南路368號,"24.832031398065116, 121.21425783159494",1,35,龍潭分局,,
E008,高平里,桃園市龍潭區高平里中豐路高平段403號,"24.833467894365665, 121.20620875097823",1,1333,龍潭分局,,
E009,高平里,桃園市龍潭區高平里高楊南路320巷10號,"24.832831220882635, 121.21376164118199",1,466,龍潭分局,,O
E011,高平里,桃園市龍潭區高原里中原路2段374號,"24.837762729780447, 121.19474385097838",2,1031,龍潭分局,,
E012,高平里,桃園市龍潭區高原里高原路367巷184號,"24.830395545909838, 121.19809922806489",1,61,龍潭分局,,O
E013,高原里,桃園市龍潭區高平里高楊北路109號,"24.84021262900838, 121.20600951234667",1,312,龍潭分局,,
E014,高原里,桃園市龍潭區高原里中原路二段176號,"24.842222939762372, 121.19644915467572",1,81,龍潭分局,,
E015,高平里,桃園市龍潭區高原里中原路二段100號,"24.844008463751795, 121.19741682399163",2,1347,龍潭分局,,
E016,高原里,桃園市龍潭區高原里中原路二段46號,"24.84487805579808, 121.19785206816907",1,355,龍潭分局,,O
E017,高原里,桃園市龍潭區高原里中原路二段46號,"24.84487805579808, 121.19785206816907",1,381,龍潭分局,,
E018,高原里,桃園市龍潭區高原里中原路三段390號,"24.824232729343425, 121.19204824854259",1,201,龍潭分局,,
E020,高原里,桃園市龍潭區高平里龍源路800號,"24.818276859851036, 121.22096122290075",1,213,龍潭分局,,
E023,高平里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,41,龍潭分局,,
E024,高原里,桃園市龍潭區高原里高楊北路451巷100號,"24.84429037294619, 121.20000528816564",1,374,龍潭分局,,
E025,高原里,桃園市龍潭區高平里中豐路高平段576號,"24.828520744167314, 121.20626144118197",1,188,龍潭分局,,
E026,高平里,桃園市龍潭區高原里高楊北路451巷100號,"24.84429037294619, 121.20000528816564",2,707,龍潭分局,,O
E027,高原里,桃園市龍潭區高原里高楊北路451巷100號,"24.84429037294619, 121.20000528816564",1,531,龍潭分局,,
E028,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,31,龍潭分局,,
E029,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,54,龍潭分局,,
E030,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,60,龍潭分局,,
E031,高原里,桃園市龍潭區高原里福源路138號,"24.827411149073157, 121.18823917063847",1,251,龍潭分局,,
E035,高原里,桃園市龍潭區高原里橫岡下4-4號,"24.827411149073157, 121.18823917063847",1,233,龍潭分局,,
E037,高原里,桃園市龍潭區高平里高楊南路320巷13弄8號,"24.832274636637223, 121.21380972804566",1,161,龍潭分局,,
E038,高平里,桃園市龍潭區高原里渴望路205巷66號,"24.837984493025797, 121.18702077671468",2,944,龍潭分局,,
E039,高原里,桃園市龍潭區高原里渴望路237巷01號,"24.837309257848712, 121.1876621924859",2,2407,龍潭分局,,
E040,高原里,桃園市龍潭區高原里高原路568號,"24.83012648786892, 121.19389041085086",2,448,龍潭分局,,
E041,高原里,桃園市龍潭區高原里龍源路245號,"24.836527163370373, 121.18936270950051",1,6622,龍潭分局,,O
E042,高原里,桃園市龍潭區高原里龍源路245號,"24.82355295916248, 121.21164934338911",2,315,龍潭分局,,
E043,高原里,桃園市龍潭區高平里中豐路高平段418號,"24.831948873902995, 121.20863406826714",1,9827,龍潭分局,,
E044,高平里,桃園市龍潭區高平里中豐路高平段418號,"24.831948873902995, 121.20863406826714",2,2296,龍潭分局,,
E045,高平里,(機敏單位)桃園市龍潭區高平里中豐路高平段108號,,1,66,龍潭分局,,
E046,高平里,桃園市龍潭區高平里中豐路高平段418號,"24.831948873902995, 121.20863406826714",1,323,龍潭分局,,
E047,高平里,桃園市龍潭區高原里中原路二段188號,"24.841629875696633, 121.19630601085113",1,2613,龍潭分局,,O
E048,高原里,桃園市龍潭區高原里中原路一段360號,"24.850259684058752, 121.2001798666719",1,346,龍潭分局,,O
F001,高原里,桃園市龍潭區三和里新和路1號,"24.84431535317329, 121.18815725132819",2,20701,龍潭分局,,O
F003,三和里,桃園市龍潭區三和里大北坑街一段220巷66號,"24.871550615217746, 121.17229882804652",1,82,龍潭分局,,
F004,三水里,桃園市龍潭區三水里大北坑街一段220巷65號,"24.87139505026882, 121.17276381270297",1,56,龍潭分局,,
F005,三水里,(機敏單位)桃園市龍潭區三和里楊銅路二段801號,,1,16,龍潭分局,,
F006,三和里,桃園市龍潭區三和里店湖一路90號,"24.870047016277887, 121.17654606667233",1,72,龍潭分局,,
F008,三和里,桃園市龍潭區三和里朝鳳路1號,"24.870847032990643, 121.17873753362603",1,141,龍潭分局,,
F009,三和里,桃園市龍潭區三和里店湖一路126號,"24.869648592742635, 121.1763097954073",1,201,龍潭分局,,
F010,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,4381,龍潭分局,,O
F011,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,9493,龍潭分局,,O
F012,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,4347,龍潭分局,,O
F013,三和里,桃園市龍潭區三和里華映路1號,"24.859314888845077, 121.19287079965294",2,859,龍潭分局,,
F014,三和里,桃園市龍潭區三和里渴望路660巷50弄1號,"24.844542328984165, 121.17766220876543",1,830,龍潭分局,,
