行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
士林區,WVA00278,三玉里,臺北市士林區德行東路129巷10號,"25.108452,121.52923",1,"1400 ",士林分局,
士林區,WVA00358,三玉里,臺北市士林區忠誠路二段12號,"25.108778,121.529929",1,"2729 ",士林分局,
士林區,WVA01652,三玉里,臺北市士林區忠誠路二段1號,"25.108689,121.530797",1,"1602 ",士林分局,
士林區,WVA01659,三玉里,臺北市士林區忠誠路二段6號,"25.108588,121.530109",1,"386 ",士林分局,
士林區,WVA01680,三玉里,臺北市士林區忠誠路二段32巷9號,"25.109323,121.529546",1,"494 ",士林分局,
士林區,WVA02054,三玉里,臺北市士林區德行東路233號,"25.109584,121.533429",1,"1172 ",士林分局,
士林區,WVA02691,三玉里,臺北市士林區德行東路157號,"25.108326,121.529822",1,"225 ",士林分局,
士林區,WVA02693,三玉里,臺北市士林區德行東路187號,"25.10893,121.531541",1,"469 ",士林分局,
士林區,WVA02694,三玉里,臺北市士林區德行東路191號,"25.109002,121.531732",1,"405 ",士林分局,
士林區,WVA02696,三玉里,臺北市士林區德行東路197號,"25.109078,121.531942",1,"406 ",士林分局,
士林區,WVA02700,三玉里,臺北市士林區德行東路227號,"25.109535,121.53308",1,"265 ",士林分局,
士林區,WVA02702,三玉里,臺北市士林區德行東路239號,"25.109772,121.533959",1,"201 ",士林分局,
士林區,WVA03024,三玉里,臺北市士林區德行東路183號,"25.108916,121.531304",3,"810 ",士林分局,
士林區,WVA03129,三玉里,臺北市士林區忠誠路二段21巷20號,"25.109323,121.531419",1,"784 ",士林分局,
士林區,WVA03156,三玉里,臺北市士林區忠誠路二段10巷5號,"25.108848,121.529763",1,"148 ",士林分局,
士林區,WVA03162,三玉里,臺北市士林區德行東路177號,"25.108785,121.531015",1,"1706 ",士林分局,
士林區,WVA00011,三玉里,臺北市士林區士東路222號,"25.11271,121.534522",1,"397 ",士林分局,
士林區,WVA00022,三玉里,臺北市士林區士東路200巷15弄6號,"25.111986,121.534154",1,"125 ",士林分局,
士林區,WVA00022,三玉里,臺北市士林區士東路200巷15弄6號,"25.111986,121.534154",2,"245 ",士林分局,
士林區,WVA00024,三玉里,臺北市士林區士東路200巷58弄15號,"25.110476,121.533353",1,"716 ",士林分局,
士林區,WVA01167,三玉里,臺北市士林區天母東路106號,"25.117951,121.536626",1,"397 ",士林分局,
士林區,WVA01168,三玉里,臺北市士林區天母東路110號,"25.11796,121.536818",1,"645 ",士林分局,
士林區,WVA01184,三玉里,臺北市士林區天母東路96號,"25.117999,121.536325",1,"890 ",士林分局,
士林區,WVA01679,三玉里,臺北市士林區忠誠路二段21巷72號,"25.110054,121.533821",1,"256 ",士林分局,
士林區,WVA01995,三玉里,臺北市士林區芝玉路二段38號,"25.110865,121.534661",1,"156 ",士林分局,
士林區,WVA01996,三玉里,臺北市士林區芝玉路二段46號,"25.111191,121.53476",1,"170 ",士林分局,
士林區,WVA01999,三玉里,臺北市士林區芝玉路二段20巷2號,"25.110126,121.534486",1,"758 ",士林分局,
士林區,WVA02022,三玉里,臺北市士林區士東路200巷11號,"25.112217,121.533773",1,"108 ",士林分局,
士林區,WVA02023,三玉里,臺北市士林區士東路200巷27號,"25.111581,121.533867",1,"192 ",士林分局,
士林區,WVA02024,三玉里,臺北市士林區士東路200巷3號,"25.112366,121.533748",1,"88 ",士林分局,
士林區,WVA02038,三玉里,臺北市士林區德行東路263號,"25.109974,121.535013",1,"509 ",士林分局,
士林區,WVA02039,三玉里,臺北市士林區德行東路255號,"25.109931,121.534736",1,"520 ",士林分局,
