電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WSA00521,九如里,臺北市南港區研究院路二段165號,"25.037602,121.617343",1,173.0,南港分局,
WSA00523,九如里,臺北市南港區研究院路二段184之1號,"25.037514,121.617112",1,204.0,南港分局,
WSA00524,九如里,臺北市南港區研究院路二段185號,"25.037133,121.617351",1,112.0,南港分局,
WSA00531,九如里,臺北市南港區研究院路二段212號,"25.036555,121.617087",1,110.0,南港分局,
WSA00533,九如里,臺北市南港區研究院路二段218號,"25.036408,121.617264",1,242.0,南港分局,
WSA00948,九如里,臺北市南港區研究院路二段151號,"25.038027,121.61711",1,872.0,南港分局,
WSA00554,九如里,臺北市南港區研究院路二段182巷70號,"25.036729,121.614423",1,508.0,南港分局,
WSA00555,九如里,臺北市南港區研究院路二段182巷71號,"25.036791,121.614277",1,476.0,南港分局,
WSA00556,九如里,臺北市南港區研究院路二段182巷71號,"25.036791,121.614277",2,1113.0,南港分局,
WSA00557,九如里,臺北市南港區研究院路二段182巷80號,"25.036632,121.613954",1,677.0,南港分局,
WSA00802,九如里,臺北市南港區研究院路三段2號,"25.035741,121.617037",1,22573.0,南港分局,
WSA00594,九如里,臺北市南港區研究院路三段68巷12號,"25.035163,121.614177",1,102.0,南港分局,
WSA00595,九如里,臺北市南港區研究院路三段68巷9號,"25.035273,121.614311",1,949.0,南港分局,
WSA00596,九如里,臺北市南港區研究院路三段68巷9號,"25.035273,121.614311",1,288.0,南港分局,
WSA00598,九如里,臺北市南港區研究院路三段68巷32弄2號,"25.03552,121.613713",1,309.0,南港分局,
WSA00910,九如里,臺北市南港區研究院路三段1號,"25.036017408643463,121.6169894968943",2,1845.0,南港分局,
WSA00599,九如里,臺北市南港區研究院路三段86巷2號,"25.034409,121.613416",1,122.0,南港分局,
WSA00600,九如里,臺北市南港區研究院路三段68巷27弄1號,"25.035095,121.613981",1,410.0,南港分局,
WSA00586,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,674.0,南港分局,
WSA00587,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,265.0,南港分局,
WSA00588,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,874.0,南港分局,
WSA00589,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,464.0,南港分局,
WSA00590,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,1013.0,南港分局,
WSA00762,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,1370.0,南港分局,
WSA00853,九如里,臺北市南港區研究院路三段245號,"25.033594,121.609915",1,2028.0,南港分局,
WSA00676,三重里,臺北市南港區興東街29號,"25.05575,121.61263",1,1186.0,南港分局,
WSA00892,三重里,臺北市南港區經貿一路55號,"25.056035,121.619992",1,1133.0,南港分局,
WSA00897,三重里,臺北市南港區園區街11號,"25.05889,121.611098",2,508.0,南港分局,
WSA00956,三重里,臺北市南港區經貿二路157巷36弄60號,"25.061032,121.615544",1,512.0,南港分局,
WSA00908,三重里,臺北市南港區惠民街73號,"25.058693,121.610159",1,1196.0,南港分局,
WSA00810,三重里,臺北市南港區重陽路378號,"25.059021,121.61005",1,893.0,南港分局,
WSA00826,三重里,臺北市南港區南港路一段8號,"25.054886,121.619573",2,249.0,南港分局,
WSA00836,三重里,臺北市南港區園區街15號,"25.058892,121.610919",2,1790.0,南港分局,
WSA00841,三重里,臺北市南港區港東街86號,"25.056705,121.621022",1,1592.0,南港分局,
