電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
A0001,民孝里,花蓮市民孝里港口路15號,23.99795255,121.6348614,1,290.0,花蓮港務警察總隊保安警察隊,
A0002,民德里,花蓮市民德里海岸路66號,23.98065719,121.6200116,1,2903.0,花蓮港務警察總隊保安警察隊,
A0003,民孝里,花蓮港區第12號碼頭,24.0057702,121.6372858,1,170.0,花蓮港務警察總隊東堤中隊,
20,瑞穗村,花蓮縣瑞穗村009鄰四維街13號,23.49749,121.37714,1,100.0,鐵路警察局花蓮分局,瑞穗車站
21,鳳智里,花蓮縣鳳林鎮鳳智里019鄰中山路43號,23.74645,121.44701,1,170.0,鐵路警察局花蓮分局,鳳林車站
22,國聯里,花蓮縣花蓮市國聯里035鄰國聯一路100號,23.99341,121.60127,1,750.0,鐵路警察局花蓮分局,花蓮車站
12,嘉里村,花蓮縣新城鄉嘉里村機場巷1號B1(航站地下停車場),24.02569807,121.6139004,地下1層,26266.0,航空警察局臺北分局,
