電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局
XG1006,小港區,鳳鳴里,高雄市小港區鳳鳴里13鄰丹山三路51之1號,"22.511257,120.358124",1.0,45.0,小港分局
XG1007,小港區,鳳鳴里,高雄市小港區鳳鳴里13鄰丹山三路51號,"22.511293,120.358165",1.0,22.0,小港分局
XG1028,小港區,鳳鳴里,高雄市小港區鳳鳴里16鄰丹山一路15之6號,"22.510373,120.36071",1.0,41.0,小港分局
XG1029,小港區,鳳鳴里,高雄市小港區鳳鳴里16鄰丹山一路15之5號,"22.510418,120.360657",1.0,41.0,小港分局
XG1274,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之10號,"22.510811,120.361661",1.0,15.0,小港分局
XG1275,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之11號,"22.510838,120.361633",1.0,15.0,小港分局
XG1276,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之12號,"22.510864,120.361605",1.0,14.0,小港分局
XG1277,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之13號,"22.510901,120.36158",1.0,14.0,小港分局
XG1278,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3號,"22.510503,120.361971",1.0,14.0,小港分局
XG1279,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之1號,"22.510532,120.36194",1.0,14.0,小港分局
XG1280,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之2號,"22.51056,120.361911",1.0,14.0,小港分局
XG1281,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之3號,"22.510591,120.361883",1.0,14.0,小港分局
XG1282,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之4號,"22.510618,120.361856",1.0,14.0,小港分局
XG1283,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之5號,"22.510645,120.361831",1.0,14.0,小港分局
XG1284,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之6號,"22.510673,120.361805",1.0,14.0,小港分局
XG1285,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之7號,"22.510701,120.361778",1.0,15.0,小港分局
XG1286,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之8號,"22.510731,120.36175",1.0,14.0,小港分局
XG1287,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之9號,"22.510757,120.361721",1.0,15.0,小港分局
XG1479,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路40號,"22.530614,120.367414",1.0,279.0,小港分局
XG1637,小港區,鳳鳴里,高雄市小港區鳳鳴里4鄰丹山二路25之7號,"22.512564,120.359802",1.0,20.0,小港分局
XG1638,小港區,鳳鳴里,高雄市小港區鳳鳴里4鄰丹山二路25之8號,"22.512506,120.359801",1.0,20.0,小港分局
XG1640,小港區,鳳鳴里,高雄市小港區鳳鳴里17鄰沿海三路36號,"22.523204,120.36675",1.0,427.0,小港分局
XG1693,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路32號,"22.527562,120.365862",1.0,254.0,小港分局
XG1825,小港區,鳳鳴里,高雄市小港區鳳鳴里17鄰沿海三路26之3號,"22.526361,120.368301",1.0,220.0,小港分局
XG1858,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路38號,"22.530037,120.367149",1.0,313.0,小港分局
XG1955,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路21號,"22.526147,120.364498",1.0,124.0,小港分局
XG2273,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路28號,"22.525517,120.364813",1.0,708.0,小港分局
XG2371,小港區,鳳鳴里,高雄市小港區鳳鳴里11鄰丹山三路18號,"22.513328,120.359278",1.0,19.0,小港分局
XG2390,小港區,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之2號,"22.511319,120.360175",1.0,12.0,小港分局
XG2391,小港區,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之1號,"22.511358,120.360204",1.0,12.0,小港分局
XG2641,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路8號,"22.519597,120.361344",1.0,228.0,小港分局
