電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局
XG0765,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰中利街8號,"22.522791,120.363189",1.0,600.0,小港分局
XG0868,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96號,"22.511042,120.358492",1.0,13.0,小港分局
XG0869,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之1號,"22.511015,120.358465",1.0,13.0,小港分局
XG0870,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之2號,"22.510988,120.358439",1.0,13.0,小港分局
XG0871,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之3號,"22.51096,120.35842",1.0,12.0,小港分局
XG0873,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95號,"22.511312,120.358352",1.0,13.0,小港分局
XG0874,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之1號,"22.511285,120.358382",1.0,13.0,小港分局
XG0875,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之2號,"22.511258,120.358412",1.0,13.0,小港分局
XG0876,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之3號,"22.51124,120.358435",1.0,13.0,小港分局
XG0877,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之4號,"22.511213,120.358462",1.0,13.0,小港分局
XG0878,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之5號,"22.511185,120.358485",1.0,13.0,小港分局
XG0879,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之6號,"22.51116,120.358512",1.0,13.0,小港分局
XG0880,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之7號,"22.511142,120.358538",1.0,13.0,小港分局
XG0881,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之8號,"22.511115,120.358569",1.0,12.0,小港分局
XG0882,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之9號,"22.511096,120.3586",1.0,12.0,小港分局
XG0900,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路16之1號,"22.51149,120.360343",1.0,13.0,小港分局
XG0954,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路34號,"22.528793,120.366408",1.0,142.0,小港分局
