類別,村里,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,綠苗里,苗栗縣苗栗市米市街80號,"24.554216022067916, 120.81805636846752",1.0,106,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市光復路117號,"24.55457041147816, 120.81718641635145",1.0,26,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市米市街50號,"24.554799297077285, 120.81822459730348",1.0,45,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市博愛街65巷3號,"24.55459371146186, 120.81810744703905",1.0,56,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市光復路119號,"24.55463046296153, 120.8171847298434",1.0,29,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市中正路727號,"24.554434345981793, 120.81964732613959",1.0,37,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市光復路116號,"24.55457004584443, 120.81768543169518",1.0,25,苗栗分局,南苗所,
大樓,綠苗里,苗栗縣苗栗市博愛街109號,"24.554625790309753, 120.81668333169519",2.0,2038,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市光復路114號,"24.554514187304008, 120.81769957587507",1.0,17,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市米市街98號,"24.554183463483408, 120.81778355867921",1.0,20,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市米市街99號,"24.553947208878522, 120.81775255497546",1.0,34,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市米市街97號,"24.55379901201873, 120.81805647587497",1.0,56,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市光復路77號,"24.553854781169342, 120.81725888751531",1.0,26,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市日新街32號,"24.553648240110782, 120.8178903433355",1.0,41,苗栗分局,南苗所,
公寓,綠苗里,苗栗縣苗栗市米市街52號,"24.554760455717943, 120.81803622243584",1.0,21,苗栗分局,南苗所,
大樓,綠苗里,苗栗縣苗栗市大同路53號,"24.55414463941525, 120.81632177402317",1.0,128,苗栗分局,南苗所,
大樓,綠苗里,苗栗縣苗栗市僑育街7號,"24.554025556862022, 120.81938823963165",1.0,950,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路56巷19號,"24.558432050001507, 120.8203110182031",1.0,30,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路85號,"24.558017908976915, 120.81885715682748",1.0,57,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市維新街34號,"24.556767352593535, 120.81981248381172",1.0,40,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路6巷8號,"24.55719670963753, 120.82156002799154",1.0,62,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路56巷15號,"24.558356975210987, 120.82017870100744",1.0,25,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市民生街20號,"24.556045702829593, 120.8196786163513",1.0,117,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路587號,"24.557167601606707, 120.82144366238305",1.0,13,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路585號,"24.557291226329188, 120.82108718381154",1.0,13,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中山路634號,"24.55703036015909, 120.81984167772707",1.0,281,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市建台街29號,"24.55792935910921, 120.82095130471117",1.0,73,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市維新街21號,"24.556245861485895, 120.81924670550623",1.0,334,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市民生街16號,"24.555886874457904, 120.81913157472933",1.0,60,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路623號,"24.55630111947086, 120.8209441010073",1.0,196,苗栗分局,南苗所,
