類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數
公寓,WTA00539,金瑞里,臺北市內湖區內湖路三段143巷12號,1,337.0
公寓,WTA00542,金瑞里,臺北市內湖區內湖路三段143巷32號,1,77.0
公寓,WTA00543,金瑞里,臺北市內湖區內湖路三段143巷8號,1,118.0
公寓,WTA00544,金瑞里,臺北市內湖區內湖路三段163巷8弄1號,1,438.0
公寓,WTA00546,金瑞里,臺北市內湖區內湖路三段187巷17號,1,281.0
公寓,WTA00547,金瑞里,臺北市內湖區內湖路三段187巷18號,1,682.0
公寓,WTA01132,金瑞里,臺北市內湖區金龍路159號,1,532.0
大樓,WTA01133,金瑞里,臺北市內湖區金龍路178號,1,796.0
公寓,WTA01134,金瑞里,臺北市內湖區金龍路181號,1,181.0
公寓,WTA01135,金瑞里,臺北市內湖區金龍路195號,1,90.0
公寓,WTA01136,金瑞里,臺北市內湖區金龍路203號,1,293.0
大樓,WTA01137,金瑞里,臺北市內湖區金龍路203-1號,1,1738.0
大樓,WTA01138,金瑞里,臺北市內湖區金龍路215號,1,2301.0
公寓,WTA01139,金瑞里,臺北市內湖區金龍路219號,1,166.0
大樓,WTA01152,金瑞里,臺北市內湖區金龍路222巷2號,2,4266.0
公寓,WTA00552,金瑞里,臺北市內湖區內湖路三段329巷12號,1,1474.0
公寓,WTA00553,金瑞里,臺北市內湖區內湖路三段329巷6號,1,764.0
公寓,WTA00517,金瑞里,臺北市內湖區內湖路三段272號,1,786.0
公寓,WTA00521,金瑞里,臺北市內湖區內湖路三段306號,1,397.0
公寓,WTA00524,金瑞里,臺北市內湖區內湖路三段345號,1,642.0
公寓,WTA00525,金瑞里,臺北市內湖區內湖路三段363號,1,104.0
公寓,WTA00551,金瑞里,臺北市內湖區內湖路三段326巷3弄1號,1,1073.0
公寓,WTA00518,金瑞里,臺北市內湖區內湖路三段279號,1,46.0
公寓,WTA00519,金瑞里,臺北市內湖區內湖路三段281號,1,144.0
公寓,WTA00523,金瑞里,臺北市內湖區內湖路三段331-1號,1,1364.0
公寓,WTA01140,金瑞里,臺北市內湖區內湖路三段236號,1,185.0
大樓,WTA01141,金瑞里,臺北市內湖區金龍路237號,2,4134.0
大樓,WTA01139,金瑞里,臺北市內湖區金龍路219號,2,933.0
公寓,WTA00923,金龍里,臺北市內湖區成功路四段216號,1,3944.0
公寓,WTA01129,金龍里,臺北市內湖區金龍路1號,1,1720.0
公寓,WTA01131,金龍里,臺北市內湖區金龍路15號,1,278.0
公寓,WTA01151,金龍里,臺北市內湖區金龍路13巷6號,1,581.0
公寓,WTA00550,金龍里,臺北市內湖區金龍路47巷13弄14號,1,669.0
公寓,WTA01142,金龍里,臺北市內湖區金龍路39號,1,392.0
公寓,WTA01143,金龍里,臺北市內湖區金龍路49號,1,484.0
公寓,WTA01144,金龍里,臺北市內湖區金龍路55號,1,166.0
公寓,WTA01153,金龍里,臺北市內湖區金龍路47巷6號,1,145.0
公寓,WTA01154,金龍里,臺北市內湖區金龍路47巷9號,1,137.0
大樓,WTA02109,金龍里,臺北市內湖區金龍路47巷14弄17號,1,912.0
大樓,WTA02631,金龍里,臺北市內湖區金龍路47巷13弄7號,1,1476.0
公寓,WTA00503,金龍里,臺北市內湖區內湖路三段117號,1,1149.0
公寓,WTA00504,金龍里,臺北市內湖區內湖路三段129號,1,1241.0
公寓,WTA00538,金龍里,臺北市內湖區內湖路三段141巷12號,1,342.0
公寓,WTA01130,金龍里,臺北市內湖區金龍路146號,1,192.0
公寓,WTA01149,金龍里,臺北市內湖區金龍路112巷28號,1,50.0
公寓,WTA01150,金龍里,臺北市內湖區金龍路112巷36號,1,61.0
大樓,WTA02143,金龍里,臺北市內湖區金龍路136-1號,2,766.0
公寓,WTA00520,金龍里,臺北市內湖區內湖路三段30號,1,44.0
公寓,WTA00526,金龍里,臺北市內湖區內湖路三段37號,1,150.0
公寓,WTA00527,金龍里,臺北市內湖區內湖路三段37-1號,1,148.0
公寓,WTA00528,金龍里,臺北市內湖區內湖路三段45-1號,1,116.0
公寓,WTA00529,金龍里,臺北市內湖區內湖路三段49號,1,30.0
大樓,WTA00530,金龍里,臺北市內湖區內湖路三段56號,1,337.0
公寓,WTA00533,金龍里,臺北市內湖區內湖路三段91號,1,208.0
公寓,WTA00555,金龍里,臺北市內湖區內湖路三段59巷1號,1,1445.0
公寓,WTA00556,金龍里,臺北市內湖區內湖路三段59巷13號,1,754.0
大樓,WTA01960,金龍里,臺北市內湖區金龍路83號,1,573.0
公寓,WTA00557,金龍里,臺北市內湖區內湖路三段59巷6號,1,300.0
公寓,WTA01148,金龍里,臺北市內湖區金龍路75號,1,237.0
大樓,WTA02120,金龍里,臺北市內湖區金龍路47巷14弄16號,1,258.0
大樓,WTA02701,金龍里,臺北市內湖區內湖路三段26號,1,2228.0
大樓,WTA02744,金龍里,臺北市內湖區金龍路67巷8號,1,782.0
大樓,WTA00396,內湖里,臺北市內湖區內湖路二段307號,1,1532.0
公寓,WTA00401,內湖里,臺北市內湖區內湖路二段337號,2,528.0
大樓,WTA00475,內湖里,臺北市內湖區內湖路二段263巷9弄1號,1,792.0
公寓,WTA00476,內湖里,臺北市內湖區內湖路二段301巷5弄2號,1,625.0
公寓,WTA00838,內湖里,臺北市內湖區成功路三段174巷1號,1,156.0
大樓,WTA00839,內湖里,臺北市內湖區成功路三段174巷15號,3,590.0
公寓,WTA00840,內湖里,臺北市內湖區成功路三段174巷29號,1,698.0
大樓,WTA02097,內湖里,臺北市內湖區內湖路二段376巷10號,2,1177.0
大樓,WTA02164,內湖里,臺北市內湖區內湖路二段352號,1,489.0
大樓,WTA02656,內湖里,臺北市內湖區內湖路二段265號,1,1154.0
大樓,WTA00410,內湖里,臺北市內湖區內湖路二段379號,1,933.0
大樓,WTA00413,內湖里,臺北市內湖區內湖路二段395號,2,686.0
公寓,WTA00925,內湖里,臺北市內湖區成功路四段28號,2,286.0
大樓,WTA00962,內湖里,臺北市內湖區成功路四段30巷16號,2,1318.0
公寓,WTA00963,內湖里,臺北市內湖區成功路四段30巷30號,2,3453.0
