電腦編號,村里別,地址,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
SNA00001,東昌村,花蓮縣吉安鄉東海十五街25號,23.962592,121.591986,B1,74.0,吉安分局,,花蓮縣吉安鄉東海十五街25號
SNA00002,南昌村,花蓮縣吉安鄉昌隆六街6-2號,23.969096,121.579848,B1,356.0,吉安分局,,花蓮縣吉安鄉昌隆六街6-2號
SNA00003,南昌村,花蓮縣吉安鄉文化五街46號,23.970243,121.580917,B1,1948.0,吉安分局,,花蓮縣吉安鄉文化五街46號
SNA00004,南昌村,花蓮縣吉安鄉文化五街47號,23.970222,121.580656,B1,1343.0,吉安分局,,花蓮縣吉安鄉文化五街47號
SNA00005,仁里村,花蓮縣吉安鄉中山路一段66號,23.965896,121.589065,B1,522.0,吉安分局,,花蓮縣吉安鄉中山路一段66號
SNA00006,宜昌村,花蓮縣吉安鄉中華路二段93號,23.973593,121.584878,B1,1297.0,吉安分局,,花蓮縣吉安鄉中華路二段93號
SNA00007,東昌村,花蓮縣吉安鄉東海三街4號,23.966474,121.595907,B1,1223.0,吉安分局,,花蓮縣吉安鄉東海三街4號
SNA00008,南昌村,花蓮縣吉安鄉南昌路78號,23.969712,121.579941,B1,1371.0,吉安分局,,花蓮縣吉安鄉南昌路78號
SNA00009,東昌村,花蓮縣吉安鄉東海十一街1號,23.965087,121.592419,B1,816.0,吉安分局,,花蓮縣吉安鄉東海十一街1號
SNA00010,宜昌村,花蓮縣吉安鄉中華路二段183號,23.973358,121.581406,B1,178.0,吉安分局,,花蓮縣吉安鄉中華路二段183號
SNA00011,南昌村,花蓮縣吉安鄉南昌北路68號,23.969173,121.582267,B1,538.0,吉安分局,,花蓮縣吉安鄉南昌北路68號
SNA00012,仁里村,花蓮縣吉安鄉南埔八街52-1號,23.969339,121.590932,B1,440.0,吉安分局,,花蓮縣吉安鄉南埔八街52-1號
SNA00013,仁里村,花蓮縣吉安鄉中山路一段222號,23.969221,121.586352,B2,1914.0,吉安分局,,花蓮縣吉安鄉中山路一段222號
SNA00014,宜昌村,花蓮縣吉安鄉中山路二段116號,23.972812,121.580297,B1,92.0,吉安分局,,花蓮縣吉安鄉中山路二段116號
SNA00015,宜昌村,花蓮縣吉安鄉中山路二段118號,23.972833,121.580253,B1,100.0,吉安分局,,花蓮縣吉安鄉中山路二段118號
SNA00016,宜昌村,花蓮縣吉安鄉中山路二段120號,23.972854,121.580211,B1,92.0,吉安分局,,花蓮縣吉安鄉中山路二段120號
SNA00017,宜昌村,花蓮縣吉安鄉中華路二段48號,23.974176,121.587113,B1,166.0,吉安分局,,花蓮縣吉安鄉中華路二段48號
SNA00018,宜昌村,花蓮縣吉安鄉南山一街12號,23.974779,121.583191,B1,150.0,吉安分局,,花蓮縣吉安鄉南山一街12號
SNA00019,宜昌村,花蓮縣吉安鄉中華路二段169號,23.973433,121.582331,B1,258.0,吉安分局,,花蓮縣吉安鄉中華路二段169號
SNA00020,宜昌村,花蓮縣吉安鄉宜昌七街24號,23.972431,121.581564,B1,58.0,吉安分局,,花蓮縣吉安鄉宜昌七街24號
SNA00021,仁里村,花蓮縣吉安鄉中正路一段48號,23.967454,121.592833,B1,133.0,吉安分局,,花蓮縣吉安鄉中正路一段48號
