電腦編號,座落,緯度,經度,地下樓層數,可容納人數,管轄分局,placemark_address
TNA0005,宜蘭縣三星鄉大隱村大埔六路108巷16號,24.6734423,121.7135941,1.0,664,三星分局,"靖靈宮 TNA0005 宜蘭縣三星鄉大隱村大埔六路108巷16號 664"
TNA0006,宜蘭縣三星鄉大隱村大埔中路260號,24.6675639,121.709634,1.0,225,三星分局,"中華電信 TNA0006 宜蘭縣三星鄉大隱村大埔中路260號 225"
TNA0001,宜蘭縣三星鄉集慶村三星路四段143號,24.6678954,121.6600729,1.0,86,三星分局,"企懋股份有限公司 TNA0001 宜蘭縣三星鄉集慶村三星路四段143號 86"
TNA0002,宜蘭縣三星鄉義德村三星路5段192號,24.6659111,121.649426,1.0,104,三星分局,"三星基督長老教會 TNA0002 宜蘭縣三星鄉義德村三星路5段192號 104"
TNA0003,宜蘭縣三星鄉義德村中山路二段41號,24.6684671,121.6523883,1.0,413,三星分局,"三星地區農會本部 TNA0003 宜蘭縣三星鄉義德村中山路二段41號 413"
TNA0004,宜蘭縣三星鄉月眉村星中路225號 ,24.6699475,121.6614754,1.0,249,三星分局,"三升農機科技股份有限公司 TNA0004 宜蘭縣三星鄉月眉村星中路225號  249"
TOA0001,宜蘭縣礁溪鄉大忠村礁溪路四段135號,24.8214103,121.7695196,1.0,409,礁溪分局,"礁溪國小 TOA0001 宜蘭縣礁溪鄉大忠村礁溪路四段135號 409"
TOA0002,宜蘭縣礁溪鄉大忠村和平路47號 ,24.8227586,121.7683031,1.0,435,礁溪分局,"和平大樓 TOA0002 宜蘭縣礁溪鄉大忠村和平路47號  435"
TOA0004,宜蘭縣礁溪鄉德陽村溫泉路51-1號,24.828179,121.773906,1.0,304,礁溪分局,"瑞德童話藝宿 TOA0004 宜蘭縣礁溪鄉德陽村溫泉路51-1號 304"
TOA0005,宜蘭縣礁溪鄉德陽村德陽路8巷1號,24.8283202,121.7723486,1.0,213,礁溪分局,"台灣菸酒公賣局配銷所 TOA0005 宜蘭縣礁溪鄉德陽村德陽路8巷1號 213"
TOA0006,宜蘭縣礁溪鄉玉石村公園路1號 ,24.8295513,121.7764615,1.0,276,礁溪分局,"帥王飯店 TOA0006 宜蘭縣礁溪鄉玉石村公園路1號  276"
TOA0007,宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號,24.82509,121.76439,1.0,1577,礁溪分局,"礁溪別府 TOA0007 宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號 1577"
TOA0008,宜蘭縣礁溪鄉德陽村德陽路247巷10號,24.826032,121.764331,1.0,993,礁溪分局,"帝國溫泉山莊 TOA0008 宜蘭縣礁溪鄉德陽村德陽路247巷10號 993"
TOA0009,宜蘭縣礁溪鄉德陽村德陽路66巷1號,24.8300001,121.770233,1.0,1170,礁溪分局,"碧富邑大樓 TOA0009 宜蘭縣礁溪鄉德陽村德陽路66巷1號 1170"
TOA0010,宜蘭縣礁溪鄉德陽村德陽路90巷12號 ,24.8291761,121.7689,1.0,436,礁溪分局,"大樓 TOA0010 宜蘭縣礁溪鄉德陽村德陽路90巷12號  436"
TOA0011,宜蘭縣礁溪鄉大忠村礁溪路4段129號,24.8206314,121.7691124,1.0,564,礁溪分局,"杏和醫院 TOA0011 宜蘭縣礁溪鄉大忠村礁溪路4段129號 564"
TOA0012,宜蘭縣礁溪鄉德陽村德陽路221號 ,24.826795,121.765076,1.0,485,礁溪分局,"翠堤畫世紀大廈 TOA0012 宜蘭縣礁溪鄉德陽村德陽路221號  485"
TOA0013,宜蘭縣礁溪鄉大忠村礁溪路4段108號 ,24.8202789,121.7694026,1.0,564,礁溪分局,"大樓 TOA0013 宜蘭縣礁溪鄉大忠村礁溪路4段108號  564"
TOA0015,宜蘭縣礁溪鄉玉石村忠孝路8號,24.8295364,121.7718989,1.0,873,礁溪分局,"香檳大飯店 TOA0015 宜蘭縣礁溪鄉玉石村忠孝路8號 873"
TOA0016,宜蘭縣礁溪鄉六結村中山路二段3號,24.8235251,121.7712478,1.0,1176,礁溪分局,"礁溪鄉公所 TOA0016 宜蘭縣礁溪鄉六結村中山路二段3號 1176"
TOA0017,宜蘭縣礁溪鄉德陽村溫泉路53號 ,24.8279498,121.7737093,2.0,1181,礁溪分局,"礁溪巨星大廈 TOA0017 宜蘭縣礁溪鄉德陽村溫泉路53號  1181"
TOA0018,宜蘭縣礁溪鄉德陽村德陽路111巷16號,24.82845,121.76913,1.0,2561,礁溪分局,"溫泉世家第一期 TOA0018 宜蘭縣礁溪鄉德陽村德陽路111巷16號 2561"
TOA0020,宜蘭縣礁溪鄉大忠村化龍街22號 ,24.8228365,121.7671314,1.0,287,礁溪分局,"大樓 TOA0020 宜蘭縣礁溪鄉大忠村化龍街22號  287"
TOA0021,宜蘭縣礁溪鄉大忠村五峰路69號,24.8281759,121.7555617,2.0,643,礁溪分局,"礁溪老爺飯店 TOA0021 宜蘭縣礁溪鄉大忠村五峰路69號 643"
TOA0022,宜蘭縣礁溪鄉大忠村和平路93號 ,24.823077,121.767035,1.0,734,礁溪分局,"大欣翠堤大廈 TOA0022 宜蘭縣礁溪鄉大忠村和平路93號  734"
TOA0023,宜蘭縣礁溪鄉大忠村化龍街1號,24.8209259,121.7667129,1.0,737,礁溪分局,"溫泉之戀大廈 TOA0023 宜蘭縣礁溪鄉大忠村化龍街1號 737"
TOA0024,宜蘭縣礁溪鄉大忠村大忠路125號 ,24.8211981,121.766194,1.0,451,礁溪分局,"溪泉名廈 TOA0024 宜蘭縣礁溪鄉大忠村大忠路125號  451"
TOA0025,宜蘭縣礁溪鄉大忠村和平路110號 ,24.8234005,121.7667162,1.0,2130,礁溪分局,"蘭陽加州大廈 TOA0025 宜蘭縣礁溪鄉大忠村和平路110號  2130"
