建築物名稱,縣(市),鄉鎮市區,村里別,地址,避難樓層,"防空避難 設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,"建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",緯經度,備註
sunny住宅大樓,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮和平街79號,B01,405.0,0.0,450.0,竹南分局,1091215.0,1091215.0,"24.686681360093367, 120.87762558425827",
照南國中,苗栗縣,竹南鎮,佳興里,苗栗縣竹南鎮公教路2號,B01,305.0,0.0,338.0,竹南分局,1091215.0,1091215.0,"24.694257333378776, 120.87604599775278",
竹南高中,苗栗縣,竹南鎮,正南里,苗栗縣竹南鎮中正路98號,B01,650.0,0.0,722.0,竹南分局,1091215.0,1091215.0,"24.684408592697526, 120.87465939775271",
住宅大樓,苗栗縣,竹南鎮,山佳里,苗栗縣竹南鎮龍山路三段142號,B01,3040.0,0.0,3377.0,竹南分局,1091215.0,1091215.0,"24.70250312507067, 120.87992958425842",
恩德科技公司,苗栗縣,後龍鎮,埔頂里,苗栗縣後龍鎮中華路1498之2號,B01,26.0,0.0,28.0,竹南分局,870623.0,870623.0,"24.62593907741062, 120.81719895501972",
鼎元光電公司,苗栗縣,竹南鎮,崎頂里,苗栗縣竹南鎮仁愛路1387號,B01,1042.0,0.0,1157.0,竹南分局,1091215.0,1091215.0,"24.708853161685898, 120.88616802474188",
儒鴻企業,苗栗縣,後龍鎮,溪洲里,苗栗縣後龍鎮三好路39號,B01,422.0,0.0,468.0,竹南分局,870815.0,870815.0,"24.623017535285484, 120.77884069775196",
超豐電子,苗栗縣,竹南鎮,崎頂里,苗栗縣竹南鎮和興路358號,B01,5743.0,0.0,6381.0,竹南分局,1091215.0,1091215.0,"24.712603648049825, 120.8772024112475",
廣瀚開發,苗栗縣,竹南鎮,新南里,苗栗縣竹南鎮勝利街36號,B01,202.0,0.0,224.0,竹南分局,1091215.0,1091215.0,"24.69361002999827, 120.88416912658802",
民景企業,苗栗縣,竹南鎮,山佳里,苗栗縣竹南鎮公義路230巷6號,B01,501.0,0.0,556.0,竹南分局,1091215.0,1091215.0,"24.699591866049165, 120.88380038425834",
