地址,經度,緯度,編號,里別,避難所在之地下樓層數,可容納人數,轄管分局
臺中市清水區神清路6-1號,"120.634675 ","24.276556 ",JA00001,東山里,1.0,32.0,清水分局
臺中市清水區鰲海路325號,"120.609371 ","24.292482 ",JA00002,楊厝里,1.0,60.0,清水分局
臺中市清水區鰲海路325號,"120.609371 ","24.292482 ",JA00003,楊厝里,1.0,149.0,清水分局
臺中市清水區吳厝路35號,"120.602745 ","24.267376 ",JA00004,吳厝里,1.0,22.0,清水分局
臺中市清水區海風二街326巷26號,"120.615269 ","24.295523 ",JA00005,海風里,1.0,178.0,清水分局
臺中市清水區和睦路2段118號,"120.625371 ","24.293084 ",JA00006,海風里,1.0,367.0,清水分局
臺中市清水區神清路86號之20,"120.630718 ","24.291400 ",JA00007,海風里,1.0,201.0,清水分局
臺中市清水區海濱路230號之2,"120.557325 ","24.279992 ",JB00018,武鹿里,1.0,13.0,清水分局
臺中市清水區海濱路232號之20,"120.556913 ","24.279916 ",JB00019,武鹿里,1.0,13.0,清水分局
臺中市清水區海濱路232號之21,"120.556913 ","24.279915 ",JB00020,武鹿里,1.0,13.0,清水分局
臺中市清水區海濱路232號之23,"120.556914 ","24.279915 ",JB00021,武鹿里,1.0,13.0,清水分局
臺中市清水區海濱路245號,"120.555253 ","24.279781 ",JB00022,武鹿里,1.0,13.0,清水分局
臺中市清水區臨港路5段788號,"120.539964 ","24.288409 ",JB00031,海濱里,1.0,76.0,清水分局
臺中市清水區文興路380號,"120.541054 ","24.287817 ",JB00032,海濱里,1.0,72.0,清水分局
臺中市清水區文興路386號,"120.541082 ","24.287898 ",JB00033,海濱里,1.0,72.0,清水分局
臺中市清水區文興路301巷78號,"120.540659 ","24.288353 ",JB00034,海濱里,1.0,56.0,清水分局
臺中市清水區文興路301巷59號,"120.540306 ","24.288334 ",JB00036,海濱里,1.0,68.0,清水分局
臺中市清水區港埠路4段195號,"120.548726 ","24.283201 ",JB00041,海濱里,1.0,111.0,清水分局
臺中市清水區港新五路205號,"120.539215 ","24.268828 ",JB00042,槺榔里,1.0,1211.0,清水分局
臺中市清水區港都二路105號,"120.538736 ","24.268744 ",JB00043,槺榔里,1.0,2605.0,清水分局
臺中市清水區民族路二段730號之5,"120.547100 ","24.267529 ",JB00044,槺榔里,1.0,553.0,清水分局
臺中市清水區港埠路三段209號,"120.543374 ","24.267319 ",JB00045,槺榔里,1.0,1851.0,清水分局
臺中市清水區港新三路30號,"120.541981 ","24.266924 ",JB00046,槺榔里,1.0,2625.0,清水分局
臺中市清水區港都三路128號,"120.536624 ","24.269483 ",JB00047,槺榔里,1.0,1329.0,清水分局
臺中市清水區中清路九段152號之13,"120.564727 ","24.271669 ",JB00048,秀水里,1.0,211.0,清水分局
臺中市清水區民族路三段55號,"120.542184 ","24.268766 ",JB00049,槺榔里,1.0,1063.0,清水分局
臺中市清水區鰲峰路621號,"120.545592 ","24.263328 ",JB00051,槺榔里,1.0,218.0,清水分局
臺中市清水區港都路153號,"120.536902 ","24.268862 ",JB00052,槺榔里,1.0,4284.0,清水分局
臺中市清水區港都五路25號,"120.534090 ","24.269007 ",JB00053,槺榔里,1.0,1170.0,清水分局
臺中市清水區民族路三段117號,"120.539865 ","24.269584 ",JB00054,槺榔里,1.0,2313.0,清水分局
臺中市清水區港新三路33號,"120.541730 ","24.266800 ",JB00055,槺榔里,1.0,2252.0,清水分局
臺中市清水區中社路46之150號,"120.552275 ","24.273896 ",JB00056,秀水里,1.0,685.0,清水分局
臺中市清水區中央路23之12號,"120.545788 ","24.264089 ",JB00057,槺榔里,1.0,593.0,清水分局
臺中市清水區鰲峰路583之1號,"120.549730 ","24.264616 ",JB00058,槺榔里,1.0,567.0,清水分局
臺中市清水區中央路51之60號,"120.554024 ","24.276710 ",JB00059,武鹿里,1.0,1272.0,清水分局
臺中市清水區鎮政路99巷7號,"120.560208 ","24.267988 ",JB00060,中社里,1.0,2598.0,清水分局
臺中市清水區中央路51之60號,"120.554024 ","24.276710 ",JB00061,武鹿里,1.0,910.0,清水分局
臺中市清水區忠貞路19號,"120.558520 ","24.270940 ",JB00062,中社里,1.0,620.0,清水分局
臺中市清水區鎮政路100號,"120.557787 ","24.270004 ",JB00063,中社里,1.0,4316.0,清水分局
臺中市清水區忠貞東街68號,"120.559748 ","24.271891 ",JB00064,中社里,1.0,1323.0,清水分局
臺中市清水區建國路132號,"120.559422 ","24.271585 ",JB00065,中社里,1.0,6409.0,清水分局
臺中市清水區建國路122號,"120.559459 ","24.270155 ",JB00066,中社里,1.0,11826.0,清水分局
臺中市清水區中央路23之12號,"120.545788 ","24.264089 ",JB00067,槺榔里,1.0,161.0,清水分局
臺中市清水區中央路23之12號,"120.545788 ","24.264089 ",JB00068,槺榔里,1.0,109.0,清水分局
臺中市清水區中央路23之12號,"120.545788 ","24.264089 ",JB00069,槺榔里,1.0,109.0,清水分局
臺中市清水區海濱路231號,"120.557219 ","24.279178 ",JB00070,武鹿里,1.0,371.0,清水分局
臺中市清水區海濱路231號,"120.557219 ","24.279178 ",JB00071,武鹿里,1.0,153.0,清水分局
臺中市清水區海濱路231號,"120.557219 ","24.279178 ",JB00072,武鹿里,1.0,1046.0,清水分局
臺中市清水區民安路281號,"120.548654 ","24.263119 ",JB00073,槺榔里,1.0,286.0,清水分局
臺中市清水區大勇路120號,"120.536693 ","24.267157 ",JB00074,槺榔里,1.0,5835.0,清水分局
臺中市清水區鎮政路101號,"120.559717 ","24.268156 ",JB00075,中社里,1.0,788.0,清水分局
臺中市清水區中清路9段538巷6號,"120.556655 ","24.274298 ",JB00076,武鹿里,1.0,2926.0,清水分局
臺中市清水區民族路3段79號,"120.541631 ","24.269002 ",JB00078,槺榔里,1.0,1432.0,清水分局
臺中市清水區港都路1號,"120.541079 ","24.267508 ",JB00079,槺榔里,1.0,2294.0,清水分局
臺中市梧棲區中央路二段307號之4,"120.540930 ","24.256833 ",JC00001,南簡里,1.0,21.0,清水分局
臺中市梧棲區中央路二段307號之2,"120.540951 ","24.256666 ",JC00002,南簡里,1.0,21.0,清水分局
臺中市梧棲區中央路二段321號,"120.541415 ","24.257880 ",JC00003,南簡里,1.0,55.0,清水分局
臺中市梧棲區中央路二段319號,"120.541313 ","24.257785 ",JC00004,南簡里,1.0,70.0,清水分局
臺中市梧棲區中央路二段316號之3,"120.541869 ","24.257955 ",JC00005,南簡里,1.0,22.0,清水分局
臺中市梧棲區中央路二段316號之2,"120.541879 ","24.257965 ",JC00006,南簡里,1.0,22.0,清水分局
