類別,建築物名稱,電腦編號,村里別,緯、經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,"unnamed (1)"
公寓,衡陽路85號華廈,EPA00001,明德里,"24.950582,121.23164",1.0,211,中壢分局,,普仁所,
透天,富麗材料有限公司(中壢),EPA00002,普強里,"24.951328,121.238282",1.0,511,中壢分局,V,普仁所,
大樓,香格里拉大廈,EPA00007,仁義里,"24.964967,121.235731",2.0,2463,中壢分局,V,普仁所,
教育機構,東興國中,EPA00009,明德里,"24.94984,121.23001",1.0,1166,中壢分局,,普仁所,
公寓,萬寶鎮,EPA00010,龍昌里,"24.935794,121.249231",1.0,466,中壢分局,,龍興所,
公寓,萬寶鎮,EPA00011,龍昌里,"24.936073,121.249362",1.0,577,中壢分局,,龍興所,
大樓,金龍大第,EPA00014,龍興里,"24.940459,121.230859",1.0,666,中壢分局,,龍興所,
透天,南亞都會精品,EPA00016,龍東里,"24.935118,121.249495",1.0,138,中壢分局,V,龍興所,
大樓,萬寶鎮,EPA00017,龍昌里,"24.936658,121.247719",1.0,933,中壢分局,,龍興所,
透天,,EPA00020,普強里,"24.950211,121.237413",1.0,200,中壢分局,,普仁所,
大樓,甜蜜世界,EPA00021,明德里,"24.947741,121.232461",1.0,2709,中壢分局,V,普仁所,
大樓,邦國建設永福路華廈,EPA00022,中興里,"24.961753,121.255499",1.0,569,中壢分局,V,自強所,
大樓,原貴,EPA00025,普忠里,"24.95698,121.236019",2.0,798,中壢分局,V,普仁所,
公寓,,EPA00029,普義里,"24.959371,121.230324",1.0,162,中壢分局,,普仁所,
大樓,宜欣園,EPA00031,明德里,"24.947227,121.232373",1.0,662,中壢分局,V,普仁所,
透天,建堃五金行,EPA00034,仁義里,"24.963888,121.232939",1.0,177,中壢分局,,普仁所,
透天,慶昌機械五金,EPA00035,仁義里,"24.963851,121.233031",1.0,175,中壢分局,,普仁所,
透天,林宅,EPA00037,龍興里,"24.934164,121.23642",1.0,31,中壢分局,,龍興所,
透天,,EPA00038,信義里,"24.951362,121.233844",1.0,32,中壢分局,,普仁所,
透天,安安小兒科診所,EPA00039,明德里,"24.945842,121.229384",1.0,26,中壢分局,,普仁所,
公寓,南雄街25號華廈,EPA00041,明德里,"24.948264,121.233233",1.0,28,中壢分局,,普仁所,
大樓,台灣主婦聯盟生活消費合作社,EPA00042,信義里,"24.953097,121.233147",1.0,661,中壢分局,V,普仁所,
公寓,新中一街12號華廈,EPA00043,普忠里,"24.959697,121.243564",1.0,316,中壢分局,V,普仁所,
透天,振誠五金商行,EPA00044,普強里,"24.954597,121.236872",1.0,247,中壢分局,,普仁所,
公寓,,EPA00045,普強里,"24.954141,121.236958",1.0,414,中壢分局,V,普仁所,
透天,,EPA00047,信義里,"24.950409,121.230717",1.0,185,中壢分局,V,普仁所,
透天,,EPA00048,信義里,"24.950449,121.231626",1.0,265,中壢分局,,普仁所,
透天,,EPA00052,正義里,"24.955145,121.230528",1.0,22,中壢分局,,普仁所,
透天,,EPA00053,普仁里,"24.956426,121.235989",1.0,66,中壢分局,,普仁所,
透天,,EPA00056,仁義里,"24.961037,121.232014",1.0,66,中壢分局,,普仁所,
透天,,EPA00057,正義里,"24.95395,121.230862",1.0,17,中壢分局,,普仁所,
透天,,EPA00059,普強里,"24.953367,121.238878",1.0,27,中壢分局,V,普仁所,
透天,,EPA00060,普強里,"24.953098,121.239202",1.0,27,中壢分局,V,普仁所,
透天,,EPA00061,普強里,"24.95282,121.239303",1.0,28,中壢分局,V,普仁所,
透天,,EPA00062,普仁里,"24.952326,121.241053",1.0,88,中壢分局,,普仁所,
透天,吳宅,EPA00065,龍東里,"24.937919,121.257994",1.0,22,中壢分局,,龍興所,
透天,,EPA00068,明德里,"24.949616,121.231682",1.0,58,中壢分局,,普仁所,
透天,,EPA00073,普仁里,"24.953178,121.240004",1.0,77,中壢分局,,普仁所,
透天,,EPA00074,正義里,"24.95429,121.230757",1.0,15,中壢分局,,普仁所,
透天,,EPA00077,信義里,"24.953186,121.233208",1.0,105,中壢分局,,普仁所,
透天,,EPA00078,信義里,"24.953172,121.233095",1.0,111,中壢分局,,普仁所,
透天,,EPA00080,正義里,"24.954441,121.232794",1.0,44,中壢分局,,普仁所,
透天,,EPA00081,正義里,"24.954293,121.232223",1.0,33,中壢分局,,普仁所,
透天,,EPA00085,信義里,"24.954293,121.232223",1.0,26,中壢分局,,普仁所,
透天,,EPA00086,正義里,"24.953467,121.230185",1.0,25,中壢分局,,普仁所,
透天,,EPA00089,正義里,"24.954227,121.230959",1.0,17,中壢分局,,普仁所,
透天,,EPA00095,正義里,"24.954603,121.233079",1.0,30,中壢分局,,普仁所,
透天,,EPA00097,德義里,"24.955626,121.228278",1.0,15,中壢分局,V,普仁所,
公寓,,EPA00098,德義里,"24.95617,121.224888",1.0,232,中壢分局,V,普仁所,
透天,,EPA00100,正義里,"24.953113,121.231527",1.0,33,中壢分局,,普仁所,
透天,,EPA00101,信義里,"24.95273,121.2326",1.0,26,中壢分局,,普仁所,
透天,,EPA00102,信義里,"24.951442,121.233111",1.0,14,中壢分局,,普仁所,
透天,,EPA00104,明德里,"24.949262,121.232447",1.0,53,中壢分局,,普仁所,
透天,,EPA00105,信義里,"24.949829,121.233623",1.0,33,中壢分局,,普仁所,
透天,,EPA00107,普仁里,"24.954775,121.238856",1.0,27,中壢分局,,普仁所,
透天,,EPA00109,普強里,"24.952742,121.237685",1.0,37,中壢分局,,普仁所,
透天,,EPA00111,普忠里,"24.956017,121.240277",1.0,133,中壢分局,,普仁所,
透天,,EPA00112,後寮里,"24.942642,121.236817",1.0,43,中壢分局,V,普仁所,
透天,,EPA00123,正義里,"24.953919,121.230508",1.0,18,中壢分局,,普仁所,
透天,,EPA00124,正義里,"24.953934,121.230898",1.0,18,中壢分局,,普仁所,
透天,江中醫診所,EPA00127,健行里,"24.949517,121.224175",1.0,151,中壢分局,,中壢所,
透天,,EPA00128,普仁里,"24.955357,121.240077",1.0,138,中壢分局,,普仁所,
公寓,,EPA00129,普義里,"24.96106,121.231085",1.0,208,中壢分局,V,普仁所,
透天,,EPA00130,信義里,"24.952124,121.232604",1.0,28,中壢分局,,普仁所,
透天,,EPA00132,信義里,"24.952386,121.231402",1.0,26,中壢分局,,普仁所,
透天,,EPA00134,普忠里,"24.954746,121.242498",1.0,64,中壢分局,,普仁所,
透天,,EPA00135,明德里,"24.948839,121.229917",1.0,50,中壢分局,,普仁所,
透天,,EPA00136,普仁里,"24.954259,121.239036",1.0,70,中壢分局,V,普仁所,
透天,,EPA00138,正義里,"24.951746,121.228863",1.0,51,中壢分局,V,普仁所,
透天,,EPA00141,普仁里,"24.954167,121.242211",1.0,127,中壢分局,,普仁所,
透天,,EPA00142,信義里,"24.95238,121.233363",1.0,32,中壢分局,,普仁所,
透天,,EPA00143,普仁里,"24.953372,121.242414",1.0,133,中壢分局,,普仁所,
透天,袁宅,EPA00149,龍平里,"24.929247,121.253253",1.0,21,中壢分局,,龍興所,
透天,,EPA00151,普仁里,"24.954256,121.239903",1.0,72,中壢分局,,普仁所,
透天,,EPA00152,普仁里,"24.955282,121.240689",1.0,66,中壢分局,,普仁所,
透天,,EPA00153,普忠里,"24.956113,121.240814",1.0,100,中壢分局,,普仁所,
透天,,EPA00154,明德里,"24.947898,121.234231",1.0,41,中壢分局,,普仁所,
透天,,EPA00155,普義里,"24.960332,121.231067",1.0,43,中壢分局,V,普仁所,
透天,,EPA00156,明德里,"24.945843,121.229604",1.0,38,中壢分局,,普仁所,
透天,,EPA00158,正義里,"24.951491,121.229582",1.0,28,中壢分局,,普仁所,
透天,,EPA00159,信義里,"24.952379,121.232624",1.0,48,中壢分局,,普仁所,
透天,,EPA00160,普仁里,"24.955236,121.240728",1.0,111,中壢分局,,普仁所,
透天,,EPA00162,信義里,"24.952818,121.234184",1.0,26,中壢分局,,普仁所,
透天,中原豪景,EPA00163,仁義里,"24.958693,121.236547",1.0,94,中壢分局,,普仁所,
公寓,,EPA00164,普強里,"24.953792,121.236661",1.0,463,中壢分局,V,普仁所,
公寓,儒林園,EPA00165,普仁里,"24.95446,121.239344",1.0,616,中壢分局,,普仁所,
透天,,EPA00166,普仁里,"24.954388,121.239485",1.0,94,中壢分局,,普仁所,
透天,,EPA00168,明德里,"24.945087,121.22991",1.0,31,中壢分局,,普仁所,
透天,,EPA00170,仁義里,"24.96022,121.232502",1.0,35,中壢分局,,普仁所,
透天,,EPA00171,後寮里,"24.942819,121.248309",1.0,111,中壢分局,,普仁所,
公寓,,EPA00172,明德里,"24.946524,121.230056",1.0,333,中壢分局,,普仁所,
透天,,EPA00173,信義里,"24.951428,121.233776",1.0,28,中壢分局,,普仁所,
透天,許宅,EPA00176,龍興里,"24.934299,121.236232",1.0,22,中壢分局,,龍興所,
透天,戴宅,EPA00177,龍興里,"24.934268,121.236344",1.0,44,中壢分局,,龍興所,
透天,,EPA00179,普強里,"24.952091,121.236559",1.0,22,中壢分局,,普仁所,
透天,,EPA00180,普忠里,"24.955246,121.24349",1.0,255,中壢分局,,普仁所,
透天,,EPA00182,普忠里,"24.954581,121.24254",1.0,66,中壢分局,,普仁所,
透天,黃宅,EPA00184,龍興里,"24.934382,121.236084",1.0,22,中壢分局,,龍興所,
透天,張王宅,EPA00185,龍興里,"24.934242,121.236226",1.0,58,中壢分局,,龍興所,
透天,余宅,EPA00186,龍興里,"24.934403,121.236272",1.0,20,中壢分局,,龍興所,
透天,許宅,EPA00187,龍興里,"24.934387,121.236225",1.0,21,中壢分局,,龍興所,
透天,鍾宅,EPA00189,龍平里,"24.930132,121.253737",1.0,40,中壢分局,,龍興所,
透天,,EPA00190,正義里,"24.953999,121.231445",1.0,28,中壢分局,,普仁所,
透天,,EPA00193,明德里,"24.950365,121.230803",1.0,34,中壢分局,,普仁所,
透天,,EPA00194,明德里,"24.945138,121.229874",1.0,27,中壢分局,,普仁所,
透天,,EPA00197,明德里,"24.950492,121.230781",1.0,25,中壢分局,,普仁所,
教育機構,東興國中,EPA00198,明德里,"24.950079,121.229969",1.0,395,中壢分局,,普仁所,
透天,,EPA00200,普仁里,"24.956269,121.235698",1.0,88,中壢分局,,普仁所,
大樓,,EPA00201,普仁里,"24.953249,121.240689",1.0,708,中壢分局,V,普仁所,
透天,,EPA00203,普強里,"24.950703,121.237941",1.0,31,中壢分局,,普仁所,
透天,,EPA00206,信義里,"24.950884,121.235013",1.0,168,中壢分局,,普仁所,
透天,,EPA00207,普仁里,"24.955775,121.238296",1.0,38,中壢分局,V,普仁所,
透天,,EPA00208,普強里,"24.95435,121.236935",1.0,36,中壢分局,,普仁所,
透天,,EPA00209,普仁里,"24.953485,121.239982",1.0,61,中壢分局,,普仁所,
透天,,EPA00210,普強里,"24.954526,121.236883",1.0,26,中壢分局,,普仁所,
透天,,EPA00211,仁義里,"24.964004,121.232939",1.0,168,中壢分局,,普仁所,
透天,,EPA00213,普仁里,"24.954867,121.23736",1.0,46,中壢分局,,普仁所,
透天,,EPA00215,普仁里,"24.954886,121.237325",1.0,44,中壢分局,,普仁所,
透天,,EPA00217,普強里,"24.954593,121.237007",1.0,25,中壢分局,,普仁所,
透天,,EPA00219,普忠里,"24.956268,121.240544",1.0,31,中壢分局,V,普仁所,
透天,,EPA00221,普強里,"24.95357,121.237747",1.0,34,中壢分局,,普仁所,
透天,,EPA00222,普強里,"24.953586,121.237698",1.0,28,中壢分局,,普仁所,
透天,,EPA00224,信義里,"24.952406,121.232698",1.0,111,中壢分局,,普仁所,
透天,,EPA00225,正義里,"24.953547,121.230309",1.0,36,中壢分局,,普仁所,
透天,,EPA00226,正義里,"24.952577,121.230062",1.0,26,中壢分局,,普仁所,
透天,,EPA00228,信義里,"24.951164,121.231025",1.0,60,中壢分局,,普仁所,
透天,,EPA00229,信義里,"24.953078,121.232724",1.0,26,中壢分局,,普仁所,
透天,,EPA00235,明德里,"24.949171,121.231221",1.0,37,中壢分局,,普仁所,
透天,李宅,EPA00237,龍平里,"24.928698,121.251216",1.0,28,中壢分局,,龍興所,
透天,,EPA00239,信義里,"24.953755,121.233308",1.0,47,中壢分局,,普仁所,
透天,,EPA00240,信義里,"24.952212,121.231744",1.0,27,中壢分局,,普仁所,
大樓,,EPA00241,德義里,"24.956979,121.232064",1.0,694,中壢分局,V,普仁所,
透天,,EPA00246,普仁里,"24.954192,121.240655",1.0,50,中壢分局,,普仁所,
透天,,EPA00248,普仁里,"24.953818,121.240764",1.0,94,中壢分局,,普仁所,
透天,,EPA00253,普仁里,"24.952479,121.241133",1.0,38,中壢分局,,普仁所,
透天,,EPA00254,普仁里,"24.952703,121.241463",1.0,22,中壢分局,V,普仁所,
透天,,EPA00255,普強里,"24.953589,121.237672",1.0,36,中壢分局,,普仁所,
透天,,EPA00258,普仁里,"24.953536,121.240257",1.0,38,中壢分局,,普仁所,
透天,,EPA00259,正義里,"24.954345,121.231217",1.0,64,中壢分局,,普仁所,
透天,,EPA00264,信義里,"24.951946,121.231374",1.0,33,中壢分局,,普仁所,
透天,,EPA00267,正義里,"24.95135,121.229607",1.0,37,中壢分局,,普仁所,
大樓,陳宅,EPA00271,龍平里,"24.931872,121.257198",1.0,1083,中壢分局,V,龍興所,
透天,江巫宅,EPA00272,新興里,"24.94384,121.223086",1.0,122,中壢分局,,龍興所,
電信,交通部電信局,EPA00275,至善里,"24.94476,121.248459",1.0,903,中壢分局,V,龍興所,機敏單位
教育機構,中原大學,EPA00283,普忠里,"24.957731,121.240549",1.0,1384,中壢分局,V,普仁所,
透天,,EPA00287,明德里,"24.949818,121.232799",1.0,61,中壢分局,V,普仁所,
透天,,EPA00288,明德里,"24.948496,121.232597",1.0,41,中壢分局,V,普仁所,
透天,,EPA00294,明德里,"24.946551,121.231298",1.0,44,中壢分局,,普仁所,
透天,劉宅,EPA00295,新興里,"24.953175,121.231588",1.0,30,中壢分局,,龍興所,
透天,,EPA00296,信義里,"24.950923,121.233787",1.0,26,中壢分局,,普仁所,
透天,,EPA00298,明德里,"24.947759,121.233246",1.0,45,中壢分局,,普仁所,
透天,,EPA00300,德義里,"24.958406,121.232192",1.0,148,中壢分局,,普仁所,
透天,,EPA00303,普仁里,"24.952553,121.241311",1.0,27,中壢分局,,普仁所,
公寓,,EPA00307,德義里,"24.957607,121.231677",1.0,283,中壢分局,V,普仁所,
透天,,EPA00309,明德里,"24.949932,121.23305",1.0,50,中壢分局,V,普仁所,
