類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
桔運青山社區,DA02000001,華南里,新北市中和區華南里忠孝街2巷14弄1號,1,1349.0,南勢派出所,,121.51056,24.981181
大時代住辦大樓,DA02000002,興南里,新北市中和區興南里景新街328號,3,1404.0,南勢派出所,,121.51177,24.991045
磐石樓社區,DA02000004,華南里,新北市中和區華南里忠孝街26巷55號,1,1592.0,南勢派出所,,121.5116,24.981746
米蘭春天大廈,DA02000005,華新里,新北市中和區華新里工專路123號,2,592.0,南勢派出所,,121.50833,24.979257
奇蹟誠品,DA02000006,忠孝里,新北市中和區忠孝里忠孝街1巷53號,1,657.0,南勢派出所,,121.50841,24.984229
天天開心社區,DA02000007,華新里,新北市中和區華新里工專路167號,1,746.0,南勢派出所,,121.50831,24.978522
審計部,DA02000008,華新里,新北市中和區華新里華新街109巷9號,1,724.0,南勢派出所,,121.50878,24.981634
私人住宅大樓,DA02000009,東南里,新北市中和區東南里忠孝街55巷1號,2,148.0,南勢派出所,,121.51152,24.984501
私人住宅大樓,DA02000010,東南里,新北市中和區東南里忠孝街57號,1,192.0,南勢派出所,,121.51159,24.984615
私立竹林中學,DA02000011,華新里,新北市中和區華新里華新街143巷12號,1,726.0,南勢派出所,,121.50601,24.979921
奇蹟誠事私人住宅大樓,DA02000012,忠孝里,新北市中和區忠孝里華新街75號,2,2492.0,南勢派出所,,121.50833,24.983749
私人住宅大樓,DA02000013,忠孝里,新北市中和區忠孝里忠孝街21號,1,460.0,南勢派出所,,121.51028,24.982909
私人住宅大樓,DA02000015,忠孝里,新北市中和區忠孝里忠孝街3號1,1,183.0,南勢派出所,,121.50955,24.982938
錦繡年華,DA02000016,正南里,新北市中和區正南里華新街28號,5,3488.0,南勢派出所,,121.50765,24.984637
金如意社區,DA02000017,福南里,新北市中和區福南里興南路二段34巷12號,1,1433.0,南勢派出所,,121.50641,24.986089
十步芳草社區,DA02000018,華南里,新北市中和區華南里忠孝街2巷14弄12號,1,1113.0,南勢派出所,,121.51058,24.981377
私人住宅大樓,DA02000019,崇南里,新北市中和區崇南里景新街496巷17號,2,431.0,南勢派出所,,121.51342,24.98664
大地新象社區,DA02000020,內南里,新北市中和區內南里興南路二段142巷10號,1,993.0,南勢派出所,,121.50346,24.983627
地球村社區,DA02000021,崇南里,新北市中和區崇南里景新街498號,3,4511.0,南勢派出所,,121.51371,24.98692
私人住宅大樓,DA02000022,崇南里,新北市中和區崇南里景新街496巷26號,1,123.0,南勢派出所,,121.51335,24.986034
私人住宅大樓,DA02000023,華南里,新北市中和區華南里忠孝街24號,1,485.0,南勢派出所,,121.51055,24.982901
太和庭社區,DA02000025,華新里,新北市中和區華新里工專路147號,2,1367.0,南勢派出所,,121.50876,24.979236
興南國小,DA02000026,壽南里,新北市中和區壽南里興南路一段135巷24號,1,520.0,南勢派出所,,121.50921,24.987032
捷運之星社區,DA02000027,華新里,新北市中和區華新里華新街109巷5號,1,152.0,南勢派出所,,121.50926,24.982096
華夏科技大學,DA02000028,華新里,新北市中和區華新里工專路111號,1,4202.0,南勢派出所,,121.50773,24.980586
孩子王社區,DA02000029,福南里,新北市中和區福南里興南路2段2號,1,2785.0,南勢派出所,,121.50782,24.986424
私人住宅大樓耶魯社區,DA02000030,華新里,新北市中和區華新里華新街143巷46號,2,441.0,南勢派出所,,121.50626,24.979977
私人住宅大樓,DA02000031,頂南里,新北市中和區頂南里興南路二段159巷1之1號,1,335.0,南勢派出所,,121.50517,24.983537
私人住宅大樓之星社區,DA02000032,華新里,新北市中和區華新里華新街143巷116號,3,1065.0,南勢派出所,,121.50743,24.978374
和平世紀麗池社區,DA02000034,華南里,新北市中和區華南里忠孝街2巷10號,3,863.0,南勢派出所,,121.50957,24.981598
和平世紀麗晶社區,DA02000035,華南里,新北市中和區華南里忠孝街2巷2號,4,2645.0,南勢派出所,,121.50979,24.982437
捷運一品社區,DA02000036,崇南里,新北市中和區崇南里四維街27號,3,985.0,南勢派出所,,121.51282,24.986915
吉祥園社區,DA02000037,華南里,新北市中和區華南里忠孝街2巷14弄10號,1,70.0,南勢派出所,,121.51066,24.9814
金門新村社區,DA02000038,東南里,新北市中和區東南里興南一段85巷37號,1,2411.0,南勢派出所,,121.51051,24.987619
晶囍社區,DA02000039,東南里,新北市中和區東南里忠孝街37號,1,140.0,南勢派出所,,121.51061,24.983352
興南國小,DA02000040,壽南里,新北市中和區壽南里興南路一段135巷24號,1,1276.0,南勢派出所,,121.50921,24.987032
審計部,DA02000041,華新里,新北市中和區華新里華新街109巷9號,1,429.0,南勢派出所,,121.50878,24.981634
聽樹唱歌社區,DA02000042,崇南里,新北市中和區崇南里四維街30號,12,236.0,南勢派出所,,121.51272,24.98711
沐夏之靜社區,DA02000043,華新里,新北市中和區華新里華新街143巷69號,12,100.0,南勢派出所,,121.50748,24.978605
私人住宅大樓,DA02000044,忠孝里,新北市中和區忠孝里興南路一段93巷89弄3號,1,112.0,南勢派出所,,121.5108,24.986047
?捷晶華社區,DA02000045,崇南里,新北市中和區崇南里景新街468號,1,302.0,南勢派出所,,121.51363,24.987248
圓通雅筑宿舍,DA02000046,華新里,新北市中和區華新里工專路26號,1,815.0,南勢派出所,,121.5069,24.981092
香榭麗池社區,DA02000047,壽南里,新北市中和區壽南里南山路258號,12,1930.0,南勢派出所,,121.50768,24.988449
達永沐夏社區,DA02000048,華新里,新北市中和區華新里工專路66號,1,1290.0,南勢派出所,,121.50762,24.980137
漢寶之丘社區,DA02000049,華新里,新北市中和區華新里工專路126號,4,811.0,南勢派出所,,121.50797,24.979617
京雅集社區,DA02000050,崇南里,新北市中和區崇南里7鄰景新街450號,1,642.0,南勢派出所,,121.51329,24.987878
私人住宅大樓,DA02000051,壽南里,新北市中和區壽南里南山路260號,1,815.0,南勢派出所,,121.50761,24.988474
企業天下,DA04000001,枋寮里,新北市中和區枋寮里中和路59號,3,327.0,中和派出所,,121.50052,25.001199
四季花香,DA04000002,南山里,新北市中和區南山里南華路26號,2,1737.0,中和派出所,,121.50312,24.995864
華?新貴,DA04000003,福和里,新北市中和區福和里廣福路12號,2,211.0,中和派出所,,121.50561,25.002984
中和區衛生所,DA04000004,漳和里,新北市中和區漳和里南山路4巷3號,1,538.0,中和派出所,,121.50164,24.998692
第王社區,DA04000005,佳和里,新北市中和區佳和里中山路二段30號,1,777.0,中和派出所,,121.50455,25.005274
左岸社區,DA04000007,福美里,新北市中和區福美里福祥路127號,1,510.0,中和派出所,,121.49858,25.006947
凱國御花園,DA04000008,瓦?里,新北市中和區瓦?里保平路285號,2,579.0,中和派出所,,121.50666,25.003814
?喜園,DA04000009,福祥里,新北市中和區福祥里福祥路123號,1,134.0,中和派出所,,121.49863,25.006747
日光大道,DA04000010,新南里,新北市中和區新南里中正路78號,3,2438.0,中和派出所,,121.5005,24.993822
圓泰花園,DA04000011,新南里,新北市中和區新南里圓通路25號,2,797.0,中和派出所,,121.50126,24.997832
微風villa,DA04000015,瓦?里,新北市中和區瓦?里保平路326巷15號,1,93.0,中和派出所,,121.50652,25.004664
公寓,DA04000017,福美里,新北市中和區福美里勝利路35巷1弄24號,1,193.0,中和派出所,,121.49984,25.007665
和美吉地,DA04000018,廟美里,新北市中和區廟美里廟美街1號,1,494.0,中和派出所,,121.50072,25.001641
金玉南山,DA04000019,南山里,新北市中和區南山里南山路119號,1,500.0,中和派出所,,121.50215,24.997317
惜福b坐,DA04000020,福祥里,新北市中和區福祥里永和路8巷7號,2,1464.0,中和派出所,,121.5003,25.003141
好厝壹佰,DA04000021,南山里,新北市中和區南山里南山路89號,1,265.0,中和派出所,,121.50212,24.997957
景新雅苑,DA04000022,漳和里,新北市中和區漳和里景新街71號,1,98.0,中和派出所,,121.50492,24.998777
宏璽新世界社區,DA04000023,新南里,新北市中和區新南里景平路433號,2,4744.0,中和派出所,,121.50098,24.9957
漳和國中,DA04000024,枋寮里,新北市中和區枋寮里廣福路39號,1,533.0,中和派出所,,121.50553,25.002673
公寓,DA04000025,瓦?里,新北市中和區瓦?里水源路119號,1,63.0,中和派出所,,121.50816,25.003699
謙禧補習班,DA04000026,佳和里,新北市中和區佳和里中山路二段64巷12弄1號,1,24.0,中和派出所,,121.50367,25.005255
水源星座,DA04000027,瓦?里,新北市中和區瓦?里水源路93號,1,121.0,中和派出所,,121.50711,25.003523
桔第私人住宅大樓,DA04000028,南山里,新北市中和區南山里南山路81巷58號,1,663.0,中和派出所,,121.50393,24.998047
華南名人巷,DA04000029,新南里,新北市中和區新南里景平路429號,2,3205.0,中和派出所,,121.50139,24.995369
裕豐私人住宅大樓,DA04000030,福祥里,新北市中和區福祥里永和路16號,2,1504.0,中和派出所,,121.49973,25.003363
霧之橘,DA04000031,新南里,新北市中和區新南里南山路72號,2,2350.0,中和派出所,,121.50235,24.995922
CYMOTO,DA04000032,新南里,新北市中和區新南里圓通路57號,1,82.0,中和派出所,,121.50068,24.997421
桔第私人住宅大樓,DA04000034,南山里,新北市中和區南山里南山路81巷50號,1,347.0,中和派出所,,121.50366,24.998286
金合美,DA04000036,漳和里,新北市中和區漳和里中和路170號,2,468.0,中和派出所,,121.50452,24.999638
都會大亨,DA04000037,佳和里,新北市中和區佳和里中山路二段98號,2,426.0,中和派出所,,121.50331,25.004263
中福傑坐,DA04000038,廟美里,新北市中和區廟美里景平路666號,3,1026.0,中和派出所,,121.49745,25.000782
富貴有緣,DA04000041,福祥里,新北市中和區福祥里永和路90巷3號,1,2027.0,中和派出所,,121.49731,25.005937
中和國小,DA04000042,漳和里,新北市中和區漳和里中和路100號,2,1504.0,中和派出所,,121.50161,24.99986
台北新廈,DA04000043,枋寮里,新北市中和區枋寮里中和路281號,1,233.0,中和派出所,,121.50586,24.99981
