建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,placemark_address
吳厝國小,九隆里,西螺鎮九隆里九隆44號,"23.74972, 120.43686",1.0,98.0,西螺分局,559.0,西螺鎮九隆里九隆44號
長青護理之家,大有村,"崙背鄉大有村大有路286號  ","23.75869, 120.30321",1.0,41.0,西螺分局,560.0,崙背鄉大有村大有路286號
國泰人壽保險公司,大園里,"西螺鎮大園里大同路58號  ","23.79952, 120.46595",1.0,252.0,西螺分局,561.0,西螺鎮大園里大同路58號
西螺農工,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,431.0,西螺分局,562.0,西螺鎮大園里大同路4號
新光人壽保險公司,大園里,"西螺鎮大園里光復東路1號  ","23.79792, 120.46665",1.0,290.0,西螺分局,563.0,西螺鎮大園里光復東路1號
西螺農工(實習工廠-1),大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,157.0,西螺分局,564.0,西螺鎮大園里大同路4號
西螺農工(樓梯間),大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,196.0,西螺分局,565.0,西螺鎮大園里大同路4號
西螺農工(圖書館),大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,171.0,西螺分局,566.0,西螺鎮大園里大同路4號
西螺農工(實習工廠-2),大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,206.0,西螺分局,567.0,西螺鎮大園里大同路4號
西螺農工(實習工廠-3),大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,117.0,西螺分局,568.0,西螺鎮大園里大同路4號
西螺農工(實習工廠-4),大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,171.0,西螺分局,569.0,西螺鎮大園里大同路4號
巨洲建設有限公司,大園里,"西螺鎮大園里光復東路63巷1弄60-1號  ","23.79907, 120.47028",1.0,126.0,西螺分局,570.0,西螺鎮大園里光復東路63巷1弄60-1號
