建築物名稱,縣(市),鄉鎮市區,村里別,地址,避難樓層,"防空避難 設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,"建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",緯經度,備註
民宅公寓,苗栗縣,頭份市,東庄里,苗栗縣頭份市東庄里18鄰自強路248號,1.0,155.0,,172.0,頭份分局,1997/7/29,2022/12/31,"24.686233340513855, 120.90408181220427",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里3鄰自強路241號,1.0,236.0,,262.0,頭份分局,1988/9/3,2022/12/31,"24.686183143945915, 120.90475375453222",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里12鄰東興路176號,1.0,16.0,,17.0,頭份分局,1988/3/15,2022/12/31,"24.68380291312329, 120.90365364104025",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里6鄰錦華街56號,1.0,64.0,,71.0,頭份分局,"1981/11/26 ",2022/12/31,"24.685445848547733, 120.90543666802431",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里6鄰錦華街46號,1.0,63.0,,70.0,頭份分局,1981/11/26,2022/12/31,"24.685335226064634, 120.90549808892426",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里6鄰錦華街50號,1.0,64.0,,71.0,頭份分局,1981/11/26,2022/12/31,"24.685485048480306, 120.90524705268027",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里3鄰自強路245號,1.0,400.0,,444.0,頭份分局,1982/3/13,2022/12/31,"24.686151395669132, 120.90468793918835",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里8鄰民族路128號,1.0,16.0,,17.0,頭份分局,1982/2/23,2022/12/31,"24.684917594755422, 120.90471151035226",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里12鄰東民路81號,1.0,24.0,,26.0,頭份分局,1982/11/24,2022/12/31,"24.684197, 120.903071",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里2鄰錦華街51號,1.0,19.0,,21.0,頭份分局,1986/12/3,2022/12/31,"24.68568419325628, 120.90514839686021",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里6鄰錦華街28號,1.0,33.0,,36.0,頭份分局,1986/8/23,2022/12/31,"24.685579145079874, 120.90484568336824",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里12鄰民族路179號,1.0,22.0,,24.0,頭份分局,1987/5/5,2022/12/31,"24.684973, 120.902829",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里12鄰東民路83號,1.0,159.0,,176.0,頭份分局,1989/8/4,2022/12/31,"24.684079, 120.902801",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里10鄰二份街3號,1.0,204.0,,226.0,頭份分局,1989/12/4,2022/12/31,"24.684102, 120.904646",
民宅公寓,苗栗縣,頭份市,民權里,苗栗縣頭份市民權里12鄰民族路200號,1.0,242.0,,268.0,頭份分局,1995/10/23,2022/12/31,"24.685341784344445, 120.90283984104022",
民宅公寓,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里4鄰錦華街31號,1.0,526.0,,584.0,頭份分局,1994/2/5,2022/12/31,"24.68570769972759, 120.90477859686031",
豪旺大夏,苗栗縣,頭份市,民族里,苗栗縣頭份市民族里7鄰中華路951號,1.0,4808.0,v,3338.0,頭份分局,1994/4/6,2022/12/31,"24.684489, 120.905937",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里8鄰信東路246號,1.0,387.0,,430.0,頭份分局,1994/8/17,2022/12/31,"24.692454327859874, 120.90781422569637",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里8鄰信東路268號,1.0,23.0,,25.0,頭份分局,1989/10/13,2022/12/31,"24.692865292350653, 120.90748618151639",
民宅公寓,苗栗縣,頭份市,自強里,苗栗縣頭份市自強里12鄰信東路152號,1.0,41.0,,45.0,頭份分局,1987/5/5,2022/12/31,"24.690128, 120.909128",
民宅公寓,苗栗縣,頭份市,自強里,苗栗縣頭份市自強里12鄰忠孝一路132號,1.0,23.0,,25.0,頭份分局,1982/1/20,2022/12/31,"24.690648131534164, 120.90955016987644",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里2鄰信東路256號,1.0,310.0,,344.0,頭份分局,1995/8/22,2022/12/31,"24.692665627430074, 120.9077023833684",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路115號,1.0,18.0,,20.0,頭份分局,1989/9/16,2022/12/31,"24.69046553990829, 120.90872425453236",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路109號,1.0,18.0,,20.0,頭份分局,1989/9/16,2022/12/31,"24.69039688403943, 120.90861154104036",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路102號,1.0,46.0,,51.0,頭份分局,1989/11/28,2022/12/31,"24.69030586438128, 120.90857268151639",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路109號,1.0,18.0,,20.0,頭份分局,1989/9/16,2022/12/31,"24.690455371943997, 120.90853643918834",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路106號,1.0,58.0,,64.0,頭份分局,1989/9/16,2022/12/31,"24.690263132317273, 120.90877202569641",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路113號,1.0,18.0,,20.0,頭份分局,1978/9/16,2022/12/31,"24.69043898795424, 120.90864872569637",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路115號,1.0,18.0,,20.0,頭份分局,1978/9/16,2022/12/31,"24.690572767653347, 120.90876716987637",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里14鄰忠孝一路107號,1.0,15.0,,16.0,頭份分局,1978/9/16,2022/12/31,"24.690376028104833, 120.9084599833684",
民宅公寓,苗栗縣,頭份市,自強里,苗栗縣頭份市自強里15鄰自強路82號,1.0,112.0,,124.0,頭份分局,1971/9/2,2022/12/31,"24.68968664124898, 120.91078162384433",
民宅公寓,苗栗縣,頭份市,自強里,苗栗縣頭份市自強里16鄰長樂街32號,1.0,175.0,,194.0,頭份分局,1971/1/20,2022/12/31,"24.68984113028239, 120.9110296990298",
民宅公寓,苗栗縣,頭份市,忠孝里,苗栗縣頭份市忠孝里11鄰忠孝一路111巷1號,1.0,160.0,,177.0,頭份分局,1970/9/3,2022/12/31,"24.690507979817156, 120.90834761035235",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里10鄰中正路103號,1.0,92.0,,102.0,頭份分局,1978/7/8,2022/12/31,"24.68610583083789, 120.90891149686024",
台灣銀行,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里11鄰中正路65號,1.0,146.0,,162.0,頭份分局,1967/11/19,2022/12/31,"24.685349745510514, 120.9080654122043",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里9鄰中正路116號,1.0,59.0,,65.0,頭份分局,1967/1/5,2022/12/31,"24.685024, 120.908171",
戶政事務所,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里11鄰和平路68號,1.0,84.0,,93.0,頭份分局,1972/9/9,2022/12/31,"24.685228148922352, 120.90727079686022",
台灣土地銀行,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里11鄰中華路932號,1.0,150.0,v,104.0,頭份分局,1971/1/20,2022/12/31,"24.685980174585197, 120.90777158932016",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里11鄰中華路928號,1.0,100.0,,111.0,頭份分局,1971/7/27,2022/12/31,"24.685784844693707, 120.90753743918832",
住宅大樓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里11鄰中華路926號,1.0,294.0,v,204.0,頭份分局,1978/7/15,2022/12/31,"24.685837906083965, 120.90772220426824",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里8鄰信義路68號,1.0,14.0,,15.0,頭份分局,1973/12/29,2022/12/31,"24.685133, 120.908661",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里2鄰中山路79號,1.0,44.0,,48.0,頭份分局,1970/1/16,2022/12/31,"24.684230, 120.908614",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里2鄰中山路81號,1.0,31.0,,34.0,頭份分局,1977/6/20,2022/12/31,"24.684286, 120.908594",
民宅公寓,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里9鄰和平路50號,1.0,250.0,,277.0,頭份分局,1970/1/17,2022/12/31,"24.684324, 120.907755",
中華電信,苗栗縣,頭份市,信義里,苗栗縣頭份市信義里11鄰和平路70號,1.0,200.0,,222.0,頭份分局,1975/12/3,2022/12/31,"24.68510437587965, 120.90715943689362",
