類別,建築物名稱,電腦編號,村里別,地址,"地下 樓層數","可容納 人數",派出所,備註,經度,緯度
大樓,桔運青山社區,DA02000001,華南里,新北市中和區華南里忠孝街2巷14弄1號,1,1349.0,南勢派出所,,121.510557,24.981181
大樓,大時代住辦大樓,DA02000002,興南里,新北市中和區興南里景新街328號,3,1404.0,南勢派出所,,121.511773,24.991045
大樓,磐石樓社區,DA02000004,華南里,新北市中和區華南里忠孝街26巷55號,1,1592.0,南勢派出所,,121.511597,24.981746
大樓,米蘭春天大廈,DA02000005,華新里,新北市中和區華新里工專路123號,2,592.0,南勢派出所,,121.508334,24.979257
大樓,奇蹟誠品,DA02000006,忠孝里,新北市中和區忠孝里忠孝街1巷53號,1,657.0,南勢派出所,,121.508412,24.984229
大樓,天天開心社區,DA02000007,華新里,新北市中和區華新里工專路167號,1,746.0,南勢派出所,,121.508313,24.978522
大樓,審計部,DA02000008,華新里,新北市中和區華新里華新街109巷9號,1,724.0,南勢派出所,,121.508782,24.981634
大樓,大樓,DA02000009,東南里,新北市中和區東南里忠孝街55巷1號,2,148.0,南勢派出所,,121.511522,24.984501
公寓,大樓,DA02000010,東南里,新北市中和區東南里忠孝街57號,1,192.0,南勢派出所,,121.511591,24.984615
公寓,私立竹林中學,DA02000011,華新里,新北市中和區華新里華新街143巷12號,1,726.0,南勢派出所,,121.506005,24.979921
大樓,奇蹟誠事大樓,DA02000012,忠孝里,新北市中和區忠孝里華新街75號,2,2492.0,南勢派出所,,121.508329,24.983749
大樓,大樓,DA02000013,忠孝里,新北市中和區忠孝里忠孝街21號,1,460.0,南勢派出所,,121.510276,24.982909
大樓,大樓,DA02000015,忠孝里,新北市中和區忠孝里忠孝街3號1,1,183.0,南勢派出所,,121.509547,24.982938
大樓,錦繡年華,DA02000016,正南里,新北市中和區正南里華新街28號,5,3488.0,南勢派出所,,121.50765,24.984637
大樓,金如意社區,DA02000017,福南里,新北市中和區福南里興南路二段34巷12號,1,1433.0,南勢派出所,,121.506414,24.986089
公寓,十步芳草社區,DA02000018,華南里,新北市中和區華南里忠孝街2巷14弄12號,1,1113.0,南勢派出所,,121.510579,24.981377
公寓,大樓,DA02000019,崇南里,新北市中和區崇南里景新街496巷17號,2,431.0,南勢派出所,,121.513422,24.98664
公寓,大地新象社區,DA02000020,內南里,新北市中和區內南里興南路二段142巷10號,1,993.0,南勢派出所,,121.503464,24.983627
大樓,地球村社區,DA02000021,崇南里,新北市中和區崇南里景新街498號,3,4511.0,南勢派出所,,121.51371,24.98692
公寓,大樓,DA02000022,崇南里,新北市中和區崇南里景新街496巷26號,1,123.0,南勢派出所,,121.513353,24.986034
大樓,大樓,DA02000023,華南里,新北市中和區華南里忠孝街24號,1,485.0,南勢派出所,,121.510553,24.982901
大樓,太和庭社區,DA02000025,華新里,新北市中和區華新里工專路147號,2,1367.0,南勢派出所,,121.508755,24.979236
興南國小,興南國小,DA02000026,壽南里,新北市中和區壽南里興南路一段135巷24號,1,520.0,南勢派出所,,121.509209,24.987032
大樓,捷運之星社區,DA02000027,華新里,新北市中和區華新里華新街109巷5號,1,152.0,南勢派出所,,121.509257,24.982096
華夏技術學院,華夏科技大學,DA02000028,華新里,新北市中和區華新里工專路111號,1,4202.0,南勢派出所,,121.507733,24.980586
大樓,孩子王社區,DA02000029,福南里,新北市中和區福南里興南路2段2號,1,2785.0,南勢派出所,,121.507816,24.986424
大樓,華夏耶魯社區,DA02000030,華新里,新北市中和區華新里華新街143巷46號,2,441.0,南勢派出所,,121.506258,24.979977
大樓,大樓,DA02000031,頂南里,新北市中和區頂南里興南路二段159巷1之1號,1,335.0,南勢派出所,,121.505169,24.983537
大樓,華夏之星社區,DA02000032,華新里,新北市中和區華新里華新街143巷116號,3,1065.0,南勢派出所,,121.507426,24.978374
大樓,和平世紀麗池社區,DA02000034,華南里,新北市中和區華南里忠孝街2巷10號,3,863.0,南勢派出所,,121.509568,24.981598
大樓,和平世紀麗晶社區,DA02000035,華南里,新北市中和區華南里忠孝街2巷2號,4,2645.0,南勢派出所,,121.509785,24.982437
大樓,捷運一品社區,DA02000036,崇南里,新北市中和區崇南里四維街27號,3,985.0,南勢派出所,,121.512824,24.986915
大樓,吉祥園社區,DA02000037,華南里,新北市中和區華南里忠孝街2巷14弄10號,1,70.0,南勢派出所,,121.510661,24.9814
大樓,金門新村社區,DA02000038,東南里,新北市中和區東南里興南一段85巷37號,1,2411.0,南勢派出所,,121.510507,24.987619
大樓,晶囍社區,DA02000039,東南里,新北市中和區東南里忠孝街37號,1,140.0,南勢派出所,,121.510608,24.983352
公寓,興南國小,DA02000040,壽南里,新北市中和區壽南里興南路一段135巷24號,1,1276.0,南勢派出所,,121.509209,24.987032
大樓,審計部,DA02000041,華新里,新北市中和區華新里華新街109巷9號,1,429.0,南勢派出所,,121.508782,24.981634
公寓,聽樹唱歌社區,DA02000042,崇南里,新北市中和區崇南里四維街30號,1、2,236.0,南勢派出所,,121.512717,24.98711
大樓,沐夏之靜社區,DA02000043,華新里,新北市中和區華新里華新街143巷69號,1、2,100.0,南勢派出所,,121.507484,24.978605
公寓,大樓,DA02000044,忠孝里,新北市中和區忠孝里興南路一段93巷89弄3號,1,112.0,南勢派出所,,121.510795,24.986047
大樓,双捷晶華社區,DA02000045,崇南里,新北市中和區崇南里景新街468號,1,302.0,南勢派出所,,121.513629,24.987248
大樓,圓通雅筑宿舍,DA02000046,華新里,新北市中和區華新里工專路26號,1,815.0,南勢派出所,,121.5069,24.981092
