類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
南港車站,1.0,南港里,"25.052684423775755, 121.60528519736332",1、2,1128人,臺北市南港區南港里南港路一段313號
松山車站,2.0,永吉里,臺北市信義區永吉里008鄰松山路11號,1,1030人,
臺北車站,3.0,黎明里,臺北市中正區黎明里003鄰北平西路3號,1,2000人,
板橋車站,4.0,樹北里,新北市板橋區新民里001鄰縣民大道二段7號,1、2、3,2000人,
樹林車站,5.0,樹北里,新北市樹林區樹北里016鄰鎮前街112號,1,265人,
臺鐵員工宿舍,6.0,樹北里,新北市樹林區樹北里016鄰鎮前街86巷3號,1,230人,
樹林調車場,7.0,東山里,新北市樹林區東山里012鄰東佳路7號,1,"1162人
",
竹南車站,8.0,照南里,苗栗縣竹南鎮照南里1鄰中山路162號,1,37人,
臺中港車站,9.0,頂湳里,臺中市清水區頂湳里11鄰甲南路2號,1,40人,
大湖車站,10.0,甲南里,高雄市路竹區甲南里20鄰天祐路24號,1,146人,
"九曲堂火車站 ",11.0,久堂里,高雄市大樹區久堂里3鄰久堂路鐵路巷15號,1,192人,
南州車站,12.0,仁里村,屏東縣南州鄉仁里村4鄰仁里路86號,1,460人,
佳冬車站,13.0,六根村,屏東縣佳冬鄉六根村21鄰復興路21號,1,260人,
枋寮車站,14.0,枋寮村,屏東縣枋寮鄉枋寮村1鄰儲運路2號,1,160人,
加祿車站,15.0,加祿村,屏東縣枋山鄉加祿村6鄰會社路53號,1,213人,
枋山車站,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,1,320人,
臺東車站(RMA213),17.0,岩灣里,"臺東縣臺東市岩灣里16鄰岩灣路101巷598號
",1,900人,
臺東車站(RMA214),18.0,岩灣里,"臺東縣臺東市岩灣里16鄰岩灣路101巷598號
",1,900人,
關山車站,19.0,關山鎮,臺東縣關山鎮里瓏里3鄰博愛路2號,1,156人,
瑞穗車站,20.0,瑞穗村,花蓮縣瑞穗村009鄰四維街13號,1,100人,
鳳林車站,21.0,鳳智里,花蓮縣鳳林鎮鳳智里019鄰中山路43號,1,170人,
花蓮車站,22.0,國聯里,花蓮縣花蓮市國聯里35鄰國聯一路100號,1,750人,
宜蘭車站,23.0,和睦里,宜蘭縣宜蘭市和睦里001鄰光復路1號,1,200人,
礁溪車站,24.0,德陽村,宜蘭縣礁溪鄉德陽村004鄰溫泉路1號,1,100人,
頭城車站,25.0,頭城鎮,宜蘭縣頭城鎮006鄰纘祥路59號,1,100人,
