類別,電腦編號,村里別,經緯度,地下層數位址,可容納人數,轄管分局,備註
透天,EPA00001,明德里,"24.950582,121.231640",1,253.0,中壢分局,
公寓,EPA00002,普強里,"24.951328,121.238282",1,981.0,中壢分局,
大樓,EPA00007,仁義里,"24.964967,121.235731",1、2,4730.0,中壢分局,
教育機構,EPA00009,明德里,"24.950108,121.230044",1,1597.0,中壢分局,
公寓,EPA00010,龍昌里,"24.935794,121.249231",1,560.0,中壢分局,
公寓,EPA00011,龍昌里,"24.936073,121.249362",1,693.0,中壢分局,
公寓,EPA00014,龍興里,"24.940459,121.230859",1,800.0,中壢分局,
透天,EPA00016,龍東里,"24.935118,121.249495",1,266.0,中壢分局,
大樓,EPA00017,龍昌里,"24.936658,121.247719",1,1120.0,中壢分局,
透天,EPA00020,普強里,"24.950211,121.237413",1,240.0,中壢分局,
大樓,EPA00021,明德里,"24.947741,121.232461",1,5202.0,中壢分局,
大樓,EPA00022,中興里,"24.961753,121.255499",1、2,1093.0,中壢分局,
大樓,EPA00025,普忠里,"24.956980,121.236019",1,1533.0,中壢分局,
透天,EPA00029,普義里,"24.959371,121.230324",1,194.0,中壢分局,
大樓,EPA00031,明德里,"24.947227,121.232373",1,1272.0,中壢分局,
透天,EPA00034,仁義里,"24.963888,121.232939",1,213.0,中壢分局,
透天,EPA00035,仁義里,"24.963851,121.233031",1,210.0,中壢分局,
透天,EPA00037,龍興里,"24.934164,121.236420",1,37.0,中壢分局,
透天,EPA00038,信義里,"24.951362,121.233844",1,38.0,中壢分局,
透天,EPA00039,明德里,"24.945842,121.229384",1,32.0,中壢分局,
透天,EPA00041,明德里,"24.948264,121.233233",1,34.0,中壢分局,
大樓,EPA00042,信義里,"24.953097,121.233147",1,1269.0,中壢分局,
公寓,EPA00043,普忠里,"24.959697,121.243564",1,608.0,中壢分局,
透天,EPA00044,普強里,"24.954597,121.236872",1,297.0,中壢分局,
公寓,EPA00045,普強里,"24.954141,121.236958",1,796.0,中壢分局,
透天,EPA00047,信義里,"24.950409,121.230717",1,356.0,中壢分局,
透天,EPA00048,信義里,"24.950449,121.231626",1,318.0,中壢分局,
透天,EPA00052,正義里,"24.955145,121.230528",1,26.0,中壢分局,
透天,EPA00053,普仁里,"24.956426,121.235989",1,80.0,中壢分局,
透天,EPA00056,仁義里,"24.961037,121.232014",1,80.0,中壢分局,
透天,EPA00057,正義里,"24.953950,121.230862",1,21.0,中壢分局,
透天,EPA00059,普強里,"24.953367,121.238878",1,53.0,中壢分局,
透天,EPA00060,普強里,"24.953098,121.239202",1,53.0,中壢分局,
透天,EPA00061,普強里,"24.952820,121.239303",1,54.0,中壢分局,
透天,EPA00062,普仁里,"24.952326,121.241053",1,106.0,中壢分局,
透天,EPA00065,龍東里,"24.937919,121.257994",1,26.0,中壢分局,
透天,EPA00068,明德里,"24.949616,121.231682",1,70.0,中壢分局,
透天,EPA00073,普仁里,"24.953178,121.240004",1,93.0,中壢分局,
透天,EPA00074,正義里,"24.954290,121.230757",1,18.0,中壢分局,
透天,EPA00077,信義里,"24.953186,121.233208",1,126.0,中壢分局,
透天,EPA00078,信義里,"24.953172,121.233095",1,133.0,中壢分局,
透天,EPA00080,正義里,"24.954441,121.232794",1,53.0,中壢分局,
透天,EPA00081,正義里,"24.954293,121.232223",1,40.0,中壢分局,
透天,EPA00085,信義里,"24.954293,121.232223",1,32.0,中壢分局,
透天,EPA00086,正義里,"24.953467,121.230185",1,30.0,中壢分局,
透天,EPA00089,正義里,"24.954227,121.230959",1,21.0,中壢分局,
透天,EPA00095,正義里,"24.954603,121.233079",1,36.0,中壢分局,
