類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
工廠,TNA0001,集慶村,宜蘭縣三星鄉三星路四段143號,1.0,86.0,,"TNA0001 宜蘭縣三星鄉三星路四段143號"
教會,TNA0002,義德村,宜蘭縣三星鄉三星路5段192號,1.0,104.0,,"TNA0002 宜蘭縣三星鄉三星路5段192號"
農會,TNA0003,義德村,宜蘭縣三星鄉中山路二段41號,1.0,413.0,,"TNA0003 宜蘭縣三星鄉中山路二段41號"
工廠,TNA0004,月眉村,宜蘭縣三星鄉星中路225號,1.0,249.0,,"TNA0004 宜蘭縣三星鄉星中路225號"
廟宇,TNA0005,大隱村,宜蘭縣三星鄉大埔六路108巷16號,1.0,664.0,,"TNA0005 宜蘭縣三星鄉大埔六路108巷16號"
電信公司,TNA0006,大隱村,宜蘭縣三星鄉大埔中路260號,1.0,225.0,,"TNA0006 宜蘭縣三星鄉大埔中路260號"
飯店,TNA0007,太平村,宜蘭縣大同鄉泰雅路四段6號,1.0,194.0,,"TNA0007 宜蘭縣大同鄉泰雅路四段6號"
