編號,里別,地址,可容納人數,經度,緯度,轄管分局,避難所在之地下樓層數
1.0,東興里,臺中市大里區東興里8鄰大明路181號,1006.0,120.684644,24.114819,霧峰分局,1.0
2.0,國光里,臺中市大里區國光里5鄰永興路78號,26.0,120.682331,24.108092,霧峰分局,1.0
3.0,國光里,臺中市大里區國光里5鄰永興路74號,26.0,120.682337,24.108007,霧峰分局,1.0
4.0,國光里,臺中市大里區國光里5鄰永興路76號,13.0,120.682337,24.108015,霧峰分局,1.0
5.0,國光里,臺中市大里區國光里5鄰永興路72號,26.0,120.682337,24.108057,霧峰分局,1.0
6.0,東興里,臺中市大里區東興里6鄰益民路2段347號,2954.0,120.683608,24.11365,霧峰分局,1.0
7.0,東興里,臺中市大里區東興里8鄰益民路2段275號,23.0,120.683752,24.1111046,霧峰分局,1.0
8.0,東興里,臺中市大里區東興里4鄰大明路272巷2號,77.0,120.682442,24.1148,霧峰分局,1.0
9.0,東興里,臺中市大里區東興里9鄰東明路269巷35號,1131.0,120.682534,24.112154,霧峰分局,1.0
10.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄10號,11.0,120.688742,24.10873,霧峰分局,1.0
11.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄10號之3,19.0,120.688731,24.108675,霧峰分局,1.0
12.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13號之2,12.0,120.689007,24.108895,霧峰分局,1.0
13.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷11號之1,12.0,120.689045,24.108884,霧峰分局,1.0
14.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷11號,12.0,120.689094,24.10887,霧峰分局,1.0
15.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷9號,31.0,120.689153,24.10886,霧峰分局,1.0
16.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷7號,32.0,120.689191,24.108852,霧峰分局,1.0
17.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄13號,20.0,120.688749,24.108712,霧峰分局,1.0
18.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄11號,20.0,120.688743,24.108732,霧峰分局,1.0
19.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄9號,20.0,120.688754,24.108795,霧峰分局,1.0
20.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄7號,20.0,120.688739,24.108848,霧峰分局,1.0
21.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄5號,20.0,120.688787,24.108888,霧峰分局,1.0
22.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄3號,18.0,120.688804,24.108935,霧峰分局,1.0
23.0,長榮里,臺中市大里區長榮里15鄰中興路2段249巷13弄1號,18.0,120.688819,24.108961,霧峰分局,1.0
24.0,長榮里,臺中市大里區長榮里15鄰中興路2段249巷13弄12號,18.0,120.688903,24.108695,霧峰分局,1.0
25.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷47號,18.0,120.688356,24.108795,霧峰分局,1.0
26.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷39號,18.0,120.688399,24.108946,霧峰分局,1.0
27.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷37號,18.0,120.688412,24.108997,霧峰分局,1.0
28.0,長榮里,臺中市大里區長榮里7鄰東榮路35巷35號,18.0,120.688426,24.10904,霧峰分局,1.0
29.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷19號,18.0,120.68942,24.108448,霧峰分局,1.0
30.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷17號,18.0,120.689428,24.108493,霧峰分局,1.0
31.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷15號,18.0,120.68944,24.108519,霧峰分局,1.0
32.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄21號,18.0,120.688716,24.108557,霧峰分局,1.0
33.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷51號,18.0,120.688337,24.108726,霧峰分局,1.0
34.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷49號,18.0,120.688345,24.108765,霧峰分局,1.0
35.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷47號,18.0,120.688358,24.108793,霧峰分局,1.0
36.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷53號,18.0,120.688332,24.108676,霧峰分局,1.0
37.0,長榮里,臺中市大里區長榮里14鄰西榮路214號,20.0,120.685815,24.109002,霧峰分局,1.0
38.0,長榮里,臺中市大里區長榮里14鄰西榮路216號,13.0,120.685817,24.109006,霧峰分局,1.0
39.0,新里里,臺中市大里區新里里7鄰國光路2段259號,118.0,120.680534,24.105982,霧峰分局,2.0
40.0,長榮里,臺中市大里區長榮里14鄰西榮路210號,12.0,120.685881,24.109152,霧峰分局,1.0
41.0,長榮里,臺中市大里區長榮里14鄰西榮路212號,12.0,120.685868,24.109113,霧峰分局,1.0
42.0,長榮里,臺中市大里區長榮里15鄰西榮路242號,19.0,120.685463,24.108552,霧峰分局,1.0
43.0,長榮里,臺中市大里區長榮里15鄰西榮路240號,19.0,120.685493,24.108586,霧峰分局,1.0
44.0,長榮里,臺中市大里區長榮里10鄰新南路226號,128.0,120.686167,24.108763,霧峰分局,1.0
45.0,長榮里,臺中市大里區長榮里5鄰益民路2段66號,9.0,120.685983,24.106878,霧峰分局,1.0
